"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.0103,"GSM2403235_7310440006_R05C01",0.482555421460235
"2",10,105000,106250000,-0.048,"GSM2403235_7310440006_R05C01",0.482555421460235
"3",10,106425000,111175000,-0.2808,"GSM2403235_7310440006_R05C01",0.482555421460235
"4",10,111675000,135462374,-0.004,"GSM2403235_7310440006_R05C01",0.482555421460235
"5",11,130000,20675000,-0.0163,"GSM2403235_7310440006_R05C01",0.482555421460235
"6",11,21450000,31425000,-0.3025,"GSM2403235_7310440006_R05C01",0.482555421460235
"7",11,31650000,36525000,-0.0459,"GSM2403235_7310440006_R05C01",0.482555421460235
"8",11,36600000,42500000,-0.3742,"GSM2403235_7310440006_R05C01",0.482555421460235
"9",11,43325000,50516927,0.012,"GSM2403235_7310440006_R05C01",0.482555421460235
"10",11,54922103,56675000,-0.3678,"GSM2403235_7310440006_R05C01",0.482555421460235
"11",11,56975000,134873258,-0.0378,"GSM2403235_7310440006_R05C01",0.482555421460235
"12",12,172870,133770948,-0.0453,"GSM2403235_7310440006_R05C01",0.482555421460235
"13",13,19110000,115079939,-0.1191,"GSM2403235_7310440006_R05C01",0.482555421460235
"14",14,19325000,107119770,-0.0214,"GSM2403235_7310440006_R05C01",0.482555421460235
"15",15,20225000,102410696,-0.0142,"GSM2403235_7310440006_R05C01",0.482555421460235
"16",16,105000,58775000,0.0221,"GSM2403235_7310440006_R05C01",0.482555421460235
"17",16,59975000,66050000,-0.2783,"GSM2403235_7310440006_R05C01",0.482555421460235
"18",16,66275000,90222377,0.0307,"GSM2403235_7310440006_R05C01",0.482555421460235
"19",17,25000,66575000,-0.0127,"GSM2403235_7310440006_R05C01",0.482555421460235
"20",17,66825000,70125000,-0.2661,"GSM2403235_7310440006_R05C01",0.482555421460235
"21",17,70250000,81122605,0.01,"GSM2403235_7310440006_R05C01",0.482555421460235
"22",18,80000,77983624,-0.0933,"GSM2403235_7310440006_R05C01",0.482555421460235
"23",19,180000,59084492,0.0269,"GSM2403235_7310440006_R05C01",0.482555421460235
"24",2,130000,75850000,-0.0591,"GSM2403235_7310440006_R05C01",0.482555421460235
"25",2,75925000,83425000,-0.2983,"GSM2403235_7310440006_R05C01",0.482555421460235
"26",2,84125000,243026238,-0.0876,"GSM2403235_7310440006_R05C01",0.482555421460235
"27",20,155000,6100000,0.0029,"GSM2403235_7310440006_R05C01",0.482555421460235
"28",20,6450000,15275000,-0.2448,"GSM2403235_7310440006_R05C01",0.482555421460235
"29",20,16575000,62907760,-0.0118,"GSM2403235_7310440006_R05C01",0.482555421460235
"30",21,10848948,48084948,-0.0189,"GSM2403235_7310440006_R05C01",0.482555421460235
"31",22,16373925,51222283,0.0488,"GSM2403235_7310440006_R05C01",0.482555421460235
"32",3,155000,187875000,-0.1051,"GSM2403235_7310440006_R05C01",0.482555421460235
"33",3,187925000,192300000,-0.3194,"GSM2403235_7310440006_R05C01",0.482555421460235
"34",3,192525000,197831215,0.0209,"GSM2403235_7310440006_R05C01",0.482555421460235
"35",4,55000,190972138,-0.1428,"GSM2403235_7310440006_R05C01",0.482555421460235
"36",5,55000,180777630,-0.0858,"GSM2403235_7310440006_R05C01",0.482555421460235
"37",6,155000,170952534,-0.0886,"GSM2403235_7310440006_R05C01",0.482555421460235
"38",7,55000,77550000,-0.0379,"GSM2403235_7310440006_R05C01",0.482555421460235
"39",7,77800000,96450000,-0.2551,"GSM2403235_7310440006_R05C01",0.482555421460235
"40",7,96625000,107625000,0.0302,"GSM2403235_7310440006_R05C01",0.482555421460235
"41",7,107725000,126625000,-0.2892,"GSM2403235_7310440006_R05C01",0.482555421460235
"42",7,126875000,159039332,0.0064,"GSM2403235_7310440006_R05C01",0.482555421460235
"43",8,105000,23475000,0.0018,"GSM2403235_7310440006_R05C01",0.482555421460235
"44",8,23575000,24775000,-0.3162,"GSM2403235_7310440006_R05C01",0.482555421460235
"45",8,24825000,146277011,-0.105,"GSM2403235_7310440006_R05C01",0.482555421460235
"46",9,130000,141076716,-8e-04,"GSM2403235_7310440006_R05C01",0.482555421460235
"47",1,635684,249195311,0.0116,"GSM2403236_7310440006_R05C02",0.482722593028526
"48",10,105000,135462374,-0.0161,"GSM2403236_7310440006_R05C02",0.482722593028526
"49",11,130000,134873258,-0.0063,"GSM2403236_7310440006_R05C02",0.482722593028526
"50",12,172870,133770948,-0.009,"GSM2403236_7310440006_R05C02",0.482722593028526
"51",13,19110000,115079939,-0.0498,"GSM2403236_7310440006_R05C02",0.482722593028526
"52",14,19325000,107119770,7e-04,"GSM2403236_7310440006_R05C02",0.482722593028526
"53",15,20225000,102410696,0.0033,"GSM2403236_7310440006_R05C02",0.482722593028526
"54",16,105000,90222377,0.0137,"GSM2403236_7310440006_R05C02",0.482722593028526
"55",17,25000,81122605,-0.033,"GSM2403236_7310440006_R05C02",0.482722593028526
"56",18,80000,77983624,-0.0817,"GSM2403236_7310440006_R05C02",0.482722593028526
"57",19,180000,59084492,-2e-04,"GSM2403236_7310440006_R05C02",0.482722593028526
"58",2,130000,243026238,-0.0376,"GSM2403236_7310440006_R05C02",0.482722593028526
"59",20,155000,62907760,-0.0245,"GSM2403236_7310440006_R05C02",0.482722593028526
"60",21,10848948,48084948,-0.0113,"GSM2403236_7310440006_R05C02",0.482722593028526
"61",22,16373925,51222283,0.0166,"GSM2403236_7310440006_R05C02",0.482722593028526
"62",3,155000,197831215,-0.0339,"GSM2403236_7310440006_R05C02",0.482722593028526
"63",4,55000,190972138,-0.0703,"GSM2403236_7310440006_R05C02",0.482722593028526
"64",5,55000,180777630,-0.0279,"GSM2403236_7310440006_R05C02",0.482722593028526
"65",6,155000,170952534,-0.0411,"GSM2403236_7310440006_R05C02",0.482722593028526
"66",7,55000,159039332,-0.0018,"GSM2403236_7310440006_R05C02",0.482722593028526
"67",8,105000,146277011,-0.0329,"GSM2403236_7310440006_R05C02",0.482722593028526
"68",9,130000,141076716,2e-04,"GSM2403236_7310440006_R05C02",0.482722593028526
"69",1,635684,249195311,-0.0046,"GSM2403237_7310440006_R06C01",0.601159490449976
"70",10,105000,135462374,-0.021,"GSM2403237_7310440006_R06C01",0.601159490449976
"71",11,130000,134873258,-0.0196,"GSM2403237_7310440006_R06C01",0.601159490449976
