"chromosome","start","end","segmean","sample"
"1",1,635684,154925000,0.0251,"GSM2402976_6929718027_R03C02"
"2",1,154975000,249195311,0.2597,"GSM2402976_6929718027_R03C02"
"3",10,105000,128375000,0.0167,"GSM2402976_6929718027_R03C02"
"4",10,128583035,131775000,-0.3574,"GSM2402976_6929718027_R03C02"
"5",10,131825000,135462374,0.0493,"GSM2402976_6929718027_R03C02"
"6",11,130000,4025000,-0.2158,"GSM2402976_6929718027_R03C02"
"7",11,4275000,49625000,0.0423,"GSM2402976_6929718027_R03C02"
"8",11,49850000,62225000,0.251,"GSM2402976_6929718027_R03C02"
"9",11,62325000,63425000,-0.3544,"GSM2402976_6929718027_R03C02"
"10",11,63500000,132675000,0.0192,"GSM2402976_6929718027_R03C02"
"11",11,132850000,134873258,-0.3138,"GSM2402976_6929718027_R03C02"
"12",12,172870,133770948,0.0277,"GSM2402976_6929718027_R03C02"
"13",13,19110000,115079939,-1e-04,"GSM2402976_6929718027_R03C02"
"14",14,19325000,107119770,0.0196,"GSM2402976_6929718027_R03C02"
"15",15,20225000,102410696,0.0248,"GSM2402976_6929718027_R03C02"
"16",16,105000,90222377,0.0484,"GSM2402976_6929718027_R03C02"
"17",17,25000,81122605,-0.0413,"GSM2402976_6929718027_R03C02"
"18",18,80000,77983624,-0.1067,"GSM2402976_6929718027_R03C02"
"19",19,180000,59084492,0.0026,"GSM2402976_6929718027_R03C02"
"20",2,130000,243026238,-0.0102,"GSM2402976_6929718027_R03C02"
"21",20,155000,62907760,0.003,"GSM2402976_6929718027_R03C02"
"22",21,10848948,48084948,0.0198,"GSM2402976_6929718027_R03C02"
"23",22,16373925,51222283,0.0294,"GSM2402976_6929718027_R03C02"
"24",3,155000,197831215,0.0229,"GSM2402976_6929718027_R03C02"
"25",4,55000,190972138,-0.0489,"GSM2402976_6929718027_R03C02"
"26",5,55000,180777630,0.0149,"GSM2402976_6929718027_R03C02"
"27",6,155000,30975000,0.2348,"GSM2402976_6929718027_R03C02"
"28",6,31025000,170952534,-0.0025,"GSM2402976_6929718027_R03C02"
"29",7,55000,159039332,0.0458,"GSM2402976_6929718027_R03C02"
"30",8,105000,146277011,-2e-04,"GSM2402976_6929718027_R03C02"
"31",9,130000,2.1e+07,-0.4283,"GSM2402976_6929718027_R03C02"
"32",9,21700000,30825000,-2.102,"GSM2402976_6929718027_R03C02"
"33",9,32500000,141076716,-0.3298,"GSM2402976_6929718027_R03C02"
"34",1,635684,249195311,0.0207,"GSM2402979_6929689149_R01C01"
"35",10,105000,135462374,0.0034,"GSM2402979_6929689149_R01C01"
"36",11,130000,134873258,0.031,"GSM2402979_6929689149_R01C01"
"37",12,172870,133770948,0.0178,"GSM2402979_6929689149_R01C01"
"38",13,19110000,115079939,0.0462,"GSM2402979_6929689149_R01C01"
"39",14,19325000,107119770,-0.0023,"GSM2402979_6929689149_R01C01"
"40",15,20225000,102410696,0.2102,"GSM2402979_6929689149_R01C01"
"41",16,105000,90222377,0.0317,"GSM2402979_6929689149_R01C01"
"42",17,25000,62330380,-0.086,"GSM2402979_6929689149_R01C01"
"43",17,62480380,64400000,-0.4936,"GSM2402979_6929689149_R01C01"
"44",17,64575000,81122605,-0.0713,"GSM2402979_6929689149_R01C01"
"45",18,80000,77983624,-0.1428,"GSM2402979_6929689149_R01C01"
"46",19,180000,59084492,-0.0146,"GSM2402979_6929689149_R01C01"
"47",2,130000,243026238,-0.0148,"GSM2402979_6929689149_R01C01"
"48",20,155000,62907760,0.1489,"GSM2402979_6929689149_R01C01"
"49",21,10848948,48084948,0.2807,"GSM2402979_6929689149_R01C01"
"50",22,16373925,51222283,-0.0137,"GSM2402979_6929689149_R01C01"
