"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.1346,"GSM2404023_9340996014_R04C02",0.895504081739722
"2",10,105000,135462374,-0.3097,"GSM2404023_9340996014_R04C02",0.895504081739722
"3",11,130000,134873258,-0.0952,"GSM2404023_9340996014_R04C02",0.895504081739722
"4",12,172870,133770948,-0.0267,"GSM2404023_9340996014_R04C02",0.895504081739722
"5",13,19110000,115079939,-0.0496,"GSM2404023_9340996014_R04C02",0.895504081739722
"6",14,19325000,20800000,0.0864,"GSM2404023_9340996014_R04C02",0.895504081739722
"7",14,20875000,107119770,-0.4015,"GSM2404023_9340996014_R04C02",0.895504081739722
"8",15,20225000,102410696,-0.2844,"GSM2404023_9340996014_R04C02",0.895504081739722
"9",16,105000,90222377,9e-04,"GSM2404023_9340996014_R04C02",0.895504081739722
"10",17,25000,81122605,-0.1672,"GSM2404023_9340996014_R04C02",0.895504081739722
"11",18,80000,77983624,-0.3031,"GSM2404023_9340996014_R04C02",0.895504081739722
"12",19,180000,59084492,-0.2014,"GSM2404023_9340996014_R04C02",0.895504081739722
"13",2,130000,243026238,-0.0365,"GSM2404023_9340996014_R04C02",0.895504081739722
"14",20,155000,62907760,-0.144,"GSM2404023_9340996014_R04C02",0.895504081739722
"15",21,10848948,48084948,-0.2993,"GSM2404023_9340996014_R04C02",0.895504081739722
"16",22,16373925,51222283,-0.1696,"GSM2404023_9340996014_R04C02",0.895504081739722
"17",3,155000,197831215,-0.0045,"GSM2404023_9340996014_R04C02",0.895504081739722
"18",4,55000,190972138,-0.1315,"GSM2404023_9340996014_R04C02",0.895504081739722
"19",5,55000,180777630,-0.0383,"GSM2404023_9340996014_R04C02",0.895504081739722
"20",6,155000,170952534,-0.0495,"GSM2404023_9340996014_R04C02",0.895504081739722
"21",7,55000,53950000,0.0783,"GSM2404023_9340996014_R04C02",0.895504081739722
"22",7,54625000,55425000,1.5393,"GSM2404023_9340996014_R04C02",0.895504081739722
"23",7,55525000,159039332,0.0734,"GSM2404023_9340996014_R04C02",0.895504081739722
