"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0773,"GSM2402938_6969568004_R06C01"
"2",10,105000,135462374,0.0581,"GSM2402938_6969568004_R06C01"
"3",11,130000,134873258,0.0905,"GSM2402938_6969568004_R06C01"
"4",12,172870,133770948,0.0674,"GSM2402938_6969568004_R06C01"
"5",13,19110000,115079939,0.0704,"GSM2402938_6969568004_R06C01"
"6",14,19325000,107119770,0.0416,"GSM2402938_6969568004_R06C01"
"7",15,20225000,102410696,0.0576,"GSM2402938_6969568004_R06C01"
"8",16,105000,90222377,0.0793,"GSM2402938_6969568004_R06C01"
"9",17,25000,18925000,-0.5449,"GSM2402938_6969568004_R06C01"
"10",17,19025000,81122605,0.1553,"GSM2402938_6969568004_R06C01"
"11",18,80000,77983624,-0.1414,"GSM2402938_6969568004_R06C01"
"12",19,180000,59084492,0.0093,"GSM2402938_6969568004_R06C01"
"13",2,130000,243026238,0.0215,"GSM2402938_6969568004_R06C01"
"14",20,155000,62907760,0.0157,"GSM2402938_6969568004_R06C01"
"15",21,10848948,48084948,0.0336,"GSM2402938_6969568004_R06C01"
"16",22,16373925,51222283,0.0091,"GSM2402938_6969568004_R06C01"
"17",3,155000,197831215,0.0822,"GSM2402938_6969568004_R06C01"
"18",4,55000,190972138,-0.0312,"GSM2402938_6969568004_R06C01"
"19",5,55000,180777630,0.0628,"GSM2402938_6969568004_R06C01"
"20",6,155000,170952534,0.0449,"GSM2402938_6969568004_R06C01"
"21",7,55000,159039332,0.1063,"GSM2402938_6969568004_R06C01"
"22",8,105000,146277011,0.0276,"GSM2402938_6969568004_R06C01"
"23",9,130000,141076716,0.0708,"GSM2402938_6969568004_R06C01"
"24",1,635684,249195311,0.0578,"GSM2402939_6969568004_R01C02"
"25",10,105000,135462374,-0.1607,"GSM2402939_6969568004_R01C02"
"26",11,130000,134873258,0.08,"GSM2402939_6969568004_R01C02"
"27",12,172870,133770948,0.0564,"GSM2402939_6969568004_R01C02"
"28",13,19110000,37025000,-0.1933,"GSM2402939_6969568004_R01C02"
"29",13,37200000,115079939,0.1094,"GSM2402939_6969568004_R01C02"
"30",14,19325000,107119770,0.0275,"GSM2402939_6969568004_R01C02"
"31",15,20225000,102410696,0.1665,"GSM2402939_6969568004_R01C02"
"32",16,105000,90222377,-0.1844,"GSM2402939_6969568004_R01C02"
"33",17,25000,81122605,0.0823,"GSM2402939_6969568004_R01C02"
"34",18,80000,77983624,-0.1265,"GSM2402939_6969568004_R01C02"
"35",19,180000,59084492,0.0028,"GSM2402939_6969568004_R01C02"
"36",2,130000,243026238,0.0178,"GSM2402939_6969568004_R01C02"
"37",20,155000,62907760,0.0198,"GSM2402939_6969568004_R01C02"
"38",21,10848948,48084948,-0.139,"GSM2402939_6969568004_R01C02"
"39",22,16373925,51222283,5e-04,"GSM2402939_6969568004_R01C02"
"40",3,155000,197831215,0.0033,"GSM2402939_6969568004_R01C02"
"41",4,55000,190972138,-0.04,"GSM2402939_6969568004_R01C02"
"42",5,55000,180777630,0.1631,"GSM2402939_6969568004_R01C02"
"43",6,155000,170952534,0.1669,"GSM2402939_6969568004_R01C02"
"44",7,55000,159039332,0.2015,"GSM2402939_6969568004_R01C02"
"45",8,105000,146277011,-0.1716,"GSM2402939_6969568004_R01C02"
"46",9,130000,141076716,0.1983,"GSM2402939_6969568004_R01C02"
"47",1,635684,249195311,0.0644,"GSM2402945_6929689136_R02C01"
"48",10,105000,135462374,0.0409,"GSM2402945_6929689136_R02C01"
"49",11,130000,134873258,0.0773,"GSM2402945_6929689136_R02C01"
"50",12,172870,133770948,0.0478,"GSM2402945_6929689136_R02C01"
"51",13,19110000,115079939,0.0599,"GSM2402945_6929689136_R02C01"
"52",14,19325000,107119770,0.0241,"GSM2402945_6929689136_R02C01"
"53",15,20225000,102410696,0.0359,"GSM2402945_6929689136_R02C01"
"54",16,105000,90222377,0.0769,"GSM2402945_6929689136_R02C01"
"55",17,25000,81122605,-0.0595,"GSM2402945_6929689136_R02C01"
"56",18,80000,77983624,-0.1489,"GSM2402945_6929689136_R02C01"
"57",19,180000,59084492,-0.0071,"GSM2402945_6929689136_R02C01"
"58",2,130000,243026238,0.0143,"GSM2402945_6929689136_R02C01"
"59",20,155000,62907760,0.0089,"GSM2402945_6929689136_R02C01"
"60",21,10848948,48084948,0.0478,"GSM2402945_6929689136_R02C01"
"61",22,16373925,51222283,-6e-04,"GSM2402945_6929689136_R02C01"
"62",3,155000,197831215,0.0655,"GSM2402945_6929689136_R02C01"
"63",4,55000,190972138,-0.0415,"GSM2402945_6929689136_R02C01"
"64",5,55000,180777630,0.0467,"GSM2402945_6929689136_R02C01"
"65",6,155000,170952534,0.0322,"GSM2402945_6929689136_R02C01"
"66",7,55000,159039332,0.2035,"GSM2402945_6929689136_R02C01"
"67",8,105000,146277011,0.002,"GSM2402945_6929689136_R02C01"
"68",9,130000,141076716,0.063,"GSM2402945_6929689136_R02C01"
"69",1,635684,249195311,0.0668,"GSM2402948_6929689136_R05C01"
"70",10,105000,135462374,0.0496,"GSM2402948_6929689136_R05C01"
"71",11,130000,134873258,0.0781,"GSM2402948_6929689136_R05C01"
"72",12,172870,133770948,0.0566,"GSM2402948_6929689136_R05C01"
"73",13,19110000,115079939,0.0733,"GSM2402948_6929689136_R05C01"
"74",14,19325000,107119770,0.0287,"GSM2402948_6929689136_R05C01"
"75",15,20225000,102410696,0.0387,"GSM2402948_6929689136_R05C01"
"76",16,105000,90222377,0.0721,"GSM2402948_6929689136_R05C01"
"77",17,25000,20625000,-0.5247,"GSM2402948_6929689136_R05C01"
"78",17,20775000,81122605,0.1427,"GSM2402948_6929689136_R05C01"
"79",18,80000,77983624,-0.1394,"GSM2402948_6929689136_R05C01"
"80",19,180000,59084492,-0.0086,"GSM2402948_6929689136_R05C01"
"81",2,130000,243026238,0.0184,"GSM2402948_6929689136_R05C01"
"82",20,155000,62907760,0.0113,"GSM2402948_6929689136_R05C01"
"83",21,10848948,48084948,0.0281,"GSM2402948_6929689136_R05C01"
"84",22,16373925,51222283,0.0139,"GSM2402948_6929689136_R05C01"
"85",3,155000,197831215,0.0706,"GSM2402948_6929689136_R05C01"
"86",4,55000,190972138,-0.031,"GSM2402948_6929689136_R05C01"
"87",5,55000,180777630,0.0489,"GSM2402948_6929689136_R05C01"
"88",6,155000,170952534,0.0386,"GSM2402948_6929689136_R05C01"
"89",7,55000,159039332,0.0949,"GSM2402948_6929689136_R05C01"
"90",8,105000,146277011,0.0227,"GSM2402948_6929689136_R05C01"
"91",9,130000,141076716,0.0641,"GSM2402948_6929689136_R05C01"
"92",1,635684,249195311,0.1366,"GSM2402950_6929689136_R01C02"
"93",10,105000,135462374,0.0307,"GSM2402950_6929689136_R01C02"
"94",11,130000,64625000,-0.2992,"GSM2402950_6929689136_R01C02"
"95",11,64675000,86225000,0.0475,"GSM2402950_6929689136_R01C02"
"96",11,86375000,134873258,-0.2828,"GSM2402950_6929689136_R01C02"
"97",12,172870,133770948,0.0603,"GSM2402950_6929689136_R01C02"
"98",13,19110000,115079939,0.0397,"GSM2402950_6929689136_R01C02"
"99",14,19325000,107119770,0.0258,"GSM2402950_6929689136_R01C02"
"100",15,20225000,102410696,0.0398,"GSM2402950_6929689136_R01C02"
"101",16,105000,90222377,0.079,"GSM2402950_6929689136_R01C02"
"102",17,25000,12925000,-0.4383,"GSM2402950_6929689136_R01C02"
"103",17,13225000,81122605,0.1089,"GSM2402950_6929689136_R01C02"
"104",18,80000,77983624,-0.1017,"GSM2402950_6929689136_R01C02"
"105",19,180000,59084492,0.014,"GSM2402950_6929689136_R01C02"
"106",2,130000,243026238,0.0233,"GSM2402950_6929689136_R01C02"
"107",20,155000,62907760,0.0111,"GSM2402950_6929689136_R01C02"
"108",21,10848948,48084948,0.0419,"GSM2402950_6929689136_R01C02"
"109",22,16373925,51222283,0.0149,"GSM2402950_6929689136_R01C02"
"110",3,155000,197831215,0.0686,"GSM2402950_6929689136_R01C02"
"111",4,55000,1.48e+08,-0.0173,"GSM2402950_6929689136_R01C02"
"112",4,148450000,190972138,-0.4969,"GSM2402950_6929689136_R01C02"
"113",5,55000,180777630,0.0514,"GSM2402950_6929689136_R01C02"
"114",6,155000,170952534,0.0439,"GSM2402950_6929689136_R01C02"
"115",7,55000,159039332,0.2803,"GSM2402950_6929689136_R01C02"
"116",8,105000,15500000,-0.2926,"GSM2402950_6929689136_R01C02"
"117",8,16250000,146277011,-0.0105,"GSM2402950_6929689136_R01C02"
"118",9,130000,141076716,0.0651,"GSM2402950_6929689136_R01C02"
"119",1,635684,249195311,0.0644,"GSM2402951_6969568004_R03C01"
"120",10,105000,135462374,0.0545,"GSM2402951_6969568004_R03C01"
"121",11,130000,50225000,-0.3807,"GSM2402951_6969568004_R03C01"
"122",11,50516927,134873258,0.1977,"GSM2402951_6969568004_R03C01"
"123",12,172870,133770948,0.0491,"GSM2402951_6969568004_R03C01"
"124",13,19110000,115079939,0.0472,"GSM2402951_6969568004_R03C01"
"125",14,19325000,107119770,0.0369,"GSM2402951_6969568004_R03C01"
"126",15,20225000,102410696,0.0421,"GSM2402951_6969568004_R03C01"
"127",16,105000,90222377,0.0575,"GSM2402951_6969568004_R03C01"
"128",17,25000,21508304,-0.2285,"GSM2402951_6969568004_R03C01"
"129",17,21733304,81122605,0.2119,"GSM2402951_6969568004_R03C01"
"130",18,80000,77983624,-0.1148,"GSM2402951_6969568004_R03C01"
"131",19,180000,59084492,-0.0022,"GSM2402951_6969568004_R03C01"
"132",2,130000,243026238,0.0111,"GSM2402951_6969568004_R03C01"
"133",20,155000,62907760,0.0104,"GSM2402951_6969568004_R03C01"
"134",21,10848948,48084948,0.0371,"GSM2402951_6969568004_R03C01"
"135",22,16373925,51222283,0.0229,"GSM2402951_6969568004_R03C01"
"136",3,155000,197831215,0.061,"GSM2402951_6969568004_R03C01"
"137",4,55000,190972138,-0.0283,"GSM2402951_6969568004_R03C01"
"138",5,55000,180777630,0.0489,"GSM2402951_6969568004_R03C01"
"139",6,155000,170952534,0.0297,"GSM2402951_6969568004_R03C01"
"140",7,55000,159039332,0.0838,"GSM2402951_6969568004_R03C01"
"141",8,105000,146277011,-0.0791,"GSM2402951_6969568004_R03C01"
"142",9,130000,141076716,0.0554,"GSM2402951_6969568004_R03C01"
"143",1,635684,249195311,0.0607,"GSM2402983_6929718050_R01C01"
"144",10,105000,135462374,0.041,"GSM2402983_6929718050_R01C01"
"145",11,130000,134873258,0.0305,"GSM2402983_6929718050_R01C01"
"146",12,172870,133770948,0.0509,"GSM2402983_6929718050_R01C01"
"147",13,19110000,115079939,0.0052,"GSM2402983_6929718050_R01C01"
"148",14,19325000,107119770,0.0399,"GSM2402983_6929718050_R01C01"
"149",15,20225000,102410696,0.0639,"GSM2402983_6929718050_R01C01"
"150",16,105000,90222377,0.0567,"GSM2402983_6929718050_R01C01"
"151",17,25000,19025000,-0.2714,"GSM2402983_6929718050_R01C01"
"152",17,19150000,81122605,0.1845,"GSM2402983_6929718050_R01C01"
"153",18,80000,77983624,-0.0881,"GSM2402983_6929718050_R01C01"
"154",19,180000,59084492,0.0089,"GSM2402983_6929718050_R01C01"
"155",2,130000,243026238,0.0125,"GSM2402983_6929718050_R01C01"
"156",20,155000,62907760,-0.0492,"GSM2402983_6929718050_R01C01"
"157",21,10848948,48084948,0.0279,"GSM2402983_6929718050_R01C01"
"158",22,16373925,51222283,0.0068,"GSM2402983_6929718050_R01C01"
"159",3,155000,197831215,0.0093,"GSM2402983_6929718050_R01C01"
"160",4,55000,190972138,-0.0201,"GSM2402983_6929718050_R01C01"
"161",5,55000,180777630,0.0293,"GSM2402983_6929718050_R01C01"
"162",6,155000,170952534,0.0208,"GSM2402983_6929718050_R01C01"
"163",7,55000,159039332,0.0817,"GSM2402983_6929718050_R01C01"
"164",8,105000,146277011,-0.2667,"GSM2402983_6929718050_R01C01"
"165",9,130000,141076716,0.0518,"GSM2402983_6929718050_R01C01"
"166",1,635684,249195311,0.0787,"GSM2403007_6929718009_R02C01"
"167",10,105000,135462374,-0.1217,"GSM2403007_6929718009_R02C01"
"168",11,130000,134873258,-0.1933,"GSM2403007_6929718009_R02C01"
"169",12,172870,133770948,0.081,"GSM2403007_6929718009_R02C01"
"170",13,19110000,115079939,-0.217,"GSM2403007_6929718009_R02C01"
"171",14,19325000,107119770,0.0494,"GSM2403007_6929718009_R02C01"
"172",15,20225000,102410696,0.0512,"GSM2403007_6929718009_R02C01"
"173",16,105000,90222377,0.1025,"GSM2403007_6929718009_R02C01"
"174",17,25000,21508304,-0.386,"GSM2403007_6929718009_R02C01"
"175",17,21733304,81122605,0.2249,"GSM2403007_6929718009_R02C01"
"176",18,80000,77983624,0.1452,"GSM2403007_6929718009_R02C01"
"177",19,180000,59084492,-0.0737,"GSM2403007_6929718009_R02C01"
"178",2,130000,243026238,0.0544,"GSM2403007_6929718009_R02C01"
"179",20,155000,62907760,0.0399,"GSM2403007_6929718009_R02C01"
"180",21,10848948,48084948,0.0439,"GSM2403007_6929718009_R02C01"
"181",22,16373925,51222283,0.0337,"GSM2403007_6929718009_R02C01"
"182",3,155000,197831215,0.0731,"GSM2403007_6929718009_R02C01"
"183",4,55000,190972138,0.0793,"GSM2403007_6929718009_R02C01"
"184",5,55000,180777630,-0.0539,"GSM2403007_6929718009_R02C01"
"185",6,155000,170952534,0.0701,"GSM2403007_6929718009_R02C01"
"186",7,55000,159039332,0.3551,"GSM2403007_6929718009_R02C01"
"187",8,105000,6925000,-0.4814,"GSM2403007_6929718009_R02C01"
