"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0366,"GSM2402908_6929689161_R01C02"
"2",10,105000,135462374,0.0217,"GSM2402908_6929689161_R01C02"
"3",11,130000,134873258,0.0368,"GSM2402908_6929689161_R01C02"
"4",12,172870,133770948,0.0254,"GSM2402908_6929689161_R01C02"
"5",13,19110000,115079939,0.0323,"GSM2402908_6929689161_R01C02"
"6",14,19325000,107119770,0.024,"GSM2402908_6929689161_R01C02"
"7",15,20225000,102410696,0.0291,"GSM2402908_6929689161_R01C02"
"8",16,105000,90222377,0.0433,"GSM2402908_6929689161_R01C02"
"9",17,25000,81122605,-0.0454,"GSM2402908_6929689161_R01C02"
"10",18,80000,77983624,-0.1068,"GSM2402908_6929689161_R01C02"
"11",19,180000,59084492,0.0079,"GSM2402908_6929689161_R01C02"
"12",2,130000,242775000,-9e-04,"GSM2402908_6929689161_R01C02"
"13",2,242825000,243026238,-4.627,"GSM2402908_6929689161_R01C02"
"14",20,155000,62907760,0.0082,"GSM2402908_6929689161_R01C02"
"15",21,10848948,48084948,0.0141,"GSM2402908_6929689161_R01C02"
"16",22,16373925,51222283,0.0216,"GSM2402908_6929689161_R01C02"
"17",3,155000,197831215,0.0204,"GSM2402908_6929689161_R01C02"
"18",4,55000,190972138,-0.0516,"GSM2402908_6929689161_R01C02"
"19",5,55000,180777630,0.0162,"GSM2402908_6929689161_R01C02"
"20",6,155000,18350000,0.023,"GSM2402908_6929689161_R01C02"
"21",6,18775000,24725000,0.2399,"GSM2402908_6929689161_R01C02"
"22",6,24825000,170952534,0.012,"GSM2402908_6929689161_R01C02"
"23",7,55000,159039332,0.0571,"GSM2402908_6929689161_R01C02"
"24",8,105000,146277011,0.0044,"GSM2402908_6929689161_R01C02"
"25",9,130000,141076716,0.0408,"GSM2402908_6929689161_R01C02"
"26",1,635684,249195311,0.0301,"GSM2403758_9283265153_R04C02"
"27",10,105000,135462374,0.0514,"GSM2403758_9283265153_R04C02"
"28",11,130000,134873258,0.0501,"GSM2403758_9283265153_R04C02"
"29",12,172870,133770948,0.0518,"GSM2403758_9283265153_R04C02"
"30",13,19110000,115079939,0.1571,"GSM2403758_9283265153_R04C02"
"31",14,19325000,107119770,0.0155,"GSM2403758_9283265153_R04C02"
"32",15,20225000,102410696,0.0077,"GSM2403758_9283265153_R04C02"
"33",16,105000,90222377,0.0573,"GSM2403758_9283265153_R04C02"
"34",17,25000,81122605,-0.0918,"GSM2403758_9283265153_R04C02"
"35",18,80000,77983624,-0.1031,"GSM2403758_9283265153_R04C02"
"36",19,180000,59084492,-0.0353,"GSM2403758_9283265153_R04C02"
"37",2,130000,243026238,0.0385,"GSM2403758_9283265153_R04C02"
"38",20,155000,62907760,-0.0137,"GSM2403758_9283265153_R04C02"
"39",21,10848948,48084948,0.0249,"GSM2403758_9283265153_R04C02"
"40",22,16373925,51222283,-0.0478,"GSM2403758_9283265153_R04C02"
"41",3,155000,197831215,0.076,"GSM2403758_9283265153_R04C02"
"42",4,55000,190972138,-0.0346,"GSM2403758_9283265153_R04C02"
"43",5,55000,180777630,0.0545,"GSM2403758_9283265153_R04C02"
"44",6,155000,170952534,0.0566,"GSM2403758_9283265153_R04C02"
"45",7,55000,159039332,0.1069,"GSM2403758_9283265153_R04C02"
"46",8,105000,146277011,0.0432,"GSM2403758_9283265153_R04C02"
"47",9,130000,141076716,0.0318,"GSM2403758_9283265153_R04C02"
"48",1,635684,249195311,0.0029,"GSM2404552_9553932029_R06C01"
"49",10,105000,135462374,0.0196,"GSM2404552_9553932029_R06C01"
"50",11,130000,48125000,-0.0164,"GSM2404552_9553932029_R06C01"
"51",11,48550000,56100000,-0.2609,"GSM2404552_9553932029_R06C01"
"52",11,56300000,134873258,-0.0027,"GSM2404552_9553932029_R06C01"
"53",12,172870,133770948,0.0558,"GSM2404552_9553932029_R06C01"
"54",13,19110000,115079939,0.0575,"GSM2404552_9553932029_R06C01"
"55",14,19325000,107119770,0.008,"GSM2404552_9553932029_R06C01"
"56",15,20225000,102410696,0.009,"GSM2404552_9553932029_R06C01"
"57",16,105000,90222377,0.0115,"GSM2404552_9553932029_R06C01"
"58",17,25000,81122605,-0.0552,"GSM2404552_9553932029_R06C01"
"59",18,80000,77983624,-0.0694,"GSM2404552_9553932029_R06C01"
"60",19,180000,59084492,-0.0118,"GSM2404552_9553932029_R06C01"
"61",2,130000,243026238,0.0088,"GSM2404552_9553932029_R06C01"
"62",20,155000,62907760,-0.0311,"GSM2404552_9553932029_R06C01"
"63",21,10848948,48084948,-0.0027,"GSM2404552_9553932029_R06C01"
"64",22,16373925,51222283,8e-04,"GSM2404552_9553932029_R06C01"
"65",3,155000,197831215,0.0262,"GSM2404552_9553932029_R06C01"
"66",4,55000,190972138,-0.0302,"GSM2404552_9553932029_R06C01"
"67",5,55000,180777630,0.0142,"GSM2404552_9553932029_R06C01"
