"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.008,"GSM2402991_6929689149_R02C02",0.508360195376485
"2",10,105000,135462374,-0.0066,"GSM2402991_6929689149_R02C02",0.508360195376485
"3",11,130000,134873258,0.0101,"GSM2402991_6929689149_R02C02",0.508360195376485
"4",12,172870,133770948,-7e-04,"GSM2402991_6929689149_R02C02",0.508360195376485
"5",13,19110000,115079939,-0.0266,"GSM2402991_6929689149_R02C02",0.508360195376485
"6",14,19325000,107119770,-0.011,"GSM2402991_6929689149_R02C02",0.508360195376485
"7",15,20225000,102410696,-0.0036,"GSM2402991_6929689149_R02C02",0.508360195376485
"8",16,105000,90222377,0.0173,"GSM2402991_6929689149_R02C02",0.508360195376485
"9",17,25000,81122605,-0.0638,"GSM2402991_6929689149_R02C02",0.508360195376485
"10",18,80000,77983624,-0.1276,"GSM2402991_6929689149_R02C02",0.508360195376485
"11",19,180000,59084492,-0.0221,"GSM2402991_6929689149_R02C02",0.508360195376485
"12",2,130000,243026238,-0.0323,"GSM2402991_6929689149_R02C02",0.508360195376485
"13",20,155000,62907760,-0.0341,"GSM2402991_6929689149_R02C02",0.508360195376485
"14",21,10848948,48084948,-0.025,"GSM2402991_6929689149_R02C02",0.508360195376485
"15",22,16373925,51222283,-0.0102,"GSM2402991_6929689149_R02C02",0.508360195376485
"16",3,155000,197831215,-0.0095,"GSM2402991_6929689149_R02C02",0.508360195376485
"17",4,55000,190972138,-0.0681,"GSM2402991_6929689149_R02C02",0.508360195376485
"18",5,55000,180777630,-0.0086,"GSM2402991_6929689149_R02C02",0.508360195376485
"19",6,155000,170952534,-0.0285,"GSM2402991_6929689149_R02C02",0.508360195376485
"20",7,55000,159039332,0.0139,"GSM2402991_6929689149_R02C02",0.508360195376485
"21",8,105000,146277011,-0.0347,"GSM2402991_6929689149_R02C02",0.508360195376485
"22",9,130000,141076716,-0.0145,"GSM2402991_6929689149_R02C02",0.508360195376485
"23",1,635684,249195311,0.0105,"GSM2403187_6929806024_R01C01",0.466779967761095
"24",10,105000,135462374,-0.0105,"GSM2403187_6929806024_R01C01",0.466779967761095
"25",11,130000,134873258,-0.004,"GSM2403187_6929806024_R01C01",0.466779967761095
"26",12,172870,133770948,-0.0141,"GSM2403187_6929806024_R01C01",0.466779967761095
"27",13,19110000,115079939,-0.0438,"GSM2403187_6929806024_R01C01",0.466779967761095
"28",14,19325000,107119770,-0.0085,"GSM2403187_6929806024_R01C01",0.466779967761095
"29",15,20225000,102410696,-0.0065,"GSM2403187_6929806024_R01C01",0.466779967761095
"30",16,105000,90222377,0.0175,"GSM2403187_6929806024_R01C01",0.466779967761095
"31",17,25000,81122605,-0.0411,"GSM2403187_6929806024_R01C01",0.466779967761095
"32",18,80000,77983624,-0.0975,"GSM2403187_6929806024_R01C01",0.466779967761095
"33",19,180000,59084492,-0.017,"GSM2403187_6929806024_R01C01",0.466779967761095
"34",2,130000,243026238,-0.0332,"GSM2403187_6929806024_R01C01",0.466779967761095
"35",20,155000,62907760,-0.02,"GSM2403187_6929806024_R01C01",0.466779967761095
"36",21,10848948,48084948,-0.0167,"GSM2403187_6929806024_R01C01",0.466779967761095
"37",22,16373925,51222283,0.0264,"GSM2403187_6929806024_R01C01",0.466779967761095
"38",3,155000,197831215,-0.0308,"GSM2403187_6929806024_R01C01",0.466779967761095
