"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0301,"GSM2403778_9296930016_R05C01",0.517747737101699
"2",10,105000,135462374,-0.1008,"GSM2403778_9296930016_R05C01",0.517747737101699
"3",11,130000,134873258,0.0311,"GSM2403778_9296930016_R05C01",0.517747737101699
"4",12,172870,133770948,-0.0396,"GSM2403778_9296930016_R05C01",0.517747737101699
"5",13,19110000,115079939,0.0161,"GSM2403778_9296930016_R05C01",0.517747737101699
"6",14,19325000,107119770,-0.011,"GSM2403778_9296930016_R05C01",0.517747737101699
"7",15,20225000,102410696,0.0374,"GSM2403778_9296930016_R05C01",0.517747737101699
"8",16,105000,90222377,-0.007,"GSM2403778_9296930016_R05C01",0.517747737101699
"9",17,25000,81122605,-0.1014,"GSM2403778_9296930016_R05C01",0.517747737101699
"10",18,80000,77983624,-0.0758,"GSM2403778_9296930016_R05C01",0.517747737101699
"11",19,180000,59084492,-0.0671,"GSM2403778_9296930016_R05C01",0.517747737101699
"12",2,130000,243026238,-0.1241,"GSM2403778_9296930016_R05C01",0.517747737101699
"13",20,155000,62907760,-0.0244,"GSM2403778_9296930016_R05C01",0.517747737101699
"14",21,10848948,48084948,-0.0337,"GSM2403778_9296930016_R05C01",0.517747737101699
"15",22,16373925,51222283,-0.1026,"GSM2403778_9296930016_R05C01",0.517747737101699
"16",3,155000,197831215,-0.053,"GSM2403778_9296930016_R05C01",0.517747737101699
"17",4,55000,190972138,-0.0256,"GSM2403778_9296930016_R05C01",0.517747737101699
"18",5,55000,180777630,-0.0285,"GSM2403778_9296930016_R05C01",0.517747737101699
"19",6,155000,170952534,-0.0275,"GSM2403778_9296930016_R05C01",0.517747737101699
"20",7,55000,159039332,0.0604,"GSM2403778_9296930016_R05C01",0.517747737101699
"21",8,105000,146277011,0.0172,"GSM2403778_9296930016_R05C01",0.517747737101699
"22",9,130000,141076716,-0.1019,"GSM2403778_9296930016_R05C01",0.517747737101699
"23",1,635684,249195311,-0.031,"GSM2404240_9406921038_R03C01",0.661800312301601
"24",10,105000,4625000,0.1905,"GSM2404240_9406921038_R03C01",0.661800312301601
"25",10,4875000,135462374,-0.1506,"GSM2404240_9406921038_R03C01",0.661800312301601
"26",11,130000,134873258,-0.1621,"GSM2404240_9406921038_R03C01",0.661800312301601
"27",12,172870,34275000,-0.2262,"GSM2404240_9406921038_R03C01",0.661800312301601
"28",12,34375000,38525000,0.2073,"GSM2404240_9406921038_R03C01",0.661800312301601
"29",12,38650000,133770948,-0.1721,"GSM2404240_9406921038_R03C01",0.661800312301601
"30",13,19110000,115079939,-0.2215,"GSM2404240_9406921038_R03C01",0.661800312301601
"31",14,19325000,20450000,0.2494,"GSM2404240_9406921038_R03C01",0.661800312301601
"32",14,20800000,107119770,-0.1295,"GSM2404240_9406921038_R03C01",0.661800312301601
"33",15,20225000,102410696,-0.1656,"GSM2404240_9406921038_R03C01",0.661800312301601
"34",16,105000,79450000,-0.1118,"GSM2404240_9406921038_R03C01",0.661800312301601
"35",16,79625000,81125000,-0.5157,"GSM2404240_9406921038_R03C01",0.661800312301601
"36",16,81225000,90222377,-0.065,"GSM2404240_9406921038_R03C01",0.661800312301601
"37",17,25000,81122605,-0.0152,"GSM2404240_9406921038_R03C01",0.661800312301601
"38",18,80000,77983624,-0.1921,"GSM2404240_9406921038_R03C01",0.661800312301601
"39",19,180000,59084492,-0.0745,"GSM2404240_9406921038_R03C01",0.661800312301601
"40",2,130000,243026238,-0.0287,"GSM2404240_9406921038_R03C01",0.661800312301601
"41",20,155000,62907760,-0.1314,"GSM2404240_9406921038_R03C01",0.661800312301601
"42",21,10848948,48084948,-0.0775,"GSM2404240_9406921038_R03C01",0.661800312301601
