"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.2102,"GSM2403921_9305651046_R04C02",0.70772815358921
"2",10,105000,135462374,-0.1691,"GSM2403921_9305651046_R04C02",0.70772815358921
"3",11,130000,134873258,0.0576,"GSM2403921_9305651046_R04C02",0.70772815358921
"4",12,172870,133770948,-0.1901,"GSM2403921_9305651046_R04C02",0.70772815358921
"5",13,19110000,115079939,-0.1405,"GSM2403921_9305651046_R04C02",0.70772815358921
"6",14,19325000,107119770,-0.221,"GSM2403921_9305651046_R04C02",0.70772815358921
"7",15,20225000,102410696,0.2059,"GSM2403921_9305651046_R04C02",0.70772815358921
"8",16,105000,90222377,0.2481,"GSM2403921_9305651046_R04C02",0.70772815358921
"9",17,25000,81122605,-9e-04,"GSM2403921_9305651046_R04C02",0.70772815358921
"10",18,80000,77983624,0.1296,"GSM2403921_9305651046_R04C02",0.70772815358921
"11",19,180000,59084492,-0.1781,"GSM2403921_9305651046_R04C02",0.70772815358921
"12",2,130000,242825000,-0.2005,"GSM2403921_9305651046_R04C02",0.70772815358921
"13",2,242875000,243026238,-1.7264,"GSM2403921_9305651046_R04C02",0.70772815358921
"14",20,155000,62907760,0.1668,"GSM2403921_9305651046_R04C02",0.70772815358921
"15",21,10848948,48084948,0.2209,"GSM2403921_9305651046_R04C02",0.70772815358921
"16",22,16373925,51222283,-0.195,"GSM2403921_9305651046_R04C02",0.70772815358921
"17",3,155000,197831215,-0.1997,"GSM2403921_9305651046_R04C02",0.70772815358921
"18",4,55000,190972138,0.1868,"GSM2403921_9305651046_R04C02",0.70772815358921
"19",5,55000,180777630,0.2037,"GSM2403921_9305651046_R04C02",0.70772815358921
"20",6,155000,170952534,-0.1927,"GSM2403921_9305651046_R04C02",0.70772815358921
"21",7,55000,159039332,0.0907,"GSM2403921_9305651046_R04C02",0.70772815358921
"22",8,105000,146277011,-0.2045,"GSM2403921_9305651046_R04C02",0.70772815358921
"23",9,130000,141076716,-0.1869,"GSM2403921_9305651046_R04C02",0.70772815358921
"24",1,635684,16825000,-0.3562,"GSM2403922_9305651050_R05C01",0.781827267923776
"25",1,16875000,17187829,0.0734,"GSM2403922_9305651050_R05C01",0.781827267923776
"26",1,17225000,120350000,-0.506,"GSM2403922_9305651050_R05C01",0.781827267923776
"27",1,120548578,145375000,-0.019,"GSM2403922_9305651050_R05C01",0.781827267923776
"28",1,145425000,147200000,-0.5477,"GSM2403922_9305651050_R05C01",0.781827267923776
"29",1,147475000,149700000,-0.0325,"GSM2403922_9305651050_R05C01",0.781827267923776
"30",1,149800000,249195311,-0.4645,"GSM2403922_9305651050_R05C01",0.781827267923776
"31",10,105000,4300000,-0.0484,"GSM2403922_9305651050_R05C01",0.781827267923776
"32",10,4625000,135462374,-0.4223,"GSM2403922_9305651050_R05C01",0.781827267923776
"33",11,130000,134873258,0.0538,"GSM2403922_9305651050_R05C01",0.781827267923776
"34",12,172870,133770948,0.019,"GSM2403922_9305651050_R05C01",0.781827267923776
"35",13,19110000,115079939,0.1137,"GSM2403922_9305651050_R05C01",0.781827267923776
"36",14,19325000,20025000,0.2944,"GSM2403922_9305651050_R05C01",0.781827267923776
"37",14,20450000,106025000,-0.4727,"GSM2403922_9305651050_R05C01",0.781827267923776
"38",14,106075000,107119770,0.048,"GSM2403922_9305651050_R05C01",0.781827267923776
"39",15,20225000,102410696,0.0711,"GSM2403922_9305651050_R05C01",0.781827267923776
"40",16,105000,90222377,0.1022,"GSM2403922_9305651050_R05C01",0.781827267923776
"41",17,25000,81122605,-0.0157,"GSM2403922_9305651050_R05C01",0.781827267923776
"42",18,80000,77983624,-1e-04,"GSM2403922_9305651050_R05C01",0.781827267923776
"43",19,180000,59084492,0.0281,"GSM2403922_9305651050_R05C01",0.781827267923776
"44",2,130000,88975000,-0.1508,"GSM2403922_9305651050_R05C01",0.781827267923776
"45",2,89315218,95438086,0.2511,"GSM2403922_9305651050_R05C01",0.781827267923776
"46",2,95625000,243026238,-0.1415,"GSM2403922_9305651050_R05C01",0.781827267923776
