"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0528,"GSM2403710_9007225003_R03C01"
"2",10,105000,135462374,0.0434,"GSM2403710_9007225003_R03C01"
"3",11,130000,134873258,0.0473,"GSM2403710_9007225003_R03C01"
"4",12,172870,133770948,0.0367,"GSM2403710_9007225003_R03C01"
"5",13,19110000,115079939,0.0465,"GSM2403710_9007225003_R03C01"
"6",14,19325000,107119770,0.0285,"GSM2403710_9007225003_R03C01"
"7",15,20225000,102410696,0.0388,"GSM2403710_9007225003_R03C01"
"8",16,105000,90222377,0.0413,"GSM2403710_9007225003_R03C01"
"9",17,25000,81122605,-0.0747,"GSM2403710_9007225003_R03C01"
"10",18,80000,77983624,-0.1342,"GSM2403710_9007225003_R03C01"
"11",19,180000,59084492,-0.0314,"GSM2403710_9007225003_R03C01"
"12",2,130000,243026238,0.0081,"GSM2403710_9007225003_R03C01"
"13",20,155000,62907760,-0.0132,"GSM2403710_9007225003_R03C01"
"14",21,10848948,48084948,0.0024,"GSM2403710_9007225003_R03C01"
"15",22,16373925,51222283,0.0059,"GSM2403710_9007225003_R03C01"
"16",3,155000,197831215,0.0286,"GSM2403710_9007225003_R03C01"
"17",4,55000,190972138,-0.0571,"GSM2403710_9007225003_R03C01"
"18",5,55000,180777630,0.0368,"GSM2403710_9007225003_R03C01"
"19",6,155000,170952534,0.0193,"GSM2403710_9007225003_R03C01"
"20",7,55000,159039332,0.0682,"GSM2403710_9007225003_R03C01"
"21",8,105000,146277011,0.0133,"GSM2403710_9007225003_R03C01"
"22",9,130000,141076716,0.0402,"GSM2403710_9007225003_R03C01"
"23",1,635684,249195311,-6e-04,"GSM2403711_9007225003_R02C01"
"24",10,105000,135462374,0.0149,"GSM2403711_9007225003_R02C01"
"25",11,130000,134873258,0.0189,"GSM2403711_9007225003_R02C01"
"26",12,172870,133770948,-0.0204,"GSM2403711_9007225003_R02C01"
"27",13,19110000,115079939,-0.0436,"GSM2403711_9007225003_R02C01"
"28",14,19325000,107119770,-0.0177,"GSM2403711_9007225003_R02C01"
"29",15,20225000,102410696,0.0276,"GSM2403711_9007225003_R02C01"
"30",16,105000,90222377,-0.0171,"GSM2403711_9007225003_R02C01"
"31",17,25000,18925000,-0.1626,"GSM2403711_9007225003_R02C01"
"32",17,19025000,81122605,0.1535,"GSM2403711_9007225003_R02C01"
"33",18,80000,77983624,-0.0072,"GSM2403711_9007225003_R02C01"
"34",19,180000,59084492,0.0173,"GSM2403711_9007225003_R02C01"
"35",2,130000,243026238,-0.0247,"GSM2403711_9007225003_R02C01"
"36",20,155000,62907760,0.0696,"GSM2403711_9007225003_R02C01"
"37",21,10848948,48084948,0.0411,"GSM2403711_9007225003_R02C01"
"38",22,16373925,51222283,0.0088,"GSM2403711_9007225003_R02C01"
"39",3,155000,169125000,-0.0638,"GSM2403711_9007225003_R02C01"
"40",3,169375000,170775000,0.2679,"GSM2403711_9007225003_R02C01"
"41",3,171025000,197831215,-0.0319,"GSM2403711_9007225003_R02C01"
"42",4,55000,190972138,-0.0245,"GSM2403711_9007225003_R02C01"
"43",5,55000,180777630,-0.0283,"GSM2403711_9007225003_R02C01"
"44",6,155000,170952534,-0.0424,"GSM2403711_9007225003_R02C01"
"45",7,55000,159039332,0.0598,"GSM2403711_9007225003_R02C01"
"46",8,105000,146277011,-0.0415,"GSM2403711_9007225003_R02C01"
"47",9,130000,141076716,-0.0336,"GSM2403711_9007225003_R02C01"
"48",1,635684,147475000,-0.0096,"GSM2403742_9007225163_R04C01"
"49",1,147725000,149700000,0.3077,"GSM2403742_9007225163_R04C01"
"50",1,149800000,249195311,-0.0206,"GSM2403742_9007225163_R04C01"
