"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.093,"GSM2404019_9340996003_R04C02",0.521580899306978
"2",10,105000,135462374,-0.0875,"GSM2404019_9340996003_R04C02",0.521580899306978
"3",11,130000,134873258,0.0742,"GSM2404019_9340996003_R04C02",0.521580899306978
"4",12,172870,133770948,0.204,"GSM2404019_9340996003_R04C02",0.521580899306978
"5",13,19110000,115079939,-0.1249,"GSM2404019_9340996003_R04C02",0.521580899306978
"6",14,19325000,107119770,-0.1082,"GSM2404019_9340996003_R04C02",0.521580899306978
"7",15,20225000,102410696,0.0845,"GSM2404019_9340996003_R04C02",0.521580899306978
"8",16,105000,90222377,-0.0602,"GSM2404019_9340996003_R04C02",0.521580899306978
"9",17,25000,81122605,0.0167,"GSM2404019_9340996003_R04C02",0.521580899306978
"10",18,80000,77983624,-0.0358,"GSM2404019_9340996003_R04C02",0.521580899306978
"11",19,180000,59084492,-0.1015,"GSM2404019_9340996003_R04C02",0.521580899306978
"12",2,130000,243026238,0.0515,"GSM2404019_9340996003_R04C02",0.521580899306978
"13",20,155000,62907760,0.0339,"GSM2404019_9340996003_R04C02",0.521580899306978
"14",21,10848948,15775000,0.0322,"GSM2404019_9340996003_R04C02",0.521580899306978
"15",21,16475000,22375000,-0.3376,"GSM2404019_9340996003_R04C02",0.521580899306978
"16",21,24675000,48084948,-0.0815,"GSM2404019_9340996003_R04C02",0.521580899306978
"17",22,16373925,51222283,-0.0737,"GSM2404019_9340996003_R04C02",0.521580899306978
"18",3,155000,197831215,-0.1423,"GSM2404019_9340996003_R04C02",0.521580899306978
"19",4,55000,190972138,-0.1833,"GSM2404019_9340996003_R04C02",0.521580899306978
"20",5,55000,180777630,-0.1228,"GSM2404019_9340996003_R04C02",0.521580899306978
"21",6,155000,170952534,-0.1364,"GSM2404019_9340996003_R04C02",0.521580899306978
"22",7,55000,159039332,0.1071,"GSM2404019_9340996003_R04C02",0.521580899306978
"23",8,105000,88875000,0.0767,"GSM2404019_9340996003_R04C02",0.521580899306978
"24",8,89100000,92850000,-0.1873,"GSM2404019_9340996003_R04C02",0.521580899306978
"25",8,93125000,146277011,0.049,"GSM2404019_9340996003_R04C02",0.521580899306978
"26",9,130000,141076716,0.0831,"GSM2404019_9340996003_R04C02",0.521580899306978
"27",1,635684,147475000,-0.1237,"GSM2404193_9376538153_R02C02",0.650525950608061
"28",1,147725000,149875000,0.1367,"GSM2404193_9376538153_R02C02",0.650525950608061
"29",1,149925000,249195311,-0.1724,"GSM2404193_9376538153_R02C02",0.650525950608061
"30",10,105000,135462374,-0.1201,"GSM2404193_9376538153_R02C02",0.650525950608061
"31",11,130000,134873258,0.0332,"GSM2404193_9376538153_R02C02",0.650525950608061
"32",12,172870,133770948,0.22,"GSM2404193_9376538153_R02C02",0.650525950608061
"33",13,19110000,115079939,-0.1331,"GSM2404193_9376538153_R02C02",0.650525950608061
"34",14,19325000,20025000,0.4362,"GSM2404193_9376538153_R02C02",0.650525950608061
"35",14,20450000,107119770,0.0811,"GSM2404193_9376538153_R02C02",0.650525950608061
"36",15,20225000,102410696,-0.1056,"GSM2404193_9376538153_R02C02",0.650525950608061
"37",16,105000,61600000,-0.0888,"GSM2404193_9376538153_R02C02",0.650525950608061
"38",16,62075000,66050000,-0.4125,"GSM2404193_9376538153_R02C02",0.650525950608061
"39",16,66275000,90222377,-0.0576,"GSM2404193_9376538153_R02C02",0.650525950608061
"40",17,25000,81122605,-0.1091,"GSM2404193_9376538153_R02C02",0.650525950608061
"41",18,80000,77983624,-0.1291,"GSM2404193_9376538153_R02C02",0.650525950608061
"42",19,180000,59084492,-0.0845,"GSM2404193_9376538153_R02C02",0.650525950608061
"43",2,130000,243026238,-0.1444,"GSM2404193_9376538153_R02C02",0.650525950608061
"44",20,155000,62907760,0.0439,"GSM2404193_9376538153_R02C02",0.650525950608061
"45",21,10848948,48084948,0.1166,"GSM2404193_9376538153_R02C02",0.650525950608061
"46",22,16373925,51222283,-0.0594,"GSM2404193_9376538153_R02C02",0.650525950608061
"47",3,155000,197831215,-0.2063,"GSM2404193_9376538153_R02C02",0.650525950608061
"48",4,55000,190972138,-0.1807,"GSM2404193_9376538153_R02C02",0.650525950608061
"49",5,55000,180777630,-0.1746,"GSM2404193_9376538153_R02C02",0.650525950608061
"50",6,155000,170952534,-0.1583,"GSM2404193_9376538153_R02C02",0.650525950608061
"51",7,55000,159039332,0.0954,"GSM2404193_9376538153_R02C02",0.650525950608061
"52",8,105000,8100000,0.1197,"GSM2404193_9376538153_R02C02",0.650525950608061
"53",8,8175000,146277011,-0.1653,"GSM2404193_9376538153_R02C02",0.650525950608061
"54",9,130000,141076716,0.0777,"GSM2404193_9376538153_R02C02",0.650525950608061
"55",1,635684,249195311,-0.0603,"GSM2404484_9444374134_R05C02",0.703060826819934
"56",10,105000,135462374,-0.0401,"GSM2404484_9444374134_R05C02",0.703060826819934
"57",11,130000,134873258,-0.0927,"GSM2404484_9444374134_R05C02",0.703060826819934
"58",12,172870,133770948,-0.0828,"GSM2404484_9444374134_R05C02",0.703060826819934
"59",13,19110000,115079939,-0.1009,"GSM2404484_9444374134_R05C02",0.703060826819934
"60",14,19325000,107119770,-0.063,"GSM2404484_9444374134_R05C02",0.703060826819934
"61",15,20225000,102410696,-0.0348,"GSM2404484_9444374134_R05C02",0.703060826819934
"62",16,105000,58775000,0.0063,"GSM2404484_9444374134_R05C02",0.703060826819934
"63",16,59975000,66050000,-0.3258,"GSM2404484_9444374134_R05C02",0.703060826819934
"64",16,66275000,90222377,0.0369,"GSM2404484_9444374134_R05C02",0.703060826819934
"65",17,25000,81122605,-0.0343,"GSM2404484_9444374134_R05C02",0.703060826819934
"66",18,80000,77983624,-0.0857,"GSM2404484_9444374134_R05C02",0.703060826819934
"67",19,180000,59084492,-0.0056,"GSM2404484_9444374134_R05C02",0.703060826819934
"68",2,130000,188075000,-0.0917,"GSM2404484_9444374134_R05C02",0.703060826819934
"69",2,188775000,190150000,-0.8012,"GSM2404484_9444374134_R05C02",0.703060826819934
"70",2,190325000,243026238,-0.0699,"GSM2404484_9444374134_R05C02",0.703060826819934
"71",20,155000,62907760,-0.0567,"GSM2404484_9444374134_R05C02",0.703060826819934
"72",21,10848948,48084948,-0.0016,"GSM2404484_9444374134_R05C02",0.703060826819934
"73",22,16373925,51222283,0.0284,"GSM2404484_9444374134_R05C02",0.703060826819934
"74",3,155000,187925000,-0.1461,"GSM2404484_9444374134_R05C02",0.703060826819934
"75",3,1.88e+08,191925000,-0.4398,"GSM2404484_9444374134_R05C02",0.703060826819934
"76",3,192300000,197831215,-0.0076,"GSM2404484_9444374134_R05C02",0.703060826819934
"77",4,55000,190972138,-0.1439,"GSM2404484_9444374134_R05C02",0.703060826819934
"78",5,55000,180777630,-0.1104,"GSM2404484_9444374134_R05C02",0.703060826819934
"79",6,155000,32225000,-0.0856,"GSM2404484_9444374134_R05C02",0.703060826819934
"80",6,32275000,32575000,-0.4266,"GSM2404484_9444374134_R05C02",0.703060826819934
"81",6,32650000,170952534,-0.1246,"GSM2404484_9444374134_R05C02",0.703060826819934
"82",7,55000,159039332,-0.0629,"GSM2404484_9444374134_R05C02",0.703060826819934
"83",8,105000,33575000,-0.009,"GSM2404484_9444374134_R05C02",0.703060826819934
"84",8,34325000,36800000,-0.5693,"GSM2404484_9444374134_R05C02",0.703060826819934
