"chrom","start.pos","end.pos","n.probes","GSM2402915_6929689168_R06C01","GSM2402921_6164621144_R02C01","GSM2402974_6929718026_R06C01","GSM2402975_6929718026_R01C02","GSM2403070_6229017022_R06C02","GSM2403463_8622007027_R01C01","GSM2403719_9007225017_R01C02","GSM2404119_9376561062_R05C01","GSM2404124_9379086124_R04C01","GSM2404128_9379086124_R02C02","GSM2404148_9407201022_R06C01","GSM2404149_9407201022_R03C02","GSM2404153_9407201022_R04C01","GSM2404155_9407201022_R04C02","GSM2404156_9407201021_R02C01","GSM2404162_9407201022_R05C02","GSM2404168_9407201022_R02C01","GSM2404379_9422493151_R06C02","GSM2404776_9769100008_R02C01","GSM2404836_9533774082_R05C01","GSM2404842_9533774084_R03C01","GSM2404880_9534104026_R01C01","GSM2404882_9534104026_R05C01","GSM2405013_9969477044_R03C02","GSM2405016_9969477044_R04C02","GSM2405210_9878820127_R04C01","GSM2405251_9878827227_R04C01","GSM2405449_3999875052_R01C02","GSM2405450_3999875052_R02C02","GSM2941232_3999547142_R01C01","GSM2941448_9533774021_R02C02"
"1",1,521369,249150001,1593,0.065,0.072,0.062,0.045,0.054,0.047,0.056,0.06,0.028,0.025,0.033,0.027,0.005,0.049,0.024,0.045,0.014,0.012,0.034,0.021,0.01,0.035,0.041,0.064,0.059,0.064,0.031,0.055,0.08,0.062,-0.004
"2",2,10001,242950001,1282,0.024,0.044,-0.012,0,0.007,0.004,0.058,0.038,0.112,-0.007,0.009,0.029,-0.014,0.035,-0.004,0.028,0.013,-0.035,-0.013,0.017,-0.004,-0.008,-0.023,-0.007,-0.012,0.052,0.006,0.011,0.003,0.013,-0.057
"3",3,60001,197700001,978,0.062,0.096,0.02,0.022,0.038,0.013,0.126,0.05,-0.246,-0.008,0.01,0.059,-0.059,0.053,-0.015,0.047,0.012,-0.091,-0.032,0.038,-0.003,-0.021,-0.045,-0.02,-0.042,0.104,0.012,0.008,0.003,0.025,-0.052
"4",4,10001,190900001,742,-0.036,-0.022,-0.053,-0.05,-0.037,-0.022,-0.033,-0.03,-0.065,-0.056,-0.017,-0.016,-0.015,-0.013,-0.032,-0.027,-0.014,-0.03,-0.043,-0.019,-0.022,-0.038,-0.078,-0.062,-0.009,0.012,-0.047,-0.083,-0.068,-0.065,-0.093
"5",5,10001,180650001,849,0.052,0.081,0.025,0.018,0.032,0.024,0.043,0.047,-0.019,0.002,0.025,0.051,-0.023,0.042,-0.001,0.045,0.013,-0.04,-0.005,0.031,0.003,-0.015,-0.036,-0.003,-0.002,0.084,0.016,-0.008,0.025,0.025,0.117
"6",6,60001,170850001,988,0.035,0.064,-0.012,0.005,0.02,0.008,0.097,0.046,-0.038,-0.014,0.013,0.045,-0.027,0.06,-0.003,0.04,0.033,-0.043,-0.041,0.042,0.007,-0.02,-0.05,-0.035,-0.044,0.088,0.03,0.02,-0.01,0.006,-0.058
"7",7,10001,158950001,952,0.092,0.115,0.046,0.05,0.061,0.035,0.115,0.074,0.124,0.028,0.04,0.096,-0.005,0.055,0.024,0.082,0.057,-0.012,-0.029,0.076,0.028,-0.013,-0.044,-0.011,-0.033,0.103,0.069,0.059,0.023,0.054,0.127
"8",8,10001,146250001,726,0.03,0.052,0,0.004,0.016,0.023,-0.156,0.048,-0.029,0.008,0.022,0.033,0.008,0.03,0.01,0.034,0.021,-0.028,0.009,0.049,0.006,0.003,-0.016,-0.027,0.011,0.049,0.008,0.025,0.017,0.019,0.118
"9",9,10001,141000001,383,0.047,0.09,0.042,0.038,0.042,0.033,0.062,0.064,0.02,0.01,0.024,0.031,0.013,0.03,0.013,0.038,0.019,0.019,-0.004,0.02,0.004,0.008,0.02,0.035,0.017,0.04,0.034,-0.045,0.037,0.049,0.111
"10",10,60001,135400001,840,0.061,0.076,0.051,0.037,0.041,0.048,0.053,0.057,0.007,0.012,0.04,0.071,0.036,0.05,0.028,0.047,0.043,0.027,0.004,0.04,0.022,0.005,0.006,0.029,0.026,0.073,0.043,0.024,0.053,0.049,0.141
