"chrom","start.pos","end.pos","n.probes","GSM2402918_6969568004_R01C01","GSM2402919_6164621144_R04C01","GSM2402920_6164621144_R05C01","GSM2402953_6164621144_R03C02","GSM2402954_6164621144_R02C02","GSM2402956_6164621144_R01C02","GSM2402958_6929718017_R01C01","GSM2402960_6929718027_R02C01","GSM2402961_6929718026_R05C02","GSM2402963_6929718027_R04C01","GSM2403893_9297949147_R02C02","GSM2404097_9376538156_R01C02","GSM2404098_9376538156_R02C01","GSM2404099_9376538156_R03C01","GSM2404127_9379086124_R01C02","GSM2404150_9407201022_R06C02","GSM2404151_9407201021_R02C02","GSM2404154_9407201022_R01C02","GSM2404160_9407201022_R05C01","GSM2404163_9407201025_R01C01","GSM2404165_9407201021_R01C02","GSM2404166_9407201021_R05C02","GSM2404483_9444374134_R02C02","GSM2404775_9769100007_R02C02","GSM2404835_9533774082_R04C01","GSM2404838_9533774082_R01C02","GSM2404841_9533774084_R02C01","GSM2404926_9969477003_R01C01","GSM2405012_9969477044_R02C02","GSM2405014_9969477044_R06C01","GSM2405017_9969477044_R01C02","GSM2405081_9969477098_R04C01","GSM2405211_9878820127_R05C01","GSM2405372_3999834063_R02C02","GSM2405448_3999875052_R05C01","GSM2405520_3998909027_R02C02","GSM2405522_3998909027_R04C02","GSM2941400_9420867051_R06C01","GSM2941535_9721366150_R05C01"
"1",1,521369,249150001,1593,0.058,0.06,0.072,0.052,0.063,0.061,0.038,0.035,0.042,0.044,0.045,0.024,0.015,0.02,0.027,0.019,0.039,0.05,0.051,0.048,0.013,0.072,0.026,0.043,0.016,0.033,0.017,0.039,0.061,0.053,0.062,0.049,0.086,0.012,0.036,0.007,0.019,0.028,0.048
"2",2,10001,242950001,1282,0.021,0.042,0.052,0.03,0.032,0.049,0.014,0,0.009,0.005,-0.02,-0.002,-0.016,0,-0.005,-0.017,0.002,0.058,0.043,0.025,-0.022,-0.003,0.012,-0.035,0.045,0.009,0.023,0.004,0,-0.001,-0.018,0.006,0.085,0.036,-0.002,0.011,0.023,-0.019,0.006
"3",3,60001,197700001,978,0.048,0.079,0.093,0.06,0.068,0.082,0.027,0.014,0.018,0.018,-0.017,-0.007,-0.017,0.005,-0.006,-0.016,0.004,0.075,0.073,0.034,-0.052,-0.022,-0.018,-0.047,0.078,0.027,0.013,-0.011,0.015,-0.009,-0.018,0.011,0.147,0.048,0.006,-0.021,0.005,-0.013,0.001
"4",4,10001,190900001,742,-0.035,-0.025,-0.013,-0.032,-0.028,-0.012,-0.031,-0.039,-0.039,-0.056,-0.081,-0.051,-0.042,-0.042,-0.055,-0.048,-0.034,0.007,-0.016,-0.036,-0.04,-0.037,0.02,-0.076,-0.001,-0.011,-0.015,-0.044,-0.059,-0.04,-0.086,-0.035,0.037,-0.015,-0.041,0.021,-0.024,-0.067,-0.054
"5",5,10001,180650001,849,0.036,0.071,0.081,0.055,0.056,0.075,0.026,0.018,0.02,0.013,-0.009,0.005,-0.006,0.004,-0.006,-0.01,0.014,0.079,0.062,0.035,-0.033,-0.001,0.006,-0.038,0.055,0.02,0.015,0,0.012,0.005,-0.016,0.014,0.127,0.043,0.009,0.004,0.017,-0.004,0.01
"6",6,60001,170850001,988,0.028,0.06,0.07,0.041,0.048,0.064,0.016,0,0.014,0.007,-0.028,-0.007,-0.03,0.001,-0.005,-0.021,0,0.075,0.06,0.025,-0.036,0.019,0.005,-0.072,0.078,0.012,0.036,-0.014,-0.016,-0.023,-0.05,0,0.117,0.056,0.015,0.021,0.031,-0.014,-0.001
"7",7,10001,158950001,952,0.074,0.105,0.108,0.085,0.099,0.108,0.061,0.042,0.055,0.056,0.009,0.033,0.124,0.039,0.03,0.243,0.183,0.099,0.098,0.06,-0.002,0.05,0.024,-0.049,0.101,0.032,0.069,0.004,-0.021,0.011,-0.021,0.026,0.138,0.114,0.051,0.043,0.09,0.23,0.032
"8",8,10001,146250001,726,0.024,0.044,0.055,0.037,0.043,0.057,0.023,0.016,0.024,0.006,-0.012,0.013,0.006,0.01,0.006,-0.009,0.017,0.065,0.047,0.035,-0.009,0.009,0.03,-0.03,0.026,0.005,0.026,0.015,-0.003,0.016,-0.013,0.014,0.083,0.044,0.008,0.038,0.046,-0.013,0.019
"9",9,10001,141000001,383,0.06,0.055,0.069,0.058,0.061,0.057,0.027,0.031,0.028,0.041,0.033,0.027,0.01,0.028,0.014,0.003,0.021,0.038,0.035,0.05,-0.001,0.003,0.019,0.016,0.02,0.028,0.007,0.019,0.05,0.043,0.043,0.024,0.056,0.021,0.011,0.003,0.024,0.014,0.035
"10",10,60001,135400001,840,0.048,0.058,0.073,0.05,0.06,0.066,0.03,0.019,0.027,0.031,0.016,0.022,0.013,0.022,0.007,0.009,0.03,0.063,0.062,0.049,0.009,0.045,0.053,-0.001,0.054,0.026,0.05,0.016,0.023,0.03,0.016,0.029,0.1,0.054,0.034,0.043,0.057,0.024,0.035
