"chromosome","start","end","segmean","sample","noise"
"1",1,635684,121193348,-0.0574,"GSM2403727_9221197132_R01C02",0.848913114665611
"2",1,121392717,145225000,0.2965,"GSM2403727_9221197132_R01C02",0.848913114665611
"3",1,145375000,249195311,-0.0399,"GSM2403727_9221197132_R01C02",0.848913114665611
"4",10,105000,135462374,-0.0186,"GSM2403727_9221197132_R01C02",0.848913114665611
"5",11,130000,134873258,-0.0805,"GSM2403727_9221197132_R01C02",0.848913114665611
"6",12,172870,133770948,-0.0385,"GSM2403727_9221197132_R01C02",0.848913114665611
"7",13,19110000,115079939,0.0085,"GSM2403727_9221197132_R01C02",0.848913114665611
"8",14,19325000,78325000,-0.0853,"GSM2403727_9221197132_R01C02",0.848913114665611
"9",14,78525000,81425000,-0.3697,"GSM2403727_9221197132_R01C02",0.848913114665611
"10",14,81575000,107119770,-0.0071,"GSM2403727_9221197132_R01C02",0.848913114665611
"11",15,20225000,102410696,-0.0359,"GSM2403727_9221197132_R01C02",0.848913114665611
"12",16,105000,90222377,0.0285,"GSM2403727_9221197132_R01C02",0.848913114665611
"13",17,25000,81122605,-0.0573,"GSM2403727_9221197132_R01C02",0.848913114665611
"14",18,80000,77983624,-0.0847,"GSM2403727_9221197132_R01C02",0.848913114665611
"15",19,180000,59084492,-0.01,"GSM2403727_9221197132_R01C02",0.848913114665611
"16",2,130000,243026238,-0.0496,"GSM2403727_9221197132_R01C02",0.848913114665611
"17",20,155000,62907760,-0.0336,"GSM2403727_9221197132_R01C02",0.848913114665611
"18",21,10848948,48084948,0.0049,"GSM2403727_9221197132_R01C02",0.848913114665611
"19",22,16373925,51222283,-0.0364,"GSM2403727_9221197132_R01C02",0.848913114665611
"20",3,155000,197831215,-0.038,"GSM2403727_9221197132_R01C02",0.848913114665611
"21",4,55000,190972138,-0.0823,"GSM2403727_9221197132_R01C02",0.848913114665611
"22",5,55000,180777630,-0.0454,"GSM2403727_9221197132_R01C02",0.848913114665611
"23",6,155000,170952534,-0.0373,"GSM2403727_9221197132_R01C02",0.848913114665611
"24",7,55000,159039332,0.0564,"GSM2403727_9221197132_R01C02",0.848913114665611
"25",8,105000,146277011,-0.0602,"GSM2403727_9221197132_R01C02",0.848913114665611
"26",9,130000,141076716,0.0228,"GSM2403727_9221197132_R01C02",0.848913114665611
"27",1,635684,249195311,-0.0459,"GSM2403851_9305651037_R01C02",0.609493544202336
"28",10,105000,135462374,-0.0278,"GSM2403851_9305651037_R01C02",0.609493544202336
"29",11,130000,23975000,-0.0607,"GSM2403851_9305651037_R01C02",0.609493544202336
"30",11,25325000,31975000,-0.2787,"GSM2403851_9305651037_R01C02",0.609493544202336
"31",11,32250000,134873258,-0.0638,"GSM2403851_9305651037_R01C02",0.609493544202336
"32",12,172870,133770948,-0.0533,"GSM2403851_9305651037_R01C02",0.609493544202336
"33",13,19110000,115079939,-0.0456,"GSM2403851_9305651037_R01C02",0.609493544202336
"34",14,19325000,78525000,-0.0807,"GSM2403851_9305651037_R01C02",0.609493544202336
"35",14,78850000,81050000,-0.4316,"GSM2403851_9305651037_R01C02",0.609493544202336
"36",14,81425000,107119770,0.0177,"GSM2403851_9305651037_R01C02",0.609493544202336
"37",15,20225000,102410696,-0.0236,"GSM2403851_9305651037_R01C02",0.609493544202336
"38",16,105000,90222377,0.005,"GSM2403851_9305651037_R01C02",0.609493544202336
"39",17,25000,81122605,-0.054,"GSM2403851_9305651037_R01C02",0.609493544202336
"40",18,80000,77983624,-0.0864,"GSM2403851_9305651037_R01C02",0.609493544202336
"41",19,180000,59084492,-0.0159,"GSM2403851_9305651037_R01C02",0.609493544202336
"42",2,130000,243026238,-0.06,"GSM2403851_9305651037_R01C02",0.609493544202336
"43",20,155000,62907760,-0.0621,"GSM2403851_9305651037_R01C02",0.609493544202336
"44",21,10848948,48084948,-0.008,"GSM2403851_9305651037_R01C02",0.609493544202336
"45",22,16373925,51222283,0.014,"GSM2403851_9305651037_R01C02",0.609493544202336
"46",3,155000,197831215,-0.0981,"GSM2403851_9305651037_R01C02",0.609493544202336
"47",4,55000,190972138,-0.104,"GSM2403851_9305651037_R01C02",0.609493544202336
"48",5,55000,180777630,-0.0694,"GSM2403851_9305651037_R01C02",0.609493544202336
"49",6,155000,170952534,-0.0676,"GSM2403851_9305651037_R01C02",0.609493544202336
"50",7,55000,159039332,-0.0252,"GSM2403851_9305651037_R01C02",0.609493544202336
"51",8,105000,146277011,-0.0615,"GSM2403851_9305651037_R01C02",0.609493544202336
"52",9,130000,141076716,-0.0254,"GSM2403851_9305651037_R01C02",0.609493544202336
"53",1,635684,249195311,-0.0438,"GSM2403997_9305651095_R04C01",0.550117132491954
"54",10,105000,135462374,-0.0178,"GSM2403997_9305651095_R04C01",0.550117132491954
"55",11,130000,134873258,-0.0423,"GSM2403997_9305651095_R04C01",0.550117132491954
"56",12,172870,133770948,-0.0487,"GSM2403997_9305651095_R04C01",0.550117132491954
"57",13,19110000,115079939,-0.0198,"GSM2403997_9305651095_R04C01",0.550117132491954
