"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.1077,"GSM2404243_9406921038_R01C02"
"2",10,105000,135462374,-0.0845,"GSM2404243_9406921038_R01C02"
"3",11,130000,134873258,-0.1263,"GSM2404243_9406921038_R01C02"
"4",12,172870,133770948,0.0289,"GSM2404243_9406921038_R01C02"
"5",13,19110000,115079939,-0.1059,"GSM2404243_9406921038_R01C02"
"6",14,19325000,107119770,0.0273,"GSM2404243_9406921038_R01C02"
"7",15,20225000,102410696,0.1611,"GSM2404243_9406921038_R01C02"
"8",16,105000,90222377,0.0741,"GSM2404243_9406921038_R01C02"
"9",17,25000,81122605,-0.1109,"GSM2404243_9406921038_R01C02"
"10",18,80000,77983624,0.0884,"GSM2404243_9406921038_R01C02"
"11",19,180000,59084492,0.1216,"GSM2404243_9406921038_R01C02"
"12",2,130000,243026238,-0.1334,"GSM2404243_9406921038_R01C02"
"13",20,155000,62907760,0.0252,"GSM2404243_9406921038_R01C02"
"14",21,10848948,48084948,-0.089,"GSM2404243_9406921038_R01C02"
"15",22,16373925,51222283,-0.0583,"GSM2404243_9406921038_R01C02"
"16",3,155000,197831215,-0.0111,"GSM2404243_9406921038_R01C02"
"17",4,55000,190972138,-0.044,"GSM2404243_9406921038_R01C02"
"18",5,55000,180777630,0.1287,"GSM2404243_9406921038_R01C02"
"19",6,155000,170952534,0.0208,"GSM2404243_9406921038_R01C02"
"20",7,55000,159039332,0.1608,"GSM2404243_9406921038_R01C02"
"21",8,105000,146277011,0.1451,"GSM2404243_9406921038_R01C02"
"22",9,130000,141076716,0.1494,"GSM2404243_9406921038_R01C02"
"23",1,635684,249195311,-0.0372,"GSM2404249_9406921038_R02C02"
"24",10,105000,135462374,0.1258,"GSM2404249_9406921038_R02C02"
"25",11,130000,134873258,0.1222,"GSM2404249_9406921038_R02C02"
"26",12,172870,133770948,0.1251,"GSM2404249_9406921038_R02C02"
"27",13,19110000,115079939,0.052,"GSM2404249_9406921038_R02C02"
"28",14,19325000,20450000,0.3451,"GSM2404249_9406921038_R02C02"
"29",14,20800000,107119770,-0.0388,"GSM2404249_9406921038_R02C02"
"30",15,20225000,102410696,-0.0372,"GSM2404249_9406921038_R02C02"
"31",16,105000,90222377,0.0072,"GSM2404249_9406921038_R02C02"
"32",17,25000,81122605,-0.1143,"GSM2404249_9406921038_R02C02"
"33",18,80000,77983624,0.1258,"GSM2404249_9406921038_R02C02"
"34",19,180000,59084492,-0.0714,"GSM2404249_9406921038_R02C02"
"35",2,130000,243026238,-0.0261,"GSM2404249_9406921038_R02C02"
"36",20,155000,62907760,-0.0911,"GSM2404249_9406921038_R02C02"
"37",21,10848948,48084948,-0.1994,"GSM2404249_9406921038_R02C02"
"38",22,16373925,51222283,-0.2542,"GSM2404249_9406921038_R02C02"
"39",3,155000,197831215,-0.0135,"GSM2404249_9406921038_R02C02"
"40",4,55000,190972138,-0.0628,"GSM2404249_9406921038_R02C02"
"41",5,55000,180777630,-0.0166,"GSM2404249_9406921038_R02C02"
"42",6,155000,170952534,0.1387,"GSM2404249_9406921038_R02C02"
"43",7,55000,159039332,0.1822,"GSM2404249_9406921038_R02C02"
"44",8,105000,146277011,-0.0085,"GSM2404249_9406921038_R02C02"
"45",9,130000,141076716,0.1025,"GSM2404249_9406921038_R02C02"
"46",1,635684,249195311,-0.0757,"GSM2404252_9406921038_R06C02"
"47",10,105000,135462374,0.0999,"GSM2404252_9406921038_R06C02"
"48",11,130000,134873258,0.0775,"GSM2404252_9406921038_R06C02"
"49",12,172870,133770948,0.1008,"GSM2404252_9406921038_R06C02"
"50",13,19110000,115079939,0.0654,"GSM2404252_9406921038_R06C02"
"51",14,19325000,107119770,0.0338,"GSM2404252_9406921038_R06C02"
"52",15,20225000,102410696,0.1181,"GSM2404252_9406921038_R06C02"
"53",16,105000,90222377,0.0826,"GSM2404252_9406921038_R06C02"
"54",17,25000,81122605,-0.0919,"GSM2404252_9406921038_R06C02"
"55",18,80000,77983624,-0.1319,"GSM2404252_9406921038_R06C02"
"56",19,180000,59084492,-0.0047,"GSM2404252_9406921038_R06C02"
"57",2,130000,243026238,-0.1326,"GSM2404252_9406921038_R06C02"
"58",20,155000,62907760,0.016,"GSM2404252_9406921038_R06C02"
"59",21,10848948,48084948,-0.1129,"GSM2404252_9406921038_R06C02"
"60",22,16373925,51222283,-0.1083,"GSM2404252_9406921038_R06C02"
"61",3,155000,197831215,0.0868,"GSM2404252_9406921038_R06C02"
"62",4,55000,190972138,0.0016,"GSM2404252_9406921038_R06C02"
"63",5,55000,180777630,0.0936,"GSM2404252_9406921038_R06C02"
"64",6,155000,170952534,0.0744,"GSM2404252_9406921038_R06C02"
"65",7,55000,159039332,0.1183,"GSM2404252_9406921038_R06C02"
"66",8,105000,146277011,0.1137,"GSM2404252_9406921038_R06C02"
"67",9,130000,141076716,0.0791,"GSM2404252_9406921038_R06C02"
"68",1,635684,249195311,0.0381,"GSM2404253_9406921039_R01C01"
"69",10,105000,135462374,0.065,"GSM2404253_9406921039_R01C01"
"70",11,130000,134873258,0.0697,"GSM2404253_9406921039_R01C01"
"71",12,172870,133770948,0.0521,"GSM2404253_9406921039_R01C01"
"72",13,19110000,115079939,0.0162,"GSM2404253_9406921039_R01C01"
"73",14,19325000,107119770,0.0582,"GSM2404253_9406921039_R01C01"
"74",15,20225000,102410696,0.0676,"GSM2404253_9406921039_R01C01"
"75",16,105000,90222377,0.0708,"GSM2404253_9406921039_R01C01"
"76",17,25000,81122605,-0.0772,"GSM2404253_9406921039_R01C01"
"77",18,80000,77983624,-0.079,"GSM2404253_9406921039_R01C01"
"78",19,180000,59084492,-0.0069,"GSM2404253_9406921039_R01C01"
"79",2,130000,243026238,-0.0028,"GSM2404253_9406921039_R01C01"
"80",20,155000,62907760,0.0213,"GSM2404253_9406921039_R01C01"
"81",21,10848948,48084948,-0.015,"GSM2404253_9406921039_R01C01"
"82",22,16373925,51222283,0.0019,"GSM2404253_9406921039_R01C01"
"83",3,155000,197831215,0.0587,"GSM2404253_9406921039_R01C01"
"84",4,55000,190972138,-0.0354,"GSM2404253_9406921039_R01C01"
"85",5,55000,180777630,0.0577,"GSM2404253_9406921039_R01C01"
"86",6,155000,170952534,0.0456,"GSM2404253_9406921039_R01C01"
"87",7,55000,159039332,0.0838,"GSM2404253_9406921039_R01C01"
"88",8,105000,146277011,0.0547,"GSM2404253_9406921039_R01C01"
"89",9,130000,141076716,0.0542,"GSM2404253_9406921039_R01C01"
"90",1,635684,249195311,-0.0396,"GSM2404263_9406921148_R05C02"
"91",10,105000,135462374,0.1066,"GSM2404263_9406921148_R05C02"
"92",11,130000,134873258,0.0867,"GSM2404263_9406921148_R05C02"
"93",12,172870,133770948,0.0959,"GSM2404263_9406921148_R05C02"
"94",13,19110000,115079939,0.0903,"GSM2404263_9406921148_R05C02"
"95",14,19325000,107119770,-0.0526,"GSM2404263_9406921148_R05C02"
"96",15,20225000,102410696,0.1154,"GSM2404263_9406921148_R05C02"
"97",16,105000,90222377,0.0895,"GSM2404263_9406921148_R05C02"
"98",17,25000,81122605,-0.1261,"GSM2404263_9406921148_R05C02"
"99",18,80000,77983624,-0.1597,"GSM2404263_9406921148_R05C02"
"100",19,180000,59084492,0.0299,"GSM2404263_9406921148_R05C02"
"101",2,130000,243026238,-0.071,"GSM2404263_9406921148_R05C02"
"102",20,155000,62907760,0.0201,"GSM2404263_9406921148_R05C02"
"103",21,10848948,48084948,-0.0602,"GSM2404263_9406921148_R05C02"
"104",22,16373925,51222283,-0.06,"GSM2404263_9406921148_R05C02"
"105",3,155000,197831215,0.0888,"GSM2404263_9406921148_R05C02"
"106",4,55000,190972138,-0.1186,"GSM2404263_9406921148_R05C02"
"107",5,55000,180777630,0.0948,"GSM2404263_9406921148_R05C02"
"108",6,155000,170952534,0.0904,"GSM2404263_9406921148_R05C02"
"109",7,55000,159039332,0.1164,"GSM2404263_9406921148_R05C02"
"110",8,105000,146277011,0.1011,"GSM2404263_9406921148_R05C02"
"111",9,130000,141076716,0.0777,"GSM2404263_9406921148_R05C02"
"112",1,635684,249195311,-0.0039,"GSM2404285_9379086120_R01C01"
"113",10,105000,135462374,-0.0213,"GSM2404285_9379086120_R01C01"
