"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0354,"GSM2405391_3999834095_R02C01"
"2",10,105000,135462374,0.1048,"GSM2405391_3999834095_R02C01"
"3",11,130000,134873258,0.0415,"GSM2405391_3999834095_R02C01"
"4",12,172870,133770948,0.034,"GSM2405391_3999834095_R02C01"
"5",13,19110000,115079939,0.1447,"GSM2405391_3999834095_R02C01"
"6",14,19325000,20025000,0.6068,"GSM2405391_3999834095_R02C01"
"7",14,20450000,107119770,0.0141,"GSM2405391_3999834095_R02C01"
"8",15,20225000,102410696,0.046,"GSM2405391_3999834095_R02C01"
"9",16,105000,90222377,0.1475,"GSM2405391_3999834095_R02C01"
"10",17,25000,81122605,0.021,"GSM2405391_3999834095_R02C01"
"11",18,80000,77983624,-0.0089,"GSM2405391_3999834095_R02C01"
"12",19,180000,59084492,0.0603,"GSM2405391_3999834095_R02C01"
"13",2,130000,243026238,0.0458,"GSM2405391_3999834095_R02C01"
"14",20,155000,62907760,-0.0117,"GSM2405391_3999834095_R02C01"
"15",21,10848948,48084948,0.1192,"GSM2405391_3999834095_R02C01"
"16",22,16373925,51222283,0.0576,"GSM2405391_3999834095_R02C01"
"17",3,155000,197831215,0.0121,"GSM2405391_3999834095_R02C01"
"18",4,55000,190972138,0.0105,"GSM2405391_3999834095_R02C01"
"19",5,55000,180777630,0.0417,"GSM2405391_3999834095_R02C01"
"20",6,155000,170952534,0.0319,"GSM2405391_3999834095_R02C01"
"21",7,55000,159039332,0.0959,"GSM2405391_3999834095_R02C01"
"22",8,105000,146277011,0.084,"GSM2405391_3999834095_R02C01"
"23",9,130000,141076716,0.0335,"GSM2405391_3999834095_R02C01"
"24",1,635684,249195311,0.025,"GSM2405392_3999834095_R03C01"
"25",10,105000,135462374,0.1067,"GSM2405392_3999834095_R03C01"
"26",11,130000,134873258,0.0783,"GSM2405392_3999834095_R03C01"
"27",12,172870,133770948,0.0589,"GSM2405392_3999834095_R03C01"
"28",13,19110000,115079939,0.2496,"GSM2405392_3999834095_R03C01"
"29",14,19325000,107119770,-0.0222,"GSM2405392_3999834095_R03C01"
"30",15,20225000,102410696,0.0083,"GSM2405392_3999834095_R03C01"
"31",16,105000,90222377,0.1587,"GSM2405392_3999834095_R03C01"
"32",17,25000,81122605,-0.0551,"GSM2405392_3999834095_R03C01"
"33",18,80000,77983624,-0.1078,"GSM2405392_3999834095_R03C01"
"34",19,180000,59084492,0.0181,"GSM2405392_3999834095_R03C01"
"35",2,130000,243026238,0.0513,"GSM2405392_3999834095_R03C01"
