"chromosome","start","end","segmean","sample","noise"
"1",1,635684,214575000,-0.1612,"GSM2404243_9406921038_R01C02",0.56628085541903
"2",1,214650000,219400000,-0.3853,"GSM2404243_9406921038_R01C02",0.56628085541903
"3",1,219800000,249195311,-0.1444,"GSM2404243_9406921038_R01C02",0.56628085541903
"4",10,105000,106075000,-0.1465,"GSM2404243_9406921038_R01C02",0.56628085541903
"5",10,106250000,111175000,-0.3925,"GSM2404243_9406921038_R01C02",0.56628085541903
"6",10,111675000,135462374,-0.0872,"GSM2404243_9406921038_R01C02",0.56628085541903
"7",11,130000,20500000,-0.1596,"GSM2404243_9406921038_R01C02",0.56628085541903
"8",11,20625000,31975000,-0.4093,"GSM2404243_9406921038_R01C02",0.56628085541903
"9",11,32250000,134873258,-0.1754,"GSM2404243_9406921038_R01C02",0.56628085541903
"10",12,172870,133770948,-0.0245,"GSM2404243_9406921038_R01C02",0.56628085541903
"11",13,19110000,109025000,-0.2147,"GSM2404243_9406921038_R01C02",0.56628085541903
"12",13,109450000,115079939,0.0091,"GSM2404243_9406921038_R01C02",0.56628085541903
"13",14,19325000,107119770,-0.0273,"GSM2404243_9406921038_R01C02",0.56628085541903
"14",15,20225000,102410696,0.1091,"GSM2404243_9406921038_R01C02",0.56628085541903
"15",16,105000,90222377,0.0428,"GSM2404243_9406921038_R01C02",0.56628085541903
"16",17,25000,81122605,-0.1425,"GSM2404243_9406921038_R01C02",0.56628085541903
"17",18,80000,77983624,0.0445,"GSM2404243_9406921038_R01C02",0.56628085541903
"18",19,180000,59084492,0.088,"GSM2404243_9406921038_R01C02",0.56628085541903
"19",2,130000,89315218,-0.1763,"GSM2404243_9406921038_R01C02",0.56628085541903
"20",2,91672552,95438086,0.1006,"GSM2404243_9406921038_R01C02",0.56628085541903
"21",2,95625000,243026238,-0.1987,"GSM2404243_9406921038_R01C02",0.56628085541903
"22",20,155000,62907760,-0.0077,"GSM2404243_9406921038_R01C02",0.56628085541903
"23",21,10848948,48084948,-0.1248,"GSM2404243_9406921038_R01C02",0.56628085541903
"24",22,16373925,51222283,-0.0759,"GSM2404243_9406921038_R01C02",0.56628085541903
"25",3,155000,197831215,-0.0793,"GSM2404243_9406921038_R01C02",0.56628085541903
"26",4,55000,190972138,-0.0971,"GSM2404243_9406921038_R01C02",0.56628085541903
"27",5,55000,180777630,0.0693,"GSM2404243_9406921038_R01C02",0.56628085541903
"28",6,155000,170952534,-0.0436,"GSM2404243_9406921038_R01C02",0.56628085541903
"29",7,55000,1.36e+08,0.089,"GSM2404243_9406921038_R01C02",0.56628085541903
"30",7,136575000,137600000,-0.136,"GSM2404243_9406921038_R01C02",0.56628085541903
"31",7,137675000,159039332,0.1641,"GSM2404243_9406921038_R01C02",0.56628085541903
"32",8,105000,88875000,0.089,"GSM2404243_9406921038_R01C02",0.56628085541903
"33",8,89100000,94075000,-0.1921,"GSM2404243_9406921038_R01C02",0.56628085541903
"34",8,94375000,146277011,0.0797,"GSM2404243_9406921038_R01C02",0.56628085541903
"35",9,130000,141076716,0.1005,"GSM2404243_9406921038_R01C02",0.56628085541903
"36",1,635684,775000,0.2157,"GSM2404249_9406921038_R02C02",0.531644851747421
"37",1,825000,249195311,-0.0901,"GSM2404249_9406921038_R02C02",0.531644851747421
"38",10,105000,135462374,0.0742,"GSM2404249_9406921038_R02C02",0.531644851747421
"39",11,130000,134873258,0.0649,"GSM2404249_9406921038_R02C02",0.531644851747421
"40",12,172870,133770948,0.0667,"GSM2404249_9406921038_R02C02",0.531644851747421
"41",13,19110000,115079939,-0.0325,"GSM2404249_9406921038_R02C02",0.531644851747421
"42",14,19325000,107119770,-0.0918,"GSM2404249_9406921038_R02C02",0.531644851747421
"43",15,20225000,102410696,-0.0842,"GSM2404249_9406921038_R02C02",0.531644851747421
"44",16,105000,31825000,-0.0493,"GSM2404249_9406921038_R02C02",0.531644851747421
"45",16,32075000,46517901,0.2043,"GSM2404249_9406921038_R02C02",0.531644851747421
"46",16,46675000,90222377,-0.0334,"GSM2404249_9406921038_R02C02",0.531644851747421
"47",17,25000,81122605,-0.135,"GSM2404249_9406921038_R02C02",0.531644851747421
"48",18,80000,77983624,0.0946,"GSM2404249_9406921038_R02C02",0.531644851747421
"49",19,180000,59084492,-0.1154,"GSM2404249_9406921038_R02C02",0.531644851747421
"50",2,130000,243026238,-0.0809,"GSM2404249_9406921038_R02C02",0.531644851747421
"51",20,155000,62907760,-0.1337,"GSM2404249_9406921038_R02C02",0.531644851747421
"52",21,10848948,15475000,0.0833,"GSM2404249_9406921038_R02C02",0.531644851747421
"53",21,15650000,48084948,-0.2575,"GSM2404249_9406921038_R02C02",0.531644851747421
"54",22,16373925,51222283,-0.278,"GSM2404249_9406921038_R02C02",0.531644851747421
"55",3,155000,197831215,-0.0782,"GSM2404249_9406921038_R02C02",0.531644851747421
"56",4,55000,190972138,-0.0965,"GSM2404249_9406921038_R02C02",0.531644851747421
"57",5,55000,180777630,-0.0702,"GSM2404249_9406921038_R02C02",0.531644851747421
"58",6,155000,170952534,0.0749,"GSM2404249_9406921038_R02C02",0.531644851747421
"59",7,55000,159039332,0.1085,"GSM2404249_9406921038_R02C02",0.531644851747421
"60",8,105000,146277011,-0.0715,"GSM2404249_9406921038_R02C02",0.531644851747421
"61",9,130000,141076716,0.0557,"GSM2404249_9406921038_R02C02",0.531644851747421
"62",1,635684,249195311,-0.1342,"GSM2404252_9406921038_R06C02",0.571549480062501
"63",10,105000,135462374,0.0457,"GSM2404252_9406921038_R06C02",0.571549480062501
"64",11,130000,134873258,0.031,"GSM2404252_9406921038_R06C02",0.571549480062501
"65",12,172870,133770948,0.0421,"GSM2404252_9406921038_R06C02",0.571549480062501
"66",13,19110000,115079939,-0.0085,"GSM2404252_9406921038_R06C02",0.571549480062501
"67",14,19325000,107119770,-0.0269,"GSM2404252_9406921038_R06C02",0.571549480062501
"68",15,20225000,102410696,0.0559,"GSM2404252_9406921038_R06C02",0.571549480062501
"69",16,105000,90222377,0.049,"GSM2404252_9406921038_R06C02",0.571549480062501
