"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0126,"GSM2403733_9007225086_R04C01"
"2",10,105000,135462374,0.0476,"GSM2403733_9007225086_R04C01"
"3",11,130000,134873258,0.019,"GSM2403733_9007225086_R04C01"
"4",12,172870,133770948,0.0204,"GSM2403733_9007225086_R04C01"
"5",13,19110000,115079939,0.0639,"GSM2403733_9007225086_R04C01"
"6",14,19325000,107119770,0.0178,"GSM2403733_9007225086_R04C01"
"7",15,20225000,102410696,0.0405,"GSM2403733_9007225086_R04C01"
"8",16,105000,31825000,0.0236,"GSM2403733_9007225086_R04C01"
"9",16,32075000,34600000,0.359,"GSM2403733_9007225086_R04C01"
"10",16,35017901,90222377,0.0469,"GSM2403733_9007225086_R04C01"
"11",17,25000,81122605,-0.0427,"GSM2403733_9007225086_R04C01"
"12",18,80000,77983624,-0.0313,"GSM2403733_9007225086_R04C01"
"13",19,180000,59084492,0.0023,"GSM2403733_9007225086_R04C01"
"14",2,130000,243026238,0.0088,"GSM2403733_9007225086_R04C01"
"15",20,155000,62907760,-0.0455,"GSM2403733_9007225086_R04C01"
"16",21,10848948,48084948,0.0389,"GSM2403733_9007225086_R04C01"
"17",22,16373925,51222283,0.0126,"GSM2403733_9007225086_R04C01"
"18",3,155000,197831215,0.0113,"GSM2403733_9007225086_R04C01"
"19",4,55000,190972138,0.003,"GSM2403733_9007225086_R04C01"
"20",5,55000,180777630,0.0216,"GSM2403733_9007225086_R04C01"
"21",6,155000,170952534,0.014,"GSM2403733_9007225086_R04C01"
"22",7,55000,159039332,0.0604,"GSM2403733_9007225086_R04C01"
"23",8,105000,146277011,0.0365,"GSM2403733_9007225086_R04C01"
"24",9,130000,141076716,0.014,"GSM2403733_9007225086_R04C01"
"25",1,635684,825000,0.3098,"GSM2403739_9007225086_R05C02"
"26",1,875000,249195311,0.0228,"GSM2403739_9007225086_R05C02"
"27",10,105000,135462374,0.058,"GSM2403739_9007225086_R05C02"
"28",11,130000,134873258,0.0216,"GSM2403739_9007225086_R05C02"
"29",12,172870,133770948,0.0401,"GSM2403739_9007225086_R05C02"
"30",13,19110000,115079939,0.0713,"GSM2403739_9007225086_R05C02"
"31",14,19325000,20025000,0.4309,"GSM2403739_9007225086_R05C02"
"32",14,20450000,107119770,0.0215,"GSM2403739_9007225086_R05C02"
"33",15,20225000,102410696,0.0436,"GSM2403739_9007225086_R05C02"
"34",16,105000,90222377,0.0652,"GSM2403739_9007225086_R05C02"
