"chromosome","start","end","segmean","sample"
"1",1,635684,775000,0.6839,"GSM2404345_9407210003_R02C02"
"2",1,825000,2475000,-0.0102,"GSM2404345_9407210003_R02C02"
"3",1,2525000,3675000,-0.5752,"GSM2404345_9407210003_R02C02"
"4",1,3725000,249195311,0.0755,"GSM2404345_9407210003_R02C02"
"5",10,105000,135462374,0.0849,"GSM2404345_9407210003_R02C02"
"6",11,130000,134873258,0.0694,"GSM2404345_9407210003_R02C02"
"7",12,172870,113850000,0.0779,"GSM2404345_9407210003_R02C02"
"8",12,113925000,116200000,-0.4757,"GSM2404345_9407210003_R02C02"
"9",12,116500000,133770948,0.1178,"GSM2404345_9407210003_R02C02"
"10",13,19110000,115079939,0.2095,"GSM2404345_9407210003_R02C02"
"11",14,19325000,107119770,0.0379,"GSM2404345_9407210003_R02C02"
"12",15,20225000,102410696,0.0262,"GSM2404345_9407210003_R02C02"
"13",16,105000,90222377,0.0644,"GSM2404345_9407210003_R02C02"
"14",17,25000,81122605,-0.106,"GSM2404345_9407210003_R02C02"
"15",18,80000,77983624,-0.0588,"GSM2404345_9407210003_R02C02"
"16",19,180000,51250000,-0.0408,"GSM2404345_9407210003_R02C02"
"17",19,51325000,52075000,-0.6559,"GSM2404345_9407210003_R02C02"
"18",19,52150000,59084492,-0.0149,"GSM2404345_9407210003_R02C02"
"19",2,130000,243026238,0.092,"GSM2404345_9407210003_R02C02"
"20",20,155000,62907760,-0.014,"GSM2404345_9407210003_R02C02"
"21",21,10848948,48084948,0.0424,"GSM2404345_9407210003_R02C02"
"22",22,16373925,51222283,-0.0762,"GSM2404345_9407210003_R02C02"
"23",3,155000,197831215,0.1844,"GSM2404345_9407210003_R02C02"
"24",4,55000,190972138,0.0714,"GSM2404345_9407210003_R02C02"
"25",5,55000,180777630,0.1329,"GSM2404345_9407210003_R02C02"
"26",6,155000,170952534,0.1313,"GSM2404345_9407210003_R02C02"
"27",7,55000,159039332,0.1609,"GSM2404345_9407210003_R02C02"
"28",8,105000,146277011,0.0967,"GSM2404345_9407210003_R02C02"
"29",9,130000,141076716,0.0529,"GSM2404345_9407210003_R02C02"
"30",1,635684,249195311,0.0329,"GSM2404346_9407210003_R03C02"
"31",10,105000,135462374,0.0661,"GSM2404346_9407210003_R03C02"
"32",11,130000,134873258,-0.2837,"GSM2404346_9407210003_R03C02"
"33",12,172870,133770948,0.0441,"GSM2404346_9407210003_R03C02"
"34",13,19110000,115079939,0.0655,"GSM2404346_9407210003_R03C02"
"35",14,19325000,20025000,0.4481,"GSM2404346_9407210003_R03C02"
"36",14,20450000,107119770,0.0398,"GSM2404346_9407210003_R03C02"
"37",15,20225000,102410696,0.0553,"GSM2404346_9407210003_R03C02"
"38",16,105000,90222377,0.0784,"GSM2404346_9407210003_R03C02"
"39",17,25000,81122605,-0.0104,"GSM2404346_9407210003_R03C02"
"40",18,80000,77983624,-0.0341,"GSM2404346_9407210003_R03C02"
"41",19,180000,59084492,0.0247,"GSM2404346_9407210003_R03C02"
"42",2,130000,243026238,0.0193,"GSM2404346_9407210003_R03C02"
"43",20,155000,62907760,0.0304,"GSM2404346_9407210003_R03C02"
"44",21,10848948,48084948,0.0839,"GSM2404346_9407210003_R03C02"
"45",22,16373925,51222283,0.0447,"GSM2404346_9407210003_R03C02"
"46",3,155000,197831215,0.0442,"GSM2404346_9407210003_R03C02"
"47",4,55000,190972138,0.0114,"GSM2404346_9407210003_R03C02"
"48",5,55000,180777630,0.0432,"GSM2404346_9407210003_R03C02"
"49",6,155000,170952534,0.0129,"GSM2404346_9407210003_R03C02"
"50",7,55000,159039332,0.096,"GSM2404346_9407210003_R03C02"
"51",8,105000,146277011,0.0411,"GSM2404346_9407210003_R03C02"
"52",9,130000,141076716,0.0488,"GSM2404346_9407210003_R03C02"
"53",1,635684,775000,0.5264,"GSM2404347_9407210003_R04C02"
"54",1,825000,249195311,0.0078,"GSM2404347_9407210003_R04C02"
"55",10,105000,135462374,0.0951,"GSM2404347_9407210003_R04C02"
"56",11,130000,134873258,0.0539,"GSM2404347_9407210003_R04C02"
"57",12,172870,133770948,0.0662,"GSM2404347_9407210003_R04C02"
"58",13,19110000,115079939,0.1754,"GSM2404347_9407210003_R04C02"
"59",14,19325000,107119770,0.0098,"GSM2404347_9407210003_R04C02"
"60",15,20225000,102410696,0.0262,"GSM2404347_9407210003_R04C02"
"61",16,105000,90222377,0.0773,"GSM2404347_9407210003_R04C02"
"62",17,25000,81122605,-0.0709,"GSM2404347_9407210003_R04C02"
"63",18,80000,77983624,-0.0646,"GSM2404347_9407210003_R04C02"
"64",19,180000,51175000,-0.0282,"GSM2404347_9407210003_R04C02"
"65",19,51250000,52025000,-0.3968,"GSM2404347_9407210003_R04C02"
"66",19,52075000,59084492,-0.0306,"GSM2404347_9407210003_R04C02"
"67",2,130000,243026238,0.0434,"GSM2404347_9407210003_R04C02"
"68",20,155000,62907760,-0.013,"GSM2404347_9407210003_R04C02"
"69",21,10848948,48084948,0.0707,"GSM2404347_9407210003_R04C02"
"70",22,16373925,51222283,-0.0394,"GSM2404347_9407210003_R04C02"
"71",3,155000,197831215,0.0948,"GSM2404347_9407210003_R04C02"
"72",4,55000,190972138,0.0168,"GSM2404347_9407210003_R04C02"
"73",5,55000,180777630,0.0931,"GSM2404347_9407210003_R04C02"
"74",6,155000,170952534,0.0814,"GSM2404347_9407210003_R04C02"
"75",7,55000,159039332,0.1216,"GSM2404347_9407210003_R04C02"
"76",8,105000,146277011,0.054,"GSM2404347_9407210003_R04C02"
"77",9,130000,141076716,0.0154,"GSM2404347_9407210003_R04C02"
"78",1,635684,249195311,0.0155,"GSM2404348_9407210003_R05C02"
"79",10,105000,135462374,0.0635,"GSM2404348_9407210003_R05C02"
"80",11,130000,134873258,0.0593,"GSM2404348_9407210003_R05C02"
"81",12,172870,133770948,0.0746,"GSM2404348_9407210003_R05C02"
"82",13,19110000,115079939,0.2159,"GSM2404348_9407210003_R05C02"
"83",14,19325000,107119770,0.0106,"GSM2404348_9407210003_R05C02"
"84",15,20225000,102410696,-0.0144,"GSM2404348_9407210003_R05C02"
"85",16,105000,90222377,0.0483,"GSM2404348_9407210003_R05C02"
"86",17,25000,81122605,-0.1376,"GSM2404348_9407210003_R05C02"
"87",18,80000,77983624,-0.0882,"GSM2404348_9407210003_R05C02"
"88",19,180000,59084492,-0.0744,"GSM2404348_9407210003_R05C02"
"89",2,130000,243026238,0.0574,"GSM2404348_9407210003_R05C02"
"90",20,155000,62907760,-0.0235,"GSM2404348_9407210003_R05C02"
"91",21,10848948,48084948,0.0482,"GSM2404348_9407210003_R05C02"
"92",22,16373925,51222283,-0.1176,"GSM2404348_9407210003_R05C02"
"93",3,155000,197831215,0.146,"GSM2404348_9407210003_R05C02"
"94",4,55000,190972138,0.032,"GSM2404348_9407210003_R05C02"
"95",5,55000,180777630,0.1084,"GSM2404348_9407210003_R05C02"
"96",6,155000,170952534,0.1096,"GSM2404348_9407210003_R05C02"
"97",7,55000,159039332,0.1779,"GSM2404348_9407210003_R05C02"
"98",8,105000,146277011,0.0758,"GSM2404348_9407210003_R05C02"
"99",9,130000,141076716,0.0209,"GSM2404348_9407210003_R05C02"
"100",1,635684,249195311,0.0203,"GSM2404349_9407210003_R06C02"
"101",10,105000,135462374,0.0379,"GSM2404349_9407210003_R06C02"
"102",11,130000,134873258,0.0329,"GSM2404349_9407210003_R06C02"
"103",12,172870,133770948,0.0426,"GSM2404349_9407210003_R06C02"
"104",13,19110000,115079939,0.0853,"GSM2404349_9407210003_R06C02"
"105",14,19325000,107119770,0.0194,"GSM2404349_9407210003_R06C02"
"106",15,20225000,102410696,0.0289,"GSM2404349_9407210003_R06C02"
"107",16,105000,90222377,0.0426,"GSM2404349_9407210003_R06C02"
"108",17,25000,81122605,-0.0586,"GSM2404349_9407210003_R06C02"
"109",18,80000,77983624,-0.0857,"GSM2404349_9407210003_R06C02"
"110",19,180000,59084492,7e-04,"GSM2404349_9407210003_R06C02"
"111",2,130000,243026238,0.0072,"GSM2404349_9407210003_R06C02"
"112",20,155000,62907760,-0.0155,"GSM2404349_9407210003_R06C02"
"113",21,10848948,48084948,0.0342,"GSM2404349_9407210003_R06C02"
"114",22,16373925,51222283,0.0108,"GSM2404349_9407210003_R06C02"
"115",3,155000,197831215,0.0526,"GSM2404349_9407210003_R06C02"
"116",4,55000,190972138,-0.0158,"GSM2404349_9407210003_R06C02"
"117",5,55000,180777630,0.0317,"GSM2404349_9407210003_R06C02"
"118",6,155000,170952534,0.0331,"GSM2404349_9407210003_R06C02"
"119",7,55000,159039332,0.0779,"GSM2404349_9407210003_R06C02"
"120",8,105000,146277011,0.0142,"GSM2404349_9407210003_R06C02"
"121",9,130000,141076716,0.0319,"GSM2404349_9407210003_R06C02"
"122",1,635684,249195311,0.0264,"GSM2404350_9407210069_R01C01"
"123",10,105000,135462374,0.0543,"GSM2404350_9407210069_R01C01"
"124",11,130000,134873258,-0.3828,"GSM2404350_9407210069_R01C01"
"125",12,172870,133770948,0.0498,"GSM2404350_9407210069_R01C01"
"126",13,19110000,115079939,0.0981,"GSM2404350_9407210069_R01C01"
"127",14,19325000,107119770,0.0289,"GSM2404350_9407210069_R01C01"
"128",15,20225000,102410696,0.0292,"GSM2404350_9407210069_R01C01"
"129",16,105000,90222377,0.0668,"GSM2404350_9407210069_R01C01"
"130",17,25000,81122605,-0.0337,"GSM2404350_9407210069_R01C01"
"131",18,80000,77983624,-0.0657,"GSM2404350_9407210069_R01C01"
"132",19,180000,59084492,0.0217,"GSM2404350_9407210069_R01C01"
"133",2,130000,243026238,0.0281,"GSM2404350_9407210069_R01C01"
"134",20,155000,62907760,0.0192,"GSM2404350_9407210069_R01C01"
"135",21,10848948,48084948,0.0422,"GSM2404350_9407210069_R01C01"
"136",22,16373925,51222283,0.0154,"GSM2404350_9407210069_R01C01"
"137",3,155000,197831215,0.071,"GSM2404350_9407210069_R01C01"
"138",4,55000,190972138,-2e-04,"GSM2404350_9407210069_R01C01"
"139",5,55000,180777630,0.0487,"GSM2404350_9407210069_R01C01"
"140",6,155000,170952534,0.0422,"GSM2404350_9407210069_R01C01"
"141",7,55000,159039332,0.0844,"GSM2404350_9407210069_R01C01"
"142",8,105000,146277011,0.0243,"GSM2404350_9407210069_R01C01"
"143",9,130000,141076716,0.0549,"GSM2404350_9407210069_R01C01"
"144",1,635684,249195311,0.0061,"GSM2404351_9407210069_R02C01"
"145",10,105000,135462374,0.0222,"GSM2404351_9407210069_R02C01"
"146",11,130000,134873258,0.0065,"GSM2404351_9407210069_R02C01"
"147",12,172870,133770948,0.019,"GSM2404351_9407210069_R02C01"
"148",13,19110000,115079939,0.069,"GSM2404351_9407210069_R02C01"
"149",14,19325000,107119770,0.0056,"GSM2404351_9407210069_R02C01"
"150",15,20225000,102410696,0.0125,"GSM2404351_9407210069_R02C01"
"151",16,105000,90222377,0.0337,"GSM2404351_9407210069_R02C01"
"152",17,25000,81122605,-0.0579,"GSM2404351_9407210069_R02C01"
"153",18,80000,77983624,-0.0822,"GSM2404351_9407210069_R02C01"
"154",19,180000,59084492,-0.0093,"GSM2404351_9407210069_R02C01"
"155",2,130000,243026238,1e-04,"GSM2404351_9407210069_R02C01"
"156",20,155000,62907760,-0.0241,"GSM2404351_9407210069_R02C01"
"157",21,10848948,48084948,0.0132,"GSM2404351_9407210069_R02C01"
"158",22,16373925,51222283,-0.0031,"GSM2404351_9407210069_R02C01"
"159",3,155000,197831215,0.0315,"GSM2404351_9407210069_R02C01"
"160",4,55000,190972138,-0.0279,"GSM2404351_9407210069_R02C01"
"161",5,55000,180777630,0.0079,"GSM2404351_9407210069_R02C01"
"162",6,155000,170952534,0.0183,"GSM2404351_9407210069_R02C01"
"163",7,55000,159039332,0.0586,"GSM2404351_9407210069_R02C01"
"164",8,105000,146277011,0.0135,"GSM2404351_9407210069_R02C01"
"165",9,130000,141076716,0.0122,"GSM2404351_9407210069_R02C01"
"166",1,635684,249195311,0.0213,"GSM2404352_9407210069_R03C01"
"167",10,105000,135462374,0.0339,"GSM2404352_9407210069_R03C01"
"168",11,130000,134873258,0.019,"GSM2404352_9407210069_R03C01"
"169",12,172870,125675000,0.0283,"GSM2404352_9407210069_R03C01"
"170",12,125775000,128875000,-0.2747,"GSM2404352_9407210069_R03C01"
"171",12,129075000,133770948,0.084,"GSM2404352_9407210069_R03C01"
"172",13,19110000,115079939,0.0741,"GSM2404352_9407210069_R03C01"
"173",14,19325000,107119770,0.0086,"GSM2404352_9407210069_R03C01"
"174",15,20225000,102410696,0.019,"GSM2404352_9407210069_R03C01"
"175",16,105000,90222377,0.0167,"GSM2404352_9407210069_R03C01"
"176",17,25000,81122605,-0.067,"GSM2404352_9407210069_R03C01"
"177",18,80000,77983624,-0.0486,"GSM2404352_9407210069_R03C01"
"178",19,180000,59084492,-0.0318,"GSM2404352_9407210069_R03C01"
"179",2,130000,243026238,0.018,"GSM2404352_9407210069_R03C01"
"180",20,155000,62907760,-0.0287,"GSM2404352_9407210069_R03C01"
"181",21,10848948,48084948,0.0169,"GSM2404352_9407210069_R03C01"
"182",22,16373925,51222283,-0.0051,"GSM2404352_9407210069_R03C01"
"183",3,155000,197831215,0.0451,"GSM2404352_9407210069_R03C01"
"184",4,55000,190972138,0.0058,"GSM2404352_9407210069_R03C01"
"185",5,55000,180777630,0.0344,"GSM2404352_9407210069_R03C01"
"186",6,155000,170952534,0.0346,"GSM2404352_9407210069_R03C01"
"187",7,55000,159039332,0.0664,"GSM2404352_9407210069_R03C01"
"188",8,105000,146277011,0.0299,"GSM2404352_9407210069_R03C01"
"189",9,130000,141076716,0.0081,"GSM2404352_9407210069_R03C01"
"190",1,635684,775000,0.5851,"GSM2404353_9407210069_R04C01"
