"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-4e-04,"GSM2402908_6929689161_R01C02",0.464223869497841
"2",10,105000,135462374,-0.0078,"GSM2402908_6929689161_R01C02",0.464223869497841
"3",11,130000,134873258,0,"GSM2402908_6929689161_R01C02",0.464223869497841
"4",12,172870,133770948,-0.0132,"GSM2402908_6929689161_R01C02",0.464223869497841
"5",13,19110000,115079939,-0.0344,"GSM2402908_6929689161_R01C02",0.464223869497841
"6",14,19325000,107119770,-0.0093,"GSM2402908_6929689161_R01C02",0.464223869497841
"7",15,20225000,102410696,-0.0064,"GSM2402908_6929689161_R01C02",0.464223869497841
"8",16,105000,90222377,0.017,"GSM2402908_6929689161_R01C02",0.464223869497841
"9",17,25000,81122605,-0.0513,"GSM2402908_6929689161_R01C02",0.464223869497841
"10",18,80000,77983624,-0.1145,"GSM2402908_6929689161_R01C02",0.464223869497841
"11",19,180000,59084492,-0.0144,"GSM2402908_6929689161_R01C02",0.464223869497841
"12",2,130000,242825000,-0.0362,"GSM2402908_6929689161_R01C02",0.464223869497841
"13",2,242875000,243026238,-5.0309,"GSM2402908_6929689161_R01C02",0.464223869497841
"14",20,155000,62907760,-0.0298,"GSM2402908_6929689161_R01C02",0.464223869497841
"15",21,10848948,48084948,-0.0117,"GSM2402908_6929689161_R01C02",0.464223869497841
"16",22,16373925,51222283,0.0087,"GSM2402908_6929689161_R01C02",0.464223869497841
"17",3,155000,197831215,-0.0236,"GSM2402908_6929689161_R01C02",0.464223869497841
"18",4,55000,190972138,-0.0727,"GSM2402908_6929689161_R01C02",0.464223869497841
"19",5,55000,180777630,-0.0232,"GSM2402908_6929689161_R01C02",0.464223869497841
"20",6,155000,170952534,-0.0284,"GSM2402908_6929689161_R01C02",0.464223869497841
"21",7,55000,159039332,0.0076,"GSM2402908_6929689161_R01C02",0.464223869497841
"22",8,105000,146277011,-0.0376,"GSM2402908_6929689161_R01C02",0.464223869497841
"23",9,130000,141076716,0.0067,"GSM2402908_6929689161_R01C02",0.464223869497841
"24",1,635684,121193348,-0.0475,"GSM2403758_9283265153_R04C02",0.591008992652138
"25",1,121392717,145375000,0.2694,"GSM2403758_9283265153_R04C02",0.591008992652138
"26",1,145425000,249195311,-0.0128,"GSM2403758_9283265153_R04C02",0.591008992652138
"27",10,105000,135462374,-0.0047,"GSM2403758_9283265153_R04C02",0.591008992652138
"28",11,130000,134873258,-0.018,"GSM2403758_9283265153_R04C02",0.591008992652138
"29",12,172870,133770948,-0.016,"GSM2403758_9283265153_R04C02",0.591008992652138
"30",13,19110000,115079939,0.0431,"GSM2403758_9283265153_R04C02",0.591008992652138
"31",14,19325000,107119770,-0.0365,"GSM2403758_9283265153_R04C02",0.591008992652138
"32",15,20225000,83725000,-0.044,"GSM2403758_9283265153_R04C02",0.591008992652138
"33",15,83850000,84250000,-0.4262,"GSM2403758_9283265153_R04C02",0.591008992652138
"34",15,84667237,102410696,-0.0123,"GSM2403758_9283265153_R04C02",0.591008992652138
"35",16,105000,90222377,-0.0033,"GSM2403758_9283265153_R04C02",0.591008992652138
"36",17,25000,81122605,-0.1148,"GSM2403758_9283265153_R04C02",0.591008992652138
"37",18,80000,77983624,-0.1223,"GSM2403758_9283265153_R04C02",0.591008992652138
"38",19,180000,59084492,-0.0905,"GSM2403758_9283265153_R04C02",0.591008992652138
"39",2,130000,243026238,-0.0235,"GSM2403758_9283265153_R04C02",0.591008992652138
"40",20,155000,62907760,-0.076,"GSM2403758_9283265153_R04C02",0.591008992652138
"41",21,10848948,48084948,-0.022,"GSM2403758_9283265153_R04C02",0.591008992652138
"42",22,16373925,51222283,-0.0805,"GSM2403758_9283265153_R04C02",0.591008992652138
"43",3,155000,197831215,-5e-04,"GSM2403758_9283265153_R04C02",0.591008992652138
"44",4,55000,190972138,-0.0593,"GSM2403758_9283265153_R04C02",0.591008992652138
"45",5,55000,180777630,-0.0125,"GSM2403758_9283265153_R04C02",0.591008992652138
"46",6,155000,170952534,-0.0127,"GSM2403758_9283265153_R04C02",0.591008992652138
"47",7,55000,159039332,0.0236,"GSM2403758_9283265153_R04C02",0.591008992652138
"48",8,105000,146277011,-0.0288,"GSM2403758_9283265153_R04C02",0.591008992652138
"49",9,130000,141076716,-0.0245,"GSM2403758_9283265153_R04C02",0.591008992652138
"50",1,635684,249195311,-0.0466,"GSM2404552_9553932029_R06C01",0.624416071254193
"51",10,105000,135462374,-0.0364,"GSM2404552_9553932029_R06C01",0.624416071254193
"52",11,130000,48125000,-0.0659,"GSM2404552_9553932029_R06C01",0.624416071254193
"53",11,48550000,56100000,-0.3407,"GSM2404552_9553932029_R06C01",0.624416071254193
"54",11,56300000,134873258,-0.0538,"GSM2404552_9553932029_R06C01",0.624416071254193
"55",12,172870,133770948,-0.0074,"GSM2404552_9553932029_R06C01",0.624416071254193
"56",13,19110000,115079939,-0.0172,"GSM2404552_9553932029_R06C01",0.624416071254193
"57",14,19325000,107119770,-0.051,"GSM2404552_9553932029_R06C01",0.624416071254193
"58",15,20225000,83725000,-0.0488,"GSM2404552_9553932029_R06C01",0.624416071254193
"59",15,83850000,84250000,-0.4115,"GSM2404552_9553932029_R06C01",0.624416071254193
"60",15,84667237,102410696,-0.0249,"GSM2404552_9553932029_R06C01",0.624416071254193
"61",16,105000,90222377,-0.0233,"GSM2404552_9553932029_R06C01",0.624416071254193
"62",17,25000,81122605,-0.0719,"GSM2404552_9553932029_R06C01",0.624416071254193
"63",18,80000,77983624,-0.089,"GSM2404552_9553932029_R06C01",0.624416071254193
"64",19,180000,59084492,-0.0469,"GSM2404552_9553932029_R06C01",0.624416071254193
"65",2,130000,243026238,-0.0474,"GSM2404552_9553932029_R06C01",0.624416071254193
"66",20,155000,62907760,-0.062,"GSM2404552_9553932029_R06C01",0.624416071254193
"67",21,10848948,48084948,-0.0293,"GSM2404552_9553932029_R06C01",0.624416071254193
"68",22,16373925,51222283,-0.0289,"GSM2404552_9553932029_R06C01",0.624416071254193
"69",3,155000,197831215,-0.0441,"GSM2404552_9553932029_R06C01",0.624416071254193
"70",4,55000,190972138,-0.0755,"GSM2404552_9553932029_R06C01",0.624416071254193
"71",5,55000,180777630,-0.051,"GSM2404552_9553932029_R06C01",0.624416071254193
"72",6,155000,170952534,-0.0357,"GSM2404552_9553932029_R06C01",0.624416071254193
"73",7,55000,159039332,-0.0224,"GSM2404552_9553932029_R06C01",0.624416071254193
"74",8,105000,146277011,-0.0587,"GSM2404552_9553932029_R06C01",0.624416071254193
"75",9,130000,141076716,-0.0378,"GSM2404552_9553932029_R06C01",0.624416071254193
"76",1,635684,249195311,-0.0377,"GSM2405095_9969477124_R05C01",0.574184208777251
"77",10,105000,135462374,-0.0434,"GSM2405095_9969477124_R05C01",0.574184208777251
"78",11,130000,50516927,-0.0702,"GSM2405095_9969477124_R05C01",0.574184208777251
"79",11,54922103,56675000,-0.5015,"GSM2405095_9969477124_R05C01",0.574184208777251
"80",11,56975000,134873258,-0.0805,"GSM2405095_9969477124_R05C01",0.574184208777251
"81",12,172870,133770948,-0.0682,"GSM2405095_9969477124_R05C01",0.574184208777251
"82",13,19110000,115079939,-0.1052,"GSM2405095_9969477124_R05C01",0.574184208777251
"83",14,19325000,107119770,-0.0328,"GSM2405095_9969477124_R05C01",0.574184208777251
"84",15,20225000,102410696,-0.019,"GSM2405095_9969477124_R05C01",0.574184208777251
"85",16,105000,58775000,0.0054,"GSM2405095_9969477124_R05C01",0.574184208777251
"86",16,59975000,66050000,-0.2717,"GSM2405095_9969477124_R05C01",0.574184208777251
"87",16,66275000,90222377,0.0196,"GSM2405095_9969477124_R05C01",0.574184208777251
"88",17,25000,81122605,-0.0174,"GSM2405095_9969477124_R05C01",0.574184208777251
"89",18,80000,77983624,-0.0487,"GSM2405095_9969477124_R05C01",0.574184208777251
"90",19,180000,59084492,0.0139,"GSM2405095_9969477124_R05C01",0.574184208777251
"91",2,130000,243026238,-0.0741,"GSM2405095_9969477124_R05C01",0.574184208777251
"92",20,155000,62907760,-0.0373,"GSM2405095_9969477124_R05C01",0.574184208777251
"93",21,10848948,48084948,-0.001,"GSM2405095_9969477124_R05C01",0.574184208777251
"94",22,16373925,51222283,0.0662,"GSM2405095_9969477124_R05C01",0.574184208777251
"95",3,155000,4075000,-0.3332,"GSM2405095_9969477124_R05C01",0.574184208777251
"96",3,4400000,187925000,-0.1261,"GSM2405095_9969477124_R05C01",0.574184208777251
"97",3,1.88e+08,193150000,-0.3491,"GSM2405095_9969477124_R05C01",0.574184208777251
"98",3,193325000,197831215,0.0072,"GSM2405095_9969477124_R05C01",0.574184208777251
"99",4,55000,190972138,-0.117,"GSM2405095_9969477124_R05C01",0.574184208777251
"100",5,55000,180777630,-0.0943,"GSM2405095_9969477124_R05C01",0.574184208777251
"101",6,155000,32225000,-0.0887,"GSM2405095_9969477124_R05C01",0.574184208777251
"102",6,32275000,32650000,-0.578,"GSM2405095_9969477124_R05C01",0.574184208777251
"103",6,32725000,170952534,-0.1076,"GSM2405095_9969477124_R05C01",0.574184208777251
"104",7,55000,159039332,-0.0552,"GSM2405095_9969477124_R05C01",0.574184208777251
"105",8,105000,146277011,-0.0665,"GSM2405095_9969477124_R05C01",0.574184208777251
"106",9,130000,141076716,-0.0091,"GSM2405095_9969477124_R05C01",0.574184208777251
"107",1,635684,249195311,0.009,"GSM2405186_9878820105_R06C01",0.493521276955428
"108",10,105000,135462374,-0.0031,"GSM2405186_9878820105_R06C01",0.493521276955428
"109",11,130000,36600000,-0.0101,"GSM2405186_9878820105_R06C01",0.493521276955428
"110",11,38475000,43325000,-0.2937,"GSM2405186_9878820105_R06C01",0.493521276955428
"111",11,43450000,134873258,-0.009,"GSM2405186_9878820105_R06C01",0.493521276955428
"112",12,172870,133770948,-0.0199,"GSM2405186_9878820105_R06C01",0.493521276955428
"113",13,19110000,115079939,-0.068,"GSM2405186_9878820105_R06C01",0.493521276955428
"114",14,19325000,107119770,-0.0031,"GSM2405186_9878820105_R06C01",0.493521276955428
"115",15,20225000,83725000,0.002,"GSM2405186_9878820105_R06C01",0.493521276955428
"116",15,83850000,84250000,-0.2042,"GSM2405186_9878820105_R06C01",0.493521276955428
"117",15,84667237,102410696,0.0276,"GSM2405186_9878820105_R06C01",0.493521276955428
"118",16,105000,90222377,0.0365,"GSM2405186_9878820105_R06C01",0.493521276955428
"119",17,25000,81122605,-0.0307,"GSM2405186_9878820105_R06C01",0.493521276955428
"120",18,80000,77983624,-0.1019,"GSM2405186_9878820105_R06C01",0.493521276955428
"121",19,180000,59084492,-0.0058,"GSM2405186_9878820105_R06C01",0.493521276955428
"122",2,130000,243026238,-0.0427,"GSM2405186_9878820105_R06C01",0.493521276955428
"123",20,155000,62907760,-0.0218,"GSM2405186_9878820105_R06C01",0.493521276955428
"124",21,10848948,48084948,-0.0023,"GSM2405186_9878820105_R06C01",0.493521276955428
"125",22,16373925,51222283,0.0443,"GSM2405186_9878820105_R06C01",0.493521276955428
"126",3,155000,197831215,-0.0445,"GSM2405186_9878820105_R06C01",0.493521276955428
"127",4,55000,190972138,-0.0978,"GSM2405186_9878820105_R06C01",0.493521276955428
"128",5,55000,180777630,-0.0384,"GSM2405186_9878820105_R06C01",0.493521276955428
"129",6,155000,170952534,-0.0554,"GSM2405186_9878820105_R06C01",0.493521276955428
"130",7,55000,159039332,-0.0087,"GSM2405186_9878820105_R06C01",0.493521276955428
"131",8,105000,88875000,-0.0328,"GSM2405186_9878820105_R06C01",0.493521276955428
"132",8,89100000,90925000,-0.5297,"GSM2405186_9878820105_R06C01",0.493521276955428
"133",8,9.1e+07,146277011,-0.0463,"GSM2405186_9878820105_R06C01",0.493521276955428
