"chrom","start.pos","end.pos","n.probes","GSM2405617_3998523019_R04C02","GSM2405618_3998523019_R05C02","GSM2405619_3998523019_R06C02","GSM2405620_3998523022_R01C01","GSM2405621_3998523022_R02C01","GSM2405622_3998523022_R03C01","GSM2405623_3998523022_R04C01","GSM2405624_3998523022_R05C01","GSM2405625_3998523022_R06C01","GSM2405626_3998523022_R01C02","GSM2941191_3999078159_R03C01"
"1",1,521369,120400001,898,-0.031,0.068,-0.343,-0.382,-0.323,-0.067,-0.349,-0.124,-0.118,-0.183,-0.137
"2",1,120747157,249150001,695,0.09,0.175,0.135,0.155,0.162,0.198,0.186,-0.093,0.238,0.147,0.177
"3",2,10001,242950001,1282,-0.204,-0.185,0.115,-0.356,-0.279,-0.045,0.123,-0.117,-0.047,-0.139,-0.168
"4",3,60001,197700001,978,0.144,0.23,0.122,0.166,0.177,-0.018,0.198,-0.084,0.041,-0.082,-0.09
"5",4,10001,190900001,742,0.294,0.151,0.085,0.145,0.118,-0.095,0.052,0.126,0.174,0.267,0.001
"6",5,10001,180650001,849,0.121,0.137,0.143,0.153,0.201,0.202,0.169,0.174,0.272,0.153,0.04
"7",6,60001,58300001,495,0.119,-0.16,0.11,0.163,0.16,-0.026,0.168,-0.103,0.034,-0.115,0.179
"8",6,62178590,170850001,493,0.192,-0.103,0.154,-0.351,0.192,-0.019,0.186,-0.081,0.091,-0.098,0.124
"9",7,10001,158950001,952,0.213,0.385,0.195,0.209,0.083,0.018,-0.018,0.21,0.326,0.36,0.079
"10",8,10001,146250001,726,0.117,0.112,0.14,0.176,0.18,0.196,0.13,0.312,0.009,0.118,0.046
"11",9,10001,141000001,383,0.048,0.099,0.083,0.109,0.148,0.186,0.142,0.153,0.212,0.13,0.048
"12",10,60001,42596688,235,0.251,-0.115,0.239,-0.279,0.264,0.029,0.2,-0.013,0.069,-0.066,-0.072
"13",10,42850001,135400001,605,0.087,-0.223,0.139,-0.383,-0.256,-0.038,0.13,-0.094,-0.032,-0.15,-0.132
"14",11,60001,134800001,914,-0.231,-0.179,0.104,0.13,-0.278,-0.187,-0.264,-0.095,-0.076,-0.114,-0.145
"15",12,145740,133700001,848,0.315,0.164,0.14,0.162,0.175,-0.033,0.166,-0.085,0.255,0.151,0.053
"16",13,19020001,115050001,431,0.302,0.526,0.175,0.208,0.198,0.053,0.259,0.393,0.183,0.251,0.056
"17",14,19000001,106950001,528,0.227,0.321,0.119,0.151,0.131,0.167,0.102,0.137,0.293,0.272,0.185
"18",15,20000001,102300001,571,0.26,0.101,-0.299,0.16,0.132,0.179,0.097,0.137,-0.032,0.112,0.192
"19",16,60001,90150001,624,0.124,0.096,-0.266,0.134,0.019,-0.004,-0.247,0.179,-0.017,0.144,0.097
"20",17,1,81050001,814,-0.41,-0.266,-0.009,0.064,-0.003,-0.112,-0.018,-0.18,-0.201,-0.239,-0.154
"21",18,10001,77950001,243,-0.359,0.043,-0.394,-0.412,-0.387,-0.148,-0.496,0.053,-0.175,-0.015,-0.018
"22",19,60001,59050001,711,0.128,0.16,0.049,0.067,0.086,0.131,0.071,0.088,-0.055,0.03,0.152
"23",20,60001,62850001,359,0.199,0.226,0.019,0.053,0.084,0.156,0.102,0.075,0.022,0.075,0.004
"24",21,10697897,48050001,157,0.05,0.213,0.1,0.123,0.127,0.173,0.085,0.14,-0.055,0.083,-0.098
"25",22,16050001,51200001,300,-0.118,0.169,-0.348,0.095,0.076,0.121,0.018,0.092,-0.154,0.025,0.05
