"chrom","start.pos","end.pos","n.probes","GSM2404445_9420867097_R02C02","GSM2404446_9420867097_R03C02","GSM2404447_9420867097_R04C02","GSM2404608_9741950021_R06C02","GSM2404609_9741950023_R01C01","GSM2404692_9647455131_R06C01","GSM2405393_3999834095_R04C01","GSM2405398_3999834095_R06C02","GSM2405638_3998568167_R04C02"
"1",1,521369,249150001,1593,-0.007,-0.012,-0.009,-0.014,-0.009,-0.012,0.006,0.003,-0.003
"2",2,10001,4200001,54,0.313,0.392,0.288,0.332,0.298,0.275,0.415,0.119,0.276
"3",2,5118789,242950001,1228,0.004,-0.003,-0.016,-0.002,0.004,-0.009,0.022,-0.003,-0.002
"4",3,60001,197700001,978,0.001,-0.025,-0.049,-0.014,-0.021,-0.027,0.021,-0.011,-0.041
"5",4,10001,190900001,742,-0.02,-0.016,-0.019,-0.011,-0.004,-0.014,0.026,-0.015,-0.002
"6",5,10001,28950001,136,0.198,0.238,0.168,0.207,0.182,0.155,0.273,0.061,0.154
"7",5,30850001,180650001,713,-0.032,-0.052,-0.059,-0.047,-0.046,-0.037,-0.014,-0.022,-0.039
"8",6,60001,157150001,858,-0.004,-0.031,-0.047,-0.027,-0.022,-0.027,0.004,-0.015,-0.023
"9",6,157300001,170850001,130,0.209,0.253,0.191,0.215,0.204,0.168,0.285,0.077,0.18
"10",7,10001,158950001,952,0.076,0.067,0.029,0.056,0.053,0.039,0.094,0.032,0.044
"11",8,10001,8050001,62,0.342,0.419,0.327,0.337,0.351,0.301,0.383,0.154,0.332
"12",8,8150001,146250001,664,0.011,0.009,-0.005,-0.001,0.016,0.001,0.028,-0.002,0.018
"13",9,10001,141000001,383,0.02,0.029,0.01,0.019,0.014,0.011,0.022,0.014,0.002
"14",10,60001,135400001,840,0.063,0.067,0.045,0.057,0.049,0.045,0.095,0.024,0.045
"15",11,60001,134800001,914,0.011,0.003,-0.02,-0.001,-0.009,-0.019,0.026,-0.015,-0.026
"16",12,145740,133700001,848,0.013,0.005,-0.011,0.003,0.001,-0.002,0.035,0.011,0.002
"17",13,19020001,115050001,431,0.1,0.084,0.018,0.07,0.071,0.043,0.128,0.027,0.03
"18",14,19000001,106950001,528,-0.005,-0.016,0.001,-0.013,-0.008,0.002,0.003,0.003,0
"19",15,20000001,102300001,571,0.008,0.013,0.016,0.004,0.014,0.013,0.024,0.016,0.022
"20",16,60001,90150001,624,0.101,0.121,0.08,0.105,0.087,0.07,0.135,0.044,0.067
"21",17,1,81050001,814,-0.014,0.015,0.018,0.01,0.014,-0.004,0.01,-0.002,0.01
"22",18,10001,77950001,243,-0.036,-0.017,0.009,-0.003,0.012,-0.003,0.02,-0.005,0.014
"23",19,60001,59050001,711,0.021,0.037,0.032,0.039,0.027,0.018,0.046,0.037,0.019
"24",20,60001,62850001,359,-0.017,-0.017,-0.024,-0.005,-0.007,-0.026,-0.014,-0.003,-0.026
"25",21,10697897,48050001,157,0.078,0.1,0.064,0.092,0.083,0.067,0.106,0.039,0.074
"26",22,16050001,51200001,300,0.023,0.039,0.055,0.048,0.04,0.038,0.034,0.045,0.048
