"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0683,"GSM2402940_6969568004_R02C02"
"2",10,105000,135462374,0.0617,"GSM2402940_6969568004_R02C02"
"3",11,130000,134873258,0.0886,"GSM2402940_6969568004_R02C02"
"4",12,172870,133770948,0.0587,"GSM2402940_6969568004_R02C02"
"5",13,19110000,115079939,0.0785,"GSM2402940_6969568004_R02C02"
"6",14,19325000,107119770,0.0343,"GSM2402940_6969568004_R02C02"
"7",15,20225000,102410696,0.0429,"GSM2402940_6969568004_R02C02"
"8",16,105000,90222377,0.078,"GSM2402940_6969568004_R02C02"
"9",17,25000,81122605,-0.0674,"GSM2402940_6969568004_R02C02"
"10",18,80000,77983624,-0.1513,"GSM2402940_6969568004_R02C02"
"11",19,180000,59084492,-2e-04,"GSM2402940_6969568004_R02C02"
"12",2,130000,243026238,0.0261,"GSM2402940_6969568004_R02C02"
"13",20,155000,62907760,0.0221,"GSM2402940_6969568004_R02C02"
"14",21,10848948,48084948,0.0399,"GSM2402940_6969568004_R02C02"
"15",22,16373925,51222283,0.0091,"GSM2402940_6969568004_R02C02"
"16",3,155000,197831215,0.0802,"GSM2402940_6969568004_R02C02"
"17",4,55000,190972138,-0.0301,"GSM2402940_6969568004_R02C02"
"18",5,55000,180777630,0.0574,"GSM2402940_6969568004_R02C02"
"19",6,155000,170952534,0.0429,"GSM2402940_6969568004_R02C02"
"20",7,55000,159039332,0.1025,"GSM2402940_6969568004_R02C02"
"21",8,105000,146277011,0.0202,"GSM2402940_6969568004_R02C02"
"22",9,130000,68326090,0.2982,"GSM2402940_6969568004_R02C02"
"23",9,71067734,141076716,-0.3817,"GSM2402940_6969568004_R02C02"
"24",1,635684,249195311,0.0856,"GSM2402942_6969568004_R05C02"
"25",10,105000,42723344,0.0627,"GSM2402942_6969568004_R05C02"
"26",10,42925000,135462374,-0.3804,"GSM2402942_6969568004_R05C02"
"27",11,130000,134873258,0.0966,"GSM2402942_6969568004_R05C02"
"28",12,172870,133770948,0.0637,"GSM2402942_6969568004_R05C02"
"29",13,19110000,115079939,0.0769,"GSM2402942_6969568004_R05C02"
"30",14,19325000,107119770,0.0471,"GSM2402942_6969568004_R05C02"
"31",15,20225000,102410696,0.0495,"GSM2402942_6969568004_R05C02"
"32",16,105000,90222377,0.0734,"GSM2402942_6969568004_R05C02"
"33",17,25000,81122605,-0.0622,"GSM2402942_6969568004_R05C02"
"34",18,80000,77983624,-0.1248,"GSM2402942_6969568004_R05C02"
