"chrom","start.pos","end.pos","n.probes","GSM2405391_3999834095_R02C01","GSM2405392_3999834095_R03C01","GSM2405396_3999834095_R02C02","GSM2405397_3999834095_R03C02","GSM2405399_3999834096_R01C01","GSM2405400_3999834096_R02C01","GSM2405401_3999834096_R03C01","GSM2405402_3999834096_R04C01","GSM2405403_3999834096_R06C01","GSM2405405_3999834096_R02C02","GSM2405406_3999834096_R03C02","GSM2405407_3999834096_R04C02"
"1",1,521369,22900001,274,0.154,0.08,0.15,0.157,0.076,0.09,0.046,0.235,0.233,0.186,0.08,0.154
"2",1,22950001,249150001,1319,-0.015,-0.005,0.008,0.007,-0.028,-0.024,-0.022,-0.015,-0.067,-0.017,-0.022,-0.021
"3",2,10001,4200001,54,0.46,0.415,0.388,0.405,0.257,0.301,0.207,0.57,0.653,0.545,0.33,0.462
"4",2,5118789,233500001,1113,-0.002,0.017,0.01,0.009,-0.022,0.013,0.019,0.013,-0.021,-0.003,0.022,-0.007
"5",2,233700001,242950001,115,0.298,0.232,0.248,0.276,0.151,0.204,0.138,0.365,0.378,0.345,0.212,0.292
"6",3,60001,197700001,978,0.011,0.077,0.013,0.034,-0.034,0.035,0.029,0.01,-0.024,0.018,0.049,0.008
"7",4,10001,12250001,141,0.249,0.178,0.204,0.239,0.137,0.171,0.105,0.365,0.366,0.286,0.152,0.259
"8",4,13300001,178200001,529,-0.085,-0.099,-0.084,-0.08,-0.052,-0.044,-0.041,-0.039,-0.086,-0.12,-0.079,-0.081
"9",4,178350001,190900001,72,0.272,0.197,0.216,0.245,0.149,0.25,0.132,0.407,0.431,0.275,0.193,0.28
"10",5,10001,28950001,136,0.295,0.322,0.245,0.272,0.147,0.224,0.154,0.337,0.384,0.36,0.285,0.296
"11",5,30850001,180650001,713,-0.022,0.009,-0.004,0.002,-0.034,-0.027,-0.007,-0.03,-0.065,-0.013,-0.008,-0.025
"12",6,60001,157150001,858,0.002,0.057,0.019,0.031,-0.028,0.028,0.034,-0.01,-0.045,0.006,0.049,0.003
"13",6,157300001,170850001,130,0.32,0.277,0.276,0.285,0.18,0.225,0.154,0.402,0.423,0.367,0.236,0.333
"14",7,10001,7100001,108,0.291,0.26,0.248,0.281,0.157,0.271,0.201,0.423,0.429,0.329,0.252,0.304
"15",7,7150001,155600001,789,0.059,0.143,0.068,0.088,-0.001,0.057,0.06,0.018,-0.014,0.088,0.11,0.046
"16",7,155650001,158950001,55,0.439,0.407,0.355,0.383,0.231,0.255,0.16,0.496,0.554,0.523,0.307,0.427
"17",8,10001,8050001,62,0.478,0.388,0.424,0.465,0.291,0.377,0.264,0.644,0.662,0.559,0.384,0.49
"18",8,8150001,146250001,664,0.036,0.036,0.038,0.045,0.005,0.024,0.026,0.062,0.027,0.045,0.037,0.021
"19",9,10001,141000001,383,0.036,0.037,0.031,0.041,0.001,-0.001,0.013,0.054,0.028,0.045,0.023,0.029
"20",10,60001,4400001,53,0.508,0.473,0.448,0.477,0.298,0.34,0.224,0.632,0.652,0.57,0.346,0.528
"21",10,4850001,130050001,714,0.051,0.049,0.057,0.066,0.009,0.038,0.021,0.071,0.036,0.05,0.037,0.042
"22",10,130100001,135400001,73,0.429,0.325,0.343,0.363,0.238,0.24,0.166,0.533,0.598,0.506,0.262,0.422
"23",11,60001,134800001,914,0.031,0.075,0.037,0.049,-0.032,0.032,0.008,0.026,0.009,0.048,0.059,0.021
"24",12,145740,124100001,746,0.001,0.038,0.022,0.025,-0.025,0.008,0.006,0.015,-0.033,0.001,0.018,0.002
"25",12,124150001,133700001,102,0.306,0.241,0.279,0.295,0.165,0.183,0.121,0.412,0.446,0.369,0.183,0.319
"26",13,19020001,108900001,357,0.056,0.188,0.059,0.089,-0.007,0.108,0.123,0.021,0.003,0.066,0.163,0.055
"27",13,109150001,115050001,74,0.434,0.444,0.378,0.416,0.243,0.316,0.248,0.515,0.562,0.518,0.367,0.44
"28",14,19000001,97650001,418,-0.032,-0.052,-0.008,-0.017,-0.027,-0.068,-0.044,-0.023,-0.092,-0.052,-0.059,-0.042
"29",14,97700001,106950001,110,0.222,0.092,0.194,0.199,0.145,0.145,0.103,0.345,0.359,0.25,0.135,0.22
"30",15,20000001,102300001,571,0.044,0.016,0.055,0.06,0.023,0.014,0,0.075,0.024,0.052,0.001,0.03
"31",16,60001,90150001,624,0.152,0.156,0.152,0.176,0.065,0.143,0.099,0.221,0.216,0.181,0.142,0.162
"32",17,1,76350001,730,-0.002,-0.087,0.013,0.008,-0.01,0.016,-0.006,0.109,0.061,-0.036,-0.054,0.004
"33",17,76400001,81050001,84,0.281,0.159,0.229,0.265,0.156,0.242,0.162,0.468,0.508,0.29,0.173,0.311
"34",18,10001,77950001,243,0.005,-0.104,0.006,0.001,0.016,0.042,0.02,0.148,0.095,-0.054,-0.055,0.021
"35",19,60001,59050001,711,0.053,0.012,0.071,0.072,0.026,0.079,0.057,0.141,0.103,0.044,0.028,0.067
"36",20,60001,62850001,359,-0.008,-0.009,0.002,0.007,-0.026,0.032,0.033,0.03,-0.006,-0.019,0.02,-0.004
"37",21,10697897,48050001,157,0.122,0.098,0.105,0.129,0.068,0.126,0.081,0.21,0.201,0.127,0.104,0.118
"38",22,16050001,51200001,300,0.065,-0.038,0.068,0.07,0.056,0.043,0.025,0.155,0.098,0.039,-0.011,0.075
