"chrom","start.pos","end.pos","n.probes","GSM2402976_6929718027_R03C02","GSM2402979_6929689149_R01C01","GSM2402980_6929689149_R03C01","GSM2402998_6929718001_R03C02","GSM2403064_6229017057_R01C01","GSM2403126_6285641012_R03C02","GSM2403182_6752625107_R05C02","GSM2403183_6752625106_R01C02","GSM2403184_6752625107_R01C02","GSM2403185_6752625107_R04C02","GSM2403191_6929806024_R04C02","GSM2403192_6929806024_R06C02","GSM2403193_6929806038_R01C01","GSM2403194_6929806038_R02C01","GSM2403195_6929806038_R03C01","GSM2403197_6929806038_R05C01","GSM2403200_6929806038_R06C02","GSM2403201_6929806046_R01C01","GSM2403202_6929806046_R02C01","GSM2403204_6929806046_R04C01","GSM2403206_6929806046_R03C02","GSM2403208_6929806046_R05C02","GSM2403210_6929806048_R05C01","GSM2403212_6929806048_R01C02","GSM2403213_6929806048_R02C02","GSM2403214_6929806048_R04C02","GSM2403215_6929806048_R05C02","GSM2403216_6929806048_R06C02","GSM2403228_6752625135_R06C02","GSM2403231_7310440009_R06C01","GSM2403497_8622007061_R04C01","GSM2403601_8622007106_R05C02","GSM2403791_9296930089_R02C02","GSM2403792_9296930089_R03C02","GSM2403793_9296930047_R04C02","GSM2403794_9296930047_R05C02","GSM2403795_9296930052_R01C01","GSM2403796_9296930052_R04C01","GSM2403797_9296930052_R05C01","GSM2403799_9296930052_R01C02","GSM2403800_9296930066_R01C01","GSM2403801_9296930066_R02C01","GSM2403802_9296930066_R03C01","GSM2403803_9296930066_R01C02","GSM2403804_9296930066_R02C02","GSM2403805_9296930066_R03C02","GSM2403808_9296930076_R01C02","GSM2403809_9296930076_R02C02","GSM2403810_9296930089_R01C01","GSM2403811_9296930089_R03C01","GSM2403812_9296930089_R04C01","GSM2403813_9296930089_R06C01","GSM2403853_9305651003_R06C02","GSM2403856_9305651003_R02C01","GSM2403868_9305651013_R01C01","GSM2403869_9305651027_R05C01","GSM2403940_9305651053_R01C02","GSM2403981_6026818094_R05C02","GSM2404035_9340996050_R04C02","GSM2404049_9373550018_R01C02","GSM2404051_9373550034_R05C02","GSM2404052_9373550035_R06C01","GSM2404053_9373550035_R01C02","GSM2404055_9373550018_R01C01","GSM2404093_9374342010_R01C01","GSM2404283_9422491056_R01C01","GSM2404400_9426020061_R01C02","GSM2404404_9426020061_R01C01","GSM2404431_9426021175_R06C01","GSM2405080_9969477098_R01C01","GSM2940754_10006823069_R02C02","GSM2940825_200325530023_R01C02","GSM2940907_200397540001_R04C02","GSM2940982_3998523057_R06C02","GSM2940993_3998546128_R05C01","GSM2941084_3998909073_R02C01","GSM2941182_3999078120_R05C02","GSM2941198_3999095103_R05C01","GSM2941204_3999095104_R04C02","GSM2941236_3999547142_R05C02","GSM2941280_3999834115_R01C01","GSM2941334_9340996058_R06C01","GSM2941355_9376561024_R04C01","GSM2941388_9407201028_R04C02","GSM2941530_9721366149_R05C02","GSM2941534_9721366150_R03C01","GSM2941642_9878820140_R01C02","GSM2941747_9969477055_R05C01","GSM2941766_9969477074_R04C02","GSM2941798_9969477107_R03C01"
"1",1,521369,120150001,895,0.018,0.01,0.04,0.041,0.016,0.006,-0.026,0.068,0.026,0.174,0.037,0.054,0.058,0.042,0.048,0.047,0.062,0.089,-0.007,0.051,0.046,0.058,0.088,0.077,0.063,0.074,0.053,0.043,0.06,0.083,0.026,0.193,0.012,0.062,0.01,0.003,0.025,0.035,0.012,0.01,-0.102,0.031,-0.076,0.013,0.008,0.139,-0.036,-0.019,-0.122,0.037,0.043,0.039,-0.013,0.047,0.047,0.027,-0.076,0.058,-0.017,-0.043,0.003,0.004,-0.001,0.073,-0.042,-0.033,0.083,0.074,-0.041,-0.002,0.081,0.001,0.049,-0.001,0.08,-0.099,0.095,0.059,0.035,-0.001,0.012,-0.014,-0.058,0.028,0.084,0.045,0.038,0.087,0.088,0.039
"2",1,120200001,249150001,698,0.224,0.021,0.056,0.045,0.292,0.219,-0.027,0.066,0.325,0.216,0.198,0.046,0.05,0.305,0.034,0.04,0.033,0.079,0.286,0.034,0.025,0.046,0.094,0.099,0.01,0.065,0.046,0.398,0.163,0.074,0.015,0.393,0.061,0.14,0.043,0.066,0.039,0.088,0.024,0.111,0.359,0.111,0.448,0.153,0.092,0.22,0.118,0.278,0.367,0.134,0.128,0.139,0.379,0.014,0.07,0.048,0.167,0.038,0.067,0.169,0.114,0.074,0.093,0.2,0.134,0.03,0.017,0.01,0.184,0.061,0.085,0.004,0.058,0.213,0.059,-0.12,0.078,0.017,0.05,0.292,0.002,0.219,0.136,0.052,0.058,0.034,0.037,0.08,0.094,0.208
"3",2,10001,242950001,1282,-0.006,-0.013,0.014,0.007,0.049,-0.005,-0.056,0.022,-0.023,0.04,-0.001,-0.002,0.006,0.004,-0.005,0.001,-0.018,0.02,-0.048,-0.012,-0.004,0.007,0.056,0.05,-0.043,0.01,-0.001,-0.001,-0.017,0.026,-0.015,-0.013,0.049,0.114,0.032,0.018,0.029,0.074,0,0.068,-0.027,0.082,0.123,0.038,0.081,0.201,0.038,0.059,0.108,0.118,0.114,0.112,0.003,-0.005,0.101,0.034,0.032,0.006,0.056,0.001,0.114,0.068,0.086,0.158,0.054,0.026,-0.036,-0.018,0.071,0.017,0.026,0.045,0.021,-0.009,-0.066,-0.007,-0.067,-0.02,0.066,0.134,-0.002,-0.08,0.003,0.023,0.025,0.02,0.041,0.041,0.057,-0.004
"4",3,60001,197700001,978,0.022,0.017,0.043,0.028,0.083,-0.046,-0.054,-0.272,0.017,-0.138,-0.008,0.007,0.02,-0.104,-0.005,0.009,-0.014,-0.163,-0.056,-0.01,0,0.013,-0.058,-0.347,-0.053,0.027,0.013,0.022,-0.31,-0.122,-0.01,0.019,0.09,-0.202,0.047,0.044,0.041,-0.159,0.018,0.129,0.196,0.125,0.018,-0.025,-0.185,-0.231,0.073,0.084,0.155,-0.219,0.154,-0.21,-0.008,-0.033,-0.336,0.051,0.046,0.002,0.095,0.143,0.172,0.109,0.146,-0.248,-0.058,-0.189,-0.047,-0.046,-0.303,-0.008,-0.349,0.005,0.034,-0.056,0.029,-0.02,-0.114,-0.035,0.038,0.03,-0.008,-0.138,-0.241,0.037,-0.121,0.01,0.04,0.052,-0.248,-0.013
"5",4,10001,190900001,742,-0.052,-0.08,-0.05,-0.049,0.012,-0.03,0.037,-0.026,-0.068,0.023,-0.071,-0.062,-0.049,-0.052,-0.071,-0.065,-0.074,-0.032,-0.169,-0.072,-0.062,-0.056,-0.007,-0.005,-0.106,-0.038,-0.063,-0.067,0.039,-0.027,-0.033,-0.086,-0.026,-0.111,-0.038,-0.031,-0.034,0.013,-0.054,-0.023,-0.104,0.001,0.102,-0.04,0.01,-0.09,0.119,-0.021,0.028,0.024,0.027,0.015,-0.051,-0.06,0.029,-0.012,-0.019,-0.048,-0.008,0.08,-0.003,-0.005,0.026,0.063,-0.098,0.006,-0.062,0.018,0.033,-0.042,-0.076,0.022,-0.051,-0.093,-0.094,-0.037,0.02,-0.085,-0.056,-0.102,-0.037,-0.106,-0.31,-0.049,0.001,-0.048,0.008,-0.018,0,-0.05
"6",5,10001,180650001,849,0.015,0.022,0.038,0.022,0.08,-0.204,0.149,0.042,0.009,0.065,-0.005,0.005,0.018,0.021,0,0.008,-0.008,0.04,0.106,-0.007,0.003,0.014,-0.059,-0.074,-0.037,-0.28,0.011,0.013,0.122,-0.12,-0.013,0.015,0.043,0.122,0.037,0.026,0.015,0.086,0.008,0.082,0.348,0.087,0.16,0.135,0.089,0.008,0.22,0.056,0.12,0.132,0.044,0.12,-0.012,-0.016,0.08,0.04,0.048,0.005,0.061,0.144,0.096,0.079,0.083,0.181,0.005,0.01,-0.025,-0.007,0.092,0.04,0.007,0.013,0.036,0.02,0.041,0.005,-0.04,-0.024,0.028,0.011,-0.002,-0.094,0.081,0.037,-0.091,0.019,0.044,0.057,0.027,0.001
"7",6,60001,170850001,988,0.057,-0.006,0.023,0.008,0.05,-0.009,-0.055,0.025,0.004,-0.069,-0.013,-0.009,0.014,0.013,-0.026,0.003,-0.033,0.029,-0.007,-0.017,-0.008,0.007,-0.069,0.06,-0.07,0.009,-0.008,-0.001,0.14,0.023,-0.014,-0.023,0.073,0.145,0.049,0.042,0.005,0.098,0.008,0.108,0.164,0.105,0.171,-0.015,0.108,0.025,0.09,0.093,0.09,0.158,0.135,0.146,-0.002,-0.042,0.115,0.051,0.04,0,0.085,0.217,0.156,0.084,0.13,0.207,-0.06,0.012,-0.076,-0.046,0.103,0.017,0.043,0.043,0.027,0.158,-0.063,0.067,-0.07,-0.037,0.03,-0.247,0,-0.11,-0.006,0.035,-0.01,0.003,0.044,0.037,0.034,-0.012
"8",7,10001,158950001,952,0.045,0.043,0.078,0.06,0.063,0.031,0.172,0.094,0.049,0.232,0.017,0.033,0.05,0.045,0.024,0.043,0.004,0.065,0.001,0.019,0.031,0.049,0.099,0.106,-0.04,0.046,0.036,0.04,0.196,0.068,0.051,0.022,0.117,0.203,0.103,0.254,0.234,0.127,0.246,0.167,0.32,0.172,0.268,0.387,0.173,0.102,0.313,0.162,0.241,0.204,0.211,0.22,0.055,0.034,0.188,0.088,0.089,0.018,0.148,0.161,0.232,0.177,0.139,0.267,-0.011,0.027,-0.065,-0.065,0.196,0.053,0.079,0.106,0.074,0.072,0.065,0.043,0.083,0,0.067,0.043,0.037,-0.055,0.161,0.081,0.053,0.046,0.041,0.074,0.09,0.03
"9",8,10001,146250001,726,-0.002,0.183,0.015,0.01,0.048,0.004,0.147,0.03,0.175,0.162,-0.004,0.002,0.021,0.153,0.001,0.009,-0.011,0.034,0.109,-0.002,0.003,0.018,-0.071,0.047,-0.034,0.023,0.001,-0.001,0.102,-0.121,0.023,0.202,0.032,0.099,0.034,0.017,-0.003,0.085,0.011,0.055,0.223,0.069,-0.021,-0.004,0.039,0.183,0.072,0.064,0.114,0.098,-0.214,0.089,0.003,0.009,0.086,0.032,0.043,0.007,0.05,0.198,0.102,0.064,0.061,0.131,0.021,0.048,-0.031,0.001,0.538,0.025,0.041,0.068,0.033,0.136,0.05,0.009,-0.033,-0.008,0.021,0.129,0.005,0.067,0.158,0.028,-0.07,0.024,0.043,0.052,0.027,0.007
"10",9,10001,141000001,383,-0.368,0.028,-0.027,0.047,0.032,0.015,-0.039,-0.225,-0.253,-0.195,-0.052,0.045,-0.357,-0.18,0.024,0.035,0.031,-0.2,-0.055,0.021,0.027,0.04,-0.022,-0.309,0.015,0.05,-0.17,-0.36,-0.234,0.058,0.031,0.06,0.071,-0.231,0.038,0.019,0.01,0.077,0.088,0.096,-0.039,0.098,-0.193,-0.125,-0.216,0.246,-0.197,-0.438,0.034,-0.278,-0.2,0.262,0.022,0.029,-0.265,-0.01,-0.287,0.035,0.066,0.002,0.118,0.101,0.078,-0.323,-0.141,-0.278,0.005,0.022,0.1,0.078,-0.272,0.022,0.053,-0.11,-0.285,0.005,-0.067,0.031,0.036,0.155,0.017,0.21,-0.199,-0.015,0.037,-0.036,0.025,-0.261,-0.268,-0.265
