"chromosome","start","end","segmean","sample","noise"
"1",1,635684,121193348,-0.2168,"GSM2405617_3998523019_R04C02",0.988729148116374
"2",1,121392717,145225000,0.5117,"GSM2405617_3998523019_R04C02",0.988729148116374
"3",1,145375000,249195311,-0.1189,"GSM2405617_3998523019_R04C02",0.988729148116374
"4",10,105000,135462374,-0.0718,"GSM2405617_3998523019_R04C02",0.988729148116374
"5",11,130000,134873258,-0.4366,"GSM2405617_3998523019_R04C02",0.988729148116374
"6",12,172870,133770948,0.1112,"GSM2405617_3998523019_R04C02",0.988729148116374
"7",13,19110000,115079939,0.0375,"GSM2405617_3998523019_R04C02",0.988729148116374
"8",14,19325000,20025000,0.7624,"GSM2405617_3998523019_R04C02",0.988729148116374
"9",14,20450000,107119770,0.0258,"GSM2405617_3998523019_R04C02",0.988729148116374
"10",15,20225000,102410696,0.0705,"GSM2405617_3998523019_R04C02",0.988729148116374
"11",16,105000,31825000,-0.1051,"GSM2405617_3998523019_R04C02",0.988729148116374
"12",16,32075000,33986575,0.6497,"GSM2405617_3998523019_R04C02",0.988729148116374
"13",16,34286575,90222377,-0.0533,"GSM2405617_3998523019_R04C02",0.988729148116374
"14",17,25000,81122605,-0.5663,"GSM2405617_3998523019_R04C02",0.988729148116374
"15",18,80000,14125000,-0.4876,"GSM2405617_3998523019_R04C02",0.988729148116374
"16",18,14300000,18530449,0.3155,"GSM2405617_3998523019_R04C02",0.988729148116374
"17",18,18625000,77983624,-0.5369,"GSM2405617_3998523019_R04C02",0.988729148116374
"18",19,180000,59084492,-0.0559,"GSM2405617_3998523019_R04C02",0.988729148116374
"19",2,130000,88975000,-0.4256,"GSM2405617_3998523019_R04C02",0.988729148116374
"20",2,89315218,95438086,0.3241,"GSM2405617_3998523019_R04C02",0.988729148116374
"21",2,95625000,132325000,-0.419,"GSM2405617_3998523019_R04C02",0.988729148116374
"22",2,132425000,133100000,0.4436,"GSM2405617_3998523019_R04C02",0.988729148116374
"23",2,133175000,236575000,-0.4534,"GSM2405617_3998523019_R04C02",0.988729148116374
"24",2,236625000,237025000,0.273,"GSM2405617_3998523019_R04C02",0.988729148116374
"25",2,237075000,243026238,-0.3311,"GSM2405617_3998523019_R04C02",0.988729148116374
"26",20,155000,62907760,1e-04,"GSM2405617_3998523019_R04C02",0.988729148116374
"27",21,10848948,15475000,0.4956,"GSM2405617_3998523019_R04C02",0.988729148116374
"28",21,15650000,48084948,-0.1601,"GSM2405617_3998523019_R04C02",0.988729148116374
"29",22,16373925,51222283,-0.2882,"GSM2405617_3998523019_R04C02",0.988729148116374
"30",3,155000,197831215,-0.0793,"GSM2405617_3998523019_R04C02",0.988729148116374
"31",4,55000,190972138,0.1234,"GSM2405617_3998523019_R04C02",0.988729148116374
"32",5,55000,180777630,-0.0864,"GSM2405617_3998523019_R04C02",0.988729148116374
"33",6,155000,170952534,-0.0602,"GSM2405617_3998523019_R04C02",0.988729148116374
"34",7,55000,159039332,-0.0231,"GSM2405617_3998523019_R04C02",0.988729148116374
"35",8,105000,146277011,-0.088,"GSM2405617_3998523019_R04C02",0.988729148116374
"36",9,130000,141076716,-0.1573,"GSM2405617_3998523019_R04C02",0.988729148116374
"37",1,635684,249195311,-0.0608,"GSM2405618_3998523019_R05C02",0.927308029392167
"38",10,105000,135462374,-0.3799,"GSM2405618_3998523019_R05C02",0.927308029392167
"39",11,130000,71275000,-0.398,"GSM2405618_3998523019_R05C02",0.927308029392167
"40",11,71325000,71650000,0.46,"GSM2405618_3998523019_R05C02",0.927308029392167
"41",11,71725000,134873258,-0.3428,"GSM2405618_3998523019_R05C02",0.927308029392167
"42",12,172870,133770948,-0.0257,"GSM2405618_3998523019_R05C02",0.927308029392167
"43",13,19110000,28200000,0.2295,"GSM2405618_3998523019_R05C02",0.927308029392167
"44",13,28375000,29125000,-0.2821,"GSM2405618_3998523019_R05C02",0.927308029392167
"45",13,29200000,115079939,0.3243,"GSM2405618_3998523019_R05C02",0.927308029392167
"46",14,19325000,107119770,0.1407,"GSM2405618_3998523019_R05C02",0.927308029392167
"47",15,20225000,102410696,-0.0771,"GSM2405618_3998523019_R05C02",0.927308029392167
