"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0067,"GSM2402925_6929689136_R05C02",0.530598712603913
"2",10,105000,135462374,0.0045,"GSM2402925_6929689136_R05C02",0.530598712603913
"3",11,130000,134873258,0.0261,"GSM2402925_6929689136_R05C02",0.530598712603913
"4",12,172870,133770948,-0.0021,"GSM2402925_6929689136_R05C02",0.530598712603913
"5",13,19110000,115079939,-0.0047,"GSM2402925_6929689136_R05C02",0.530598712603913
"6",14,19325000,107119770,-0.0126,"GSM2402925_6929689136_R05C02",0.530598712603913
"7",15,20225000,102410696,-0.0105,"GSM2402925_6929689136_R05C02",0.530598712603913
"8",16,105000,90222377,0.0221,"GSM2402925_6929689136_R05C02",0.530598712603913
"9",17,25000,81122605,-0.0819,"GSM2402925_6929689136_R05C02",0.530598712603913
"10",18,80000,77983624,-0.1451,"GSM2402925_6929689136_R05C02",0.530598712603913
"11",19,180000,59084492,-0.0561,"GSM2402925_6929689136_R05C02",0.530598712603913
"12",2,130000,243026238,-0.0251,"GSM2402925_6929689136_R05C02",0.530598712603913
"13",20,155000,62907760,-0.0395,"GSM2402925_6929689136_R05C02",0.530598712603913
"14",21,10848948,48084948,-0.0054,"GSM2402925_6929689136_R05C02",0.530598712603913
"15",22,16373925,51222283,-0.0279,"GSM2402925_6929689136_R05C02",0.530598712603913
"16",3,155000,197831215,0.0018,"GSM2402925_6929689136_R05C02",0.530598712603913
"17",4,55000,190972138,-0.0604,"GSM2402925_6929689136_R05C02",0.530598712603913
"18",5,55000,180777630,0.0022,"GSM2402925_6929689136_R05C02",0.530598712603913
"19",6,155000,170952534,-0.021,"GSM2402925_6929689136_R05C02",0.530598712603913
"20",7,55000,159039332,0.0224,"GSM2402925_6929689136_R05C02",0.530598712603913
"21",8,105000,146277011,-0.0244,"GSM2402925_6929689136_R05C02",0.530598712603913
"22",9,130000,141076716,0.0161,"GSM2402925_6929689136_R05C02",0.530598712603913
"23",1,635684,249195311,-0.0538,"GSM2403506_8622007067_R04C01",0.640254677071559
"24",10,105000,135462374,-0.0209,"GSM2403506_8622007067_R04C01",0.640254677071559
"25",11,130000,134873258,-0.0486,"GSM2403506_8622007067_R04C01",0.640254677071559
"26",12,172870,133770948,-0.0527,"GSM2403506_8622007067_R04C01",0.640254677071559
"27",13,19110000,115079939,-0.0508,"GSM2403506_8622007067_R04C01",0.640254677071559
"28",14,19325000,107119770,-0.0515,"GSM2403506_8622007067_R04C01",0.640254677071559
"29",15,20225000,102410696,-0.0365,"GSM2403506_8622007067_R04C01",0.640254677071559
"30",16,105000,90222377,0.0119,"GSM2403506_8622007067_R04C01",0.640254677071559
"31",17,25000,81122605,-0.063,"GSM2403506_8622007067_R04C01",0.640254677071559
"32",18,80000,77983624,-0.0924,"GSM2403506_8622007067_R04C01",0.640254677071559
"33",19,180000,59084492,-0.0424,"GSM2403506_8622007067_R04C01",0.640254677071559
"34",2,130000,243026238,-0.0554,"GSM2403506_8622007067_R04C01",0.640254677071559
"35",20,155000,62907760,-0.0646,"GSM2403506_8622007067_R04C01",0.640254677071559
"36",21,10848948,48084948,-0.0049,"GSM2403506_8622007067_R04C01",0.640254677071559
