"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.078,"GSM2403778_9296930016_R05C01"
"2",10,105000,135462374,-0.0636,"GSM2403778_9296930016_R05C01"
"3",11,130000,134873258,0.0784,"GSM2403778_9296930016_R05C01"
"4",12,172870,133770948,0.007,"GSM2403778_9296930016_R05C01"
"5",13,19110000,115079939,0.0791,"GSM2403778_9296930016_R05C01"
"6",14,19325000,107119770,0.0334,"GSM2403778_9296930016_R05C01"
"7",15,20225000,102410696,0.0832,"GSM2403778_9296930016_R05C01"
"8",16,105000,90222377,0.0212,"GSM2403778_9296930016_R05C01"
"9",17,25000,81122605,-0.0882,"GSM2403778_9296930016_R05C01"
"10",18,80000,77983624,-0.059,"GSM2403778_9296930016_R05C01"
"11",19,180000,59084492,-0.0414,"GSM2403778_9296930016_R05C01"
"12",2,130000,243026238,-0.0888,"GSM2403778_9296930016_R05C01"
"13",20,155000,62907760,0.0078,"GSM2403778_9296930016_R05C01"
"14",21,10848948,48084948,-0.0073,"GSM2403778_9296930016_R05C01"
"15",22,16373925,51222283,-0.0856,"GSM2403778_9296930016_R05C01"
"16",3,155000,197831215,0.0015,"GSM2403778_9296930016_R05C01"
"17",4,55000,190972138,0.0074,"GSM2403778_9296930016_R05C01"
"18",5,55000,180777630,0.02,"GSM2403778_9296930016_R05C01"
"19",6,155000,170952534,0.0222,"GSM2403778_9296930016_R05C01"
"20",7,55000,159039332,0.1143,"GSM2403778_9296930016_R05C01"
"21",8,105000,146277011,0.0754,"GSM2403778_9296930016_R05C01"
"22",9,130000,141076716,-0.0704,"GSM2403778_9296930016_R05C01"
"23",1,635684,249195311,0.073,"GSM2404240_9406921038_R03C01"
"24",10,105000,49347768,-5e-04,"GSM2404240_9406921038_R03C01"
"25",10,49575000,54325000,-0.4252,"GSM2404240_9406921038_R03C01"
"26",10,54650000,135462374,-0.0509,"GSM2404240_9406921038_R03C01"
"27",11,130000,134873258,-0.0691,"GSM2404240_9406921038_R03C01"
"28",12,172870,133770948,-0.0851,"GSM2404240_9406921038_R03C01"
"29",13,19110000,115079939,-0.0838,"GSM2404240_9406921038_R03C01"
"30",14,19325000,107119770,-0.0375,"GSM2404240_9406921038_R03C01"
"31",15,20225000,102410696,-0.0694,"GSM2404240_9406921038_R03C01"
"32",16,105000,90222377,-0.0213,"GSM2404240_9406921038_R03C01"
"33",17,25000,81122605,0.043,"GSM2404240_9406921038_R03C01"
"34",18,80000,77983624,-0.1295,"GSM2404240_9406921038_R03C01"
"35",19,180000,59084492,0.0129,"GSM2404240_9406921038_R03C01"
"36",2,130000,243026238,0.0663,"GSM2404240_9406921038_R03C01"
"37",20,155000,62907760,-0.0422,"GSM2404240_9406921038_R03C01"
"38",21,10848948,48084948,0.0061,"GSM2404240_9406921038_R03C01"
"39",22,16373925,51222283,-0.0186,"GSM2404240_9406921038_R03C01"
"40",3,155000,197831215,0.0252,"GSM2404240_9406921038_R03C01"
"41",4,55000,190972138,-0.1783,"GSM2404240_9406921038_R03C01"
"42",5,55000,180777630,-0.0439,"GSM2404240_9406921038_R03C01"
"43",6,155000,170952534,-0.0281,"GSM2404240_9406921038_R03C01"
"44",7,55000,159039332,0.1735,"GSM2404240_9406921038_R03C01"
"45",8,105000,146277011,0.1277,"GSM2404240_9406921038_R03C01"
"46",9,130000,141076716,0.0095,"GSM2404240_9406921038_R03C01"
"47",1,635684,249195311,0.1351,"GSM2404241_9406921038_R04C01"
"48",10,105000,135462374,-0.1163,"GSM2404241_9406921038_R04C01"
"49",11,130000,134873258,-0.174,"GSM2404241_9406921038_R04C01"
"50",12,172870,33250000,0.1621,"GSM2404241_9406921038_R04C01"
"51",12,33875000,103650000,-0.1243,"GSM2404241_9406921038_R04C01"
"52",12,104050000,107225000,0.3921,"GSM2404241_9406921038_R04C01"
"53",12,107325000,133770948,-0.0941,"GSM2404241_9406921038_R04C01"
"54",13,19110000,21325000,0.2394,"GSM2404241_9406921038_R04C01"
"55",13,21425000,52025000,-0.4117,"GSM2404241_9406921038_R04C01"
"56",13,52125000,103675000,0.1091,"GSM2404241_9406921038_R04C01"
"57",13,104975000,109025000,-0.5303,"GSM2404241_9406921038_R04C01"
"58",13,109450000,115079939,0.2482,"GSM2404241_9406921038_R04C01"
"59",14,19325000,20025000,0.3007,"GSM2404241_9406921038_R04C01"
"60",14,20450000,107119770,-0.1081,"GSM2404241_9406921038_R04C01"
"61",15,20225000,102410696,-0.0498,"GSM2404241_9406921038_R04C01"
"62",16,105000,13150000,-0.048,"GSM2404241_9406921038_R04C01"
"63",16,13650000,16725000,0.2631,"GSM2404241_9406921038_R04C01"
"64",16,17375000,90222377,-0.0907,"GSM2404241_9406921038_R04C01"
"65",17,25000,81122605,-0.0678,"GSM2404241_9406921038_R04C01"
"66",18,80000,77983624,0.0678,"GSM2404241_9406921038_R04C01"
"67",19,180000,24290891,-0.2015,"GSM2404241_9406921038_R04C01"
"68",19,28015891,59084492,0.1132,"GSM2404241_9406921038_R04C01"
"69",2,130000,243026238,0.0946,"GSM2404241_9406921038_R04C01"
"70",20,155000,62907760,0.0672,"GSM2404241_9406921038_R04C01"
"71",21,10848948,48084948,0.1424,"GSM2404241_9406921038_R04C01"
"72",22,16373925,51222283,0.2447,"GSM2404241_9406921038_R04C01"
"73",3,155000,62875000,-0.153,"GSM2404241_9406921038_R04C01"
"74",3,63075000,67725000,0.3628,"GSM2404241_9406921038_R04C01"
"75",3,68350000,71325000,1.4573,"GSM2404241_9406921038_R04C01"
"76",3,71500000,79350000,0.305,"GSM2404241_9406921038_R04C01"
"77",3,80800000,88700000,-0.2407,"GSM2404241_9406921038_R04C01"
"78",3,89852427,197831215,0.1317,"GSM2404241_9406921038_R04C01"
"79",4,55000,166575000,-0.2475,"GSM2404241_9406921038_R04C01"
"80",4,1.68e+08,190972138,0.0607,"GSM2404241_9406921038_R04C01"
"81",5,55000,83375000,-0.172,"GSM2404241_9406921038_R04C01"
"82",5,84800000,110425000,0.1246,"GSM2404241_9406921038_R04C01"
"83",5,110625000,180777630,-0.2197,"GSM2404241_9406921038_R04C01"
"84",6,155000,7850000,0.1111,"GSM2404241_9406921038_R04C01"
"85",6,8e+06,10675000,0.4198,"GSM2404241_9406921038_R04C01"
"86",6,10725000,170952534,0.0376,"GSM2404241_9406921038_R04C01"
"87",7,55000,110475000,0.2242,"GSM2404241_9406921038_R04C01"
"88",7,1.11e+08,115025000,1.0765,"GSM2404241_9406921038_R04C01"
"89",7,115650000,159039332,0.2015,"GSM2404241_9406921038_R04C01"
"90",8,105000,146277011,-0.1003,"GSM2404241_9406921038_R04C01"
"91",9,130000,141076716,0.0339,"GSM2404241_9406921038_R04C01"
"92",1,635684,249195311,0.0582,"GSM2404242_9406921038_R06C01"
"93",10,105000,14025000,0.1324,"GSM2404242_9406921038_R06C01"
"94",10,14275000,37100000,-0.4203,"GSM2404242_9406921038_R06C01"
"95",10,37775000,135462374,0.0652,"GSM2404242_9406921038_R06C01"
"96",11,130000,96075000,0.0148,"GSM2404242_9406921038_R06C01"
"97",11,96193792,134873258,-0.3734,"GSM2404242_9406921038_R06C01"
"98",12,172870,133770948,0.1824,"GSM2404242_9406921038_R06C01"
"99",13,19110000,115079939,-0.3629,"GSM2404242_9406921038_R06C01"
"100",14,19325000,107119770,0.0407,"GSM2404242_9406921038_R06C01"
"101",15,20225000,102410696,0.067,"GSM2404242_9406921038_R06C01"
"102",16,105000,90222377,0.0691,"GSM2404242_9406921038_R06C01"
"103",17,25000,21733304,-0.3685,"GSM2404242_9406921038_R06C01"
"104",17,21850000,81122605,-0.0063,"GSM2404242_9406921038_R06C01"
"105",18,80000,77983624,-0.0548,"GSM2404242_9406921038_R06C01"
"106",19,180000,6625000,-0.041,"GSM2404242_9406921038_R06C01"
"107",19,6725000,8525000,-0.3825,"GSM2404242_9406921038_R06C01"
"108",19,8575000,59084492,-0.0032,"GSM2404242_9406921038_R06C01"
"109",2,130000,243026238,0.0309,"GSM2404242_9406921038_R06C01"
"110",20,155000,62907760,0.0073,"GSM2404242_9406921038_R06C01"
"111",21,10848948,48084948,0.0383,"GSM2404242_9406921038_R06C01"
"112",22,16373925,51222283,0.0615,"GSM2404242_9406921038_R06C01"
"113",3,155000,197831215,0.059,"GSM2404242_9406921038_R06C01"
"114",4,55000,190972138,-0.1015,"GSM2404242_9406921038_R06C01"
"115",5,55000,45225000,0.112,"GSM2404242_9406921038_R06C01"
"116",5,46027821,180777630,-0.382,"GSM2404242_9406921038_R06C01"
"117",6,155000,38375000,0.3109,"GSM2404242_9406921038_R06C01"
"118",6,38625000,82775000,0.0078,"GSM2404242_9406921038_R06C01"
"119",6,83400000,170952534,-0.3833,"GSM2404242_9406921038_R06C01"
"120",7,55000,159039332,0.2864,"GSM2404242_9406921038_R06C01"
"121",8,105000,146277011,0.0232,"GSM2404242_9406921038_R06C01"
"122",9,130000,28375000,-0.4052,"GSM2404242_9406921038_R06C01"
