"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.1062,"GSM2403087_6229017111_R06C01"
"2",10,105000,131825000,-0.2389,"GSM2403087_6229017111_R06C01"
"3",10,131900000,134325000,-0.9056,"GSM2403087_6229017111_R06C01"
"4",10,134375000,135462374,-0.1532,"GSM2403087_6229017111_R06C01"
"5",11,130000,134873258,0.0641,"GSM2403087_6229017111_R06C01"
"6",12,172870,133770948,0.0712,"GSM2403087_6229017111_R06C01"
"7",13,19110000,115079939,-0.1566,"GSM2403087_6229017111_R06C01"
"8",14,19325000,107119770,-0.2297,"GSM2403087_6229017111_R06C01"
"9",15,20225000,102410696,0.1101,"GSM2403087_6229017111_R06C01"
"10",16,105000,90222377,0.0938,"GSM2403087_6229017111_R06C01"
"11",17,25000,22156503,-0.223,"GSM2403087_6229017111_R06C01"
"12",17,25431503,81122605,0.1231,"GSM2403087_6229017111_R06C01"
"13",18,80000,77983624,-0.1424,"GSM2403087_6229017111_R06C01"
"14",19,180000,59084492,0.0464,"GSM2403087_6229017111_R06C01"
"15",2,130000,243026238,0.0342,"GSM2403087_6229017111_R06C01"
"16",20,155000,62907760,0.03,"GSM2403087_6229017111_R06C01"
"17",21,10848948,48084948,0.055,"GSM2403087_6229017111_R06C01"
"18",22,16373925,51222283,-0.176,"GSM2403087_6229017111_R06C01"
"19",3,155000,197831215,0.0689,"GSM2403087_6229017111_R06C01"
"20",4,55000,190972138,0.0139,"GSM2403087_6229017111_R06C01"
"21",5,55000,180777630,0.0764,"GSM2403087_6229017111_R06C01"
"22",6,155000,170952534,0.0464,"GSM2403087_6229017111_R06C01"
"23",7,55000,53950000,0.2724,"GSM2403087_6229017111_R06C01"
"24",7,54625000,55425000,1.1178,"GSM2403087_6229017111_R06C01"
"25",7,55525000,159039332,0.2704,"GSM2403087_6229017111_R06C01"
"26",8,105000,146277011,-0.1802,"GSM2403087_6229017111_R06C01"
"27",9,130000,141076716,-0.197,"GSM2403087_6229017111_R06C01"
"28",1,635684,249195311,0.1435,"GSM2403091_6229017111_R04C02"
"29",10,105000,135462374,-0.0982,"GSM2403091_6229017111_R04C02"
"30",11,130000,134873258,0.0471,"GSM2403091_6229017111_R04C02"
"31",12,172870,133770948,-0.1134,"GSM2403091_6229017111_R04C02"
"32",13,19110000,48725000,-0.1479,"GSM2403091_6229017111_R04C02"
"33",13,48825000,50375000,-0.7557,"GSM2403091_6229017111_R04C02"
"34",13,50475000,115079939,-0.0784,"GSM2403091_6229017111_R04C02"
"35",14,19325000,107119770,-0.1008,"GSM2403091_6229017111_R04C02"
"36",15,20225000,102410696,0.0737,"GSM2403091_6229017111_R04C02"
"37",16,105000,90222377,0.1129,"GSM2403091_6229017111_R04C02"
"38",17,25000,81122605,-0.0257,"GSM2403091_6229017111_R04C02"
"39",18,80000,77983624,-0.2096,"GSM2403091_6229017111_R04C02"
"40",19,180000,59084492,-0.0229,"GSM2403091_6229017111_R04C02"
"41",2,130000,243026238,0.0046,"GSM2403091_6229017111_R04C02"
"42",20,155000,62907760,0.0321,"GSM2403091_6229017111_R04C02"
"43",21,10848948,48084948,0.2385,"GSM2403091_6229017111_R04C02"
"44",22,16373925,51222283,-0.0961,"GSM2403091_6229017111_R04C02"
"45",3,155000,197831215,0.0608,"GSM2403091_6229017111_R04C02"
"46",4,55000,190972138,-0.0165,"GSM2403091_6229017111_R04C02"
"47",5,55000,180777630,0.003,"GSM2403091_6229017111_R04C02"
"48",6,155000,170952534,0.0537,"GSM2403091_6229017111_R04C02"
"49",7,55000,159039332,0.1506,"GSM2403091_6229017111_R04C02"
"50",8,105000,146277011,-0.1274,"GSM2403091_6229017111_R04C02"
"51",9,130000,141076716,0.081,"GSM2403091_6229017111_R04C02"
"52",1,635684,33025000,0.0415,"GSM2403092_6229017120_R01C01"
"53",1,33125000,36925000,-0.2028,"GSM2403092_6229017120_R01C01"
"54",1,37125000,249195311,0.0736,"GSM2403092_6229017120_R01C01"
"55",10,105000,135462374,-0.2248,"GSM2403092_6229017120_R01C01"
"56",11,130000,134873258,0.062,"GSM2403092_6229017120_R01C01"
"57",12,172870,133770948,0.055,"GSM2403092_6229017120_R01C01"
"58",13,19110000,79575000,-0.0118,"GSM2403092_6229017120_R01C01"
"59",13,8e+07,89725000,-0.3299,"GSM2403092_6229017120_R01C01"
"60",13,91550000,115079939,0.0505,"GSM2403092_6229017120_R01C01"
