"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.0599,"GSM2403627_8622007189_R05C01",0.607937567263364
"2",10,105000,135462374,-0.0387,"GSM2403627_8622007189_R05C01",0.607937567263364
"3",11,130000,134873258,-0.0813,"GSM2403627_8622007189_R05C01",0.607937567263364
"4",12,172870,133770948,-0.0664,"GSM2403627_8622007189_R05C01",0.607937567263364
"5",13,19110000,115079939,-0.074,"GSM2403627_8622007189_R05C01",0.607937567263364
"6",14,19325000,107119770,-0.0587,"GSM2403627_8622007189_R05C01",0.607937567263364
"7",15,20225000,102410696,-0.0392,"GSM2403627_8622007189_R05C01",0.607937567263364
"8",16,105000,90222377,5e-04,"GSM2403627_8622007189_R05C01",0.607937567263364
"9",17,25000,81122605,-0.0429,"GSM2403627_8622007189_R05C01",0.607937567263364
"10",18,80000,77983624,-0.0554,"GSM2403627_8622007189_R05C01",0.607937567263364
"11",19,180000,59084492,-0.0053,"GSM2403627_8622007189_R05C01",0.607937567263364
"12",2,130000,243026238,-0.075,"GSM2403627_8622007189_R05C01",0.607937567263364
"13",20,155000,62907760,-0.0565,"GSM2403627_8622007189_R05C01",0.607937567263364
"14",21,10848948,48084948,0.0047,"GSM2403627_8622007189_R05C01",0.607937567263364
"15",22,16373925,51222283,0.0211,"GSM2403627_8622007189_R05C01",0.607937567263364
"16",3,155000,197831215,-0.1079,"GSM2403627_8622007189_R05C01",0.607937567263364
"17",4,55000,190972138,-0.0906,"GSM2403627_8622007189_R05C01",0.607937567263364
"18",5,55000,180777630,-0.0877,"GSM2403627_8622007189_R05C01",0.607937567263364
"19",6,155000,170952534,-0.0902,"GSM2403627_8622007189_R05C01",0.607937567263364
"20",7,55000,56700000,-0.0432,"GSM2403627_8622007189_R05C01",0.607937567263364
"21",7,56875000,63275000,0.2303,"GSM2403627_8622007189_R05C01",0.607937567263364
"22",7,63375000,159039332,-0.0523,"GSM2403627_8622007189_R05C01",0.607937567263364
"23",8,105000,146277011,-0.0697,"GSM2403627_8622007189_R05C01",0.607937567263364
"24",9,130000,141076716,-0.031,"GSM2403627_8622007189_R05C01",0.607937567263364
"25",1,635684,249195311,-0.0399,"GSM2403629_8622007189_R01C02",0.613108673885456
"26",10,105000,135462374,-0.0335,"GSM2403629_8622007189_R01C02",0.613108673885456
"27",11,130000,134873258,-0.0553,"GSM2403629_8622007189_R01C02",0.613108673885456
"28",12,172870,133770948,-0.0513,"GSM2403629_8622007189_R01C02",0.613108673885456
"29",13,19110000,115079939,-0.0555,"GSM2403629_8622007189_R01C02",0.613108673885456
"30",14,19325000,20025000,0.3054,"GSM2403629_8622007189_R01C02",0.613108673885456
"31",14,20450000,107119770,-0.0457,"GSM2403629_8622007189_R01C02",0.613108673885456
"32",15,20225000,102410696,-0.0235,"GSM2403629_8622007189_R01C02",0.613108673885456
"33",16,105000,90222377,0.0042,"GSM2403629_8622007189_R01C02",0.613108673885456
"34",17,25000,81122605,-0.0462,"GSM2403629_8622007189_R01C02",0.613108673885456
"35",18,80000,77983624,-0.0574,"GSM2403629_8622007189_R01C02",0.613108673885456
"36",19,180000,59084492,-0.0092,"GSM2403629_8622007189_R01C02",0.613108673885456
"37",2,130000,243026238,-0.0619,"GSM2403629_8622007189_R01C02",0.613108673885456
"38",20,155000,62907760,-0.0456,"GSM2403629_8622007189_R01C02",0.613108673885456
"39",21,10848948,48084948,0.0041,"GSM2403629_8622007189_R01C02",0.613108673885456
"40",22,16373925,51222283,0.0157,"GSM2403629_8622007189_R01C02",0.613108673885456
"41",3,155000,197831215,-0.0813,"GSM2403629_8622007189_R01C02",0.613108673885456
"42",4,55000,190972138,-0.0815,"GSM2403629_8622007189_R01C02",0.613108673885456
"43",5,55000,180777630,-0.0695,"GSM2403629_8622007189_R01C02",0.613108673885456
"44",6,155000,170952534,-0.0738,"GSM2403629_8622007189_R01C02",0.613108673885456
"45",7,55000,57600000,-0.0342,"GSM2403629_8622007189_R01C02",0.613108673885456
"46",7,57725000,63275000,0.2868,"GSM2403629_8622007189_R01C02",0.613108673885456
"47",7,63375000,159039332,-0.0327,"GSM2403629_8622007189_R01C02",0.613108673885456
"48",8,105000,146277011,-0.0578,"GSM2403629_8622007189_R01C02",0.613108673885456
"49",9,130000,141076716,-0.0173,"GSM2403629_8622007189_R01C02",0.613108673885456
"50",1,635684,249195311,-0.1321,"GSM2403632_8622007189_R06C02",0.834573966071315
"51",10,105000,135462374,-0.0945,"GSM2403632_8622007189_R06C02",0.834573966071315
"52",11,130000,134873258,-0.1501,"GSM2403632_8622007189_R06C02",0.834573966071315
"53",12,172870,133770948,-0.1209,"GSM2403632_8622007189_R06C02",0.834573966071315
"54",13,19110000,115079939,-0.0882,"GSM2403632_8622007189_R06C02",0.834573966071315
"55",14,19325000,20025000,0.402,"GSM2403632_8622007189_R06C02",0.834573966071315
"56",14,20450000,107119770,-0.1419,"GSM2403632_8622007189_R06C02",0.834573966071315
"57",15,20225000,102410696,-0.096,"GSM2403632_8622007189_R06C02",0.834573966071315
"58",16,105000,31825000,-0.0116,"GSM2403632_8622007189_R06C02",0.834573966071315
"59",16,32075000,33986575,0.5219,"GSM2403632_8622007189_R06C02",0.834573966071315
"60",16,34286575,90222377,-0.0376,"GSM2403632_8622007189_R06C02",0.834573966071315
"61",17,25000,81122605,-0.0648,"GSM2403632_8622007189_R06C02",0.834573966071315
"62",18,80000,77983624,-0.0543,"GSM2403632_8622007189_R06C02",0.834573966071315
"63",19,180000,59084492,-0.0238,"GSM2403632_8622007189_R06C02",0.834573966071315
"64",2,130000,243026238,-0.1271,"GSM2403632_8622007189_R06C02",0.834573966071315
"65",20,155000,62907760,-0.0776,"GSM2403632_8622007189_R06C02",0.834573966071315
"66",21,10848948,15475000,0.3611,"GSM2403632_8622007189_R06C02",0.834573966071315
"67",21,15650000,48084948,-0.0313,"GSM2403632_8622007189_R06C02",0.834573966071315
"68",22,16373925,51222283,-0.0245,"GSM2403632_8622007189_R06C02",0.834573966071315
"69",3,155000,197831215,-0.1683,"GSM2403632_8622007189_R06C02",0.834573966071315
