"chromosome","start","end","segmean","sample","noise"
"1",1,635684,1.8e+07,-0.1351,"GSM2403714_9007225026_R01C01",0.696616077974121
"2",1,18225000,19175000,-0.5606,"GSM2403714_9007225026_R01C01",0.696616077974121
"3",1,19225000,249195311,0.0037,"GSM2403714_9007225026_R01C01",0.696616077974121
"4",10,105000,135462374,-0.0377,"GSM2403714_9007225026_R01C01",0.696616077974121
"5",11,130000,69475000,-0.0485,"GSM2403714_9007225026_R01C01",0.696616077974121
"6",11,69525000,69837348,-0.6796,"GSM2403714_9007225026_R01C01",0.696616077974121
"7",11,69925000,134873258,0.0146,"GSM2403714_9007225026_R01C01",0.696616077974121
"8",12,172870,133770948,-0.008,"GSM2403714_9007225026_R01C01",0.696616077974121
"9",13,19110000,115079939,0.0507,"GSM2403714_9007225026_R01C01",0.696616077974121
"10",14,19325000,107119770,-0.0488,"GSM2403714_9007225026_R01C01",0.696616077974121
"11",15,20225000,102410696,-0.0318,"GSM2403714_9007225026_R01C01",0.696616077974121
"12",16,105000,90222377,-0.0657,"GSM2403714_9007225026_R01C01",0.696616077974121
"13",17,25000,81122605,-0.1488,"GSM2403714_9007225026_R01C01",0.696616077974121
"14",18,80000,77983624,-0.1598,"GSM2403714_9007225026_R01C01",0.696616077974121
"15",19,180000,59084492,-0.1311,"GSM2403714_9007225026_R01C01",0.696616077974121
"16",2,130000,243026238,-0.0293,"GSM2403714_9007225026_R01C01",0.696616077974121
"17",20,155000,62907760,-0.078,"GSM2403714_9007225026_R01C01",0.696616077974121
"18",21,10848948,48084948,-0.0521,"GSM2403714_9007225026_R01C01",0.696616077974121
"19",22,16373925,51222283,-0.1118,"GSM2403714_9007225026_R01C01",0.696616077974121
"20",3,155000,197831215,0.0253,"GSM2403714_9007225026_R01C01",0.696616077974121
"21",4,55000,190972138,-0.0774,"GSM2403714_9007225026_R01C01",0.696616077974121
"22",5,55000,180777630,-0.0227,"GSM2403714_9007225026_R01C01",0.696616077974121
"23",6,155000,170952534,0.0256,"GSM2403714_9007225026_R01C01",0.696616077974121
"24",7,55000,159039332,-0.0122,"GSM2403714_9007225026_R01C01",0.696616077974121
"25",8,105000,146277011,-0.0579,"GSM2403714_9007225026_R01C01",0.696616077974121
"26",9,130000,141076716,-0.059,"GSM2403714_9007225026_R01C01",0.696616077974121
"27",1,635684,1.8e+07,-0.0759,"GSM2403715_9007225017_R05C01",0.634929936204028
"28",1,18225000,19100000,-0.4929,"GSM2403715_9007225017_R05C01",0.634929936204028
"29",1,19175000,249195311,-0.0033,"GSM2403715_9007225017_R05C01",0.634929936204028
"30",10,105000,1.33e+08,-0.017,"GSM2403715_9007225017_R05C01",0.634929936204028
"31",10,133075000,133638764,-0.4874,"GSM2403715_9007225017_R05C01",0.634929936204028
"32",10,133738764,135462374,-0.159,"GSM2403715_9007225017_R05C01",0.634929936204028
"33",11,130000,134873258,-0.0166,"GSM2403715_9007225017_R05C01",0.634929936204028
"34",12,172870,113850000,0.0131,"GSM2403715_9007225017_R05C01",0.634929936204028
"35",12,113925000,1.15e+08,-0.4071,"GSM2403715_9007225017_R05C01",0.634929936204028
"36",12,115125000,133770948,-0.0829,"GSM2403715_9007225017_R05C01",0.634929936204028
"37",13,19110000,115079939,0.0241,"GSM2403715_9007225017_R05C01",0.634929936204028
"38",14,19325000,107119770,-0.052,"GSM2403715_9007225017_R05C01",0.634929936204028
"39",15,20225000,102410696,-0.026,"GSM2403715_9007225017_R05C01",0.634929936204028
"40",16,105000,90222377,-0.0363,"GSM2403715_9007225017_R05C01",0.634929936204028
"41",17,25000,81122605,-0.1145,"GSM2403715_9007225017_R05C01",0.634929936204028
"42",18,80000,77983624,-0.1524,"GSM2403715_9007225017_R05C01",0.634929936204028
"43",19,180000,59084492,-0.1177,"GSM2403715_9007225017_R05C01",0.634929936204028
"44",2,130000,243026238,-0.024,"GSM2403715_9007225017_R05C01",0.634929936204028
"45",20,155000,62907760,-0.0774,"GSM2403715_9007225017_R05C01",0.634929936204028
"46",21,10848948,48084948,-0.04,"GSM2403715_9007225017_R05C01",0.634929936204028
"47",22,16373925,51222283,-0.0958,"GSM2403715_9007225017_R05C01",0.634929936204028
"48",3,155000,197831215,0.0184,"GSM2403715_9007225017_R05C01",0.634929936204028
"49",4,55000,190972138,-0.0614,"GSM2403715_9007225017_R05C01",0.634929936204028
"50",5,55000,180777630,-0.0191,"GSM2403715_9007225017_R05C01",0.634929936204028
"51",6,155000,170952534,0.0176,"GSM2403715_9007225017_R05C01",0.634929936204028
"52",7,55000,159039332,-0.0112,"GSM2403715_9007225017_R05C01",0.634929936204028
"53",8,105000,146277011,-0.0544,"GSM2403715_9007225017_R05C01",0.634929936204028
"54",9,130000,141076716,-0.04,"GSM2403715_9007225017_R05C01",0.634929936204028
"55",1,635684,249195311,-0.038,"GSM2403787_9296930094_R05C02",0.596945609920407
"56",10,105000,135462374,-0.0107,"GSM2403787_9296930094_R05C02",0.596945609920407
"57",11,130000,134873258,-0.0141,"GSM2403787_9296930094_R05C02",0.596945609920407
"58",12,172870,133770948,-0.0283,"GSM2403787_9296930094_R05C02",0.596945609920407
"59",13,19110000,115079939,0.0182,"GSM2403787_9296930094_R05C02",0.596945609920407
"60",14,19325000,20450000,0.3305,"GSM2403787_9296930094_R05C02",0.596945609920407
"61",14,20800000,107119770,-0.0604,"GSM2403787_9296930094_R05C02",0.596945609920407
"62",15,20225000,102410696,-0.0403,"GSM2403787_9296930094_R05C02",0.596945609920407
"63",16,105000,90222377,-0.0022,"GSM2403787_9296930094_R05C02",0.596945609920407
"64",17,25000,81122605,-0.1193,"GSM2403787_9296930094_R05C02",0.596945609920407
"65",18,80000,77983624,-0.1636,"GSM2403787_9296930094_R05C02",0.596945609920407
"66",19,180000,59084492,-0.097,"GSM2403787_9296930094_R05C02",0.596945609920407
"67",2,130000,243026238,-0.0405,"GSM2403787_9296930094_R05C02",0.596945609920407
"68",20,155000,62907760,-0.0788,"GSM2403787_9296930094_R05C02",0.596945609920407
"69",21,10848948,48084948,-0.0192,"GSM2403787_9296930094_R05C02",0.596945609920407
"70",22,16373925,51222283,-0.0817,"GSM2403787_9296930094_R05C02",0.596945609920407
"71",3,155000,197831215,-0.0207,"GSM2403787_9296930094_R05C02",0.596945609920407
"72",4,55000,190972138,-0.079,"GSM2403787_9296930094_R05C02",0.596945609920407
"73",5,55000,180777630,-0.0276,"GSM2403787_9296930094_R05C02",0.596945609920407
"74",6,155000,170952534,-0.0194,"GSM2403787_9296930094_R05C02",0.596945609920407
"75",7,55000,159039332,0.0099,"GSM2403787_9296930094_R05C02",0.596945609920407
"76",8,105000,146277011,-0.0415,"GSM2403787_9296930094_R05C02",0.596945609920407
"77",9,130000,141076716,-0.0288,"GSM2403787_9296930094_R05C02",0.596945609920407
"78",1,635684,249195311,-0.0094,"GSM2403788_9296930094_R04C02",0.526949632555183
"79",10,105000,135462374,0.0084,"GSM2403788_9296930094_R04C02",0.526949632555183
"80",11,130000,134873258,0.002,"GSM2403788_9296930094_R04C02",0.526949632555183
"81",12,172870,133770948,-0.0074,"GSM2403788_9296930094_R04C02",0.526949632555183
"82",13,19110000,115079939,0.0422,"GSM2403788_9296930094_R04C02",0.526949632555183
"83",14,19325000,107119770,-0.025,"GSM2403788_9296930094_R04C02",0.526949632555183
"84",15,20225000,102410696,-0.013,"GSM2403788_9296930094_R04C02",0.526949632555183
"85",16,105000,90222377,-0.009,"GSM2403788_9296930094_R04C02",0.526949632555183
"86",17,25000,81122605,-0.1121,"GSM2403788_9296930094_R04C02",0.526949632555183
