"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0283,"GSM2403504_8622007069_R01C01"
"2",10,105000,135462374,0.107,"GSM2403504_8622007069_R01C01"
"3",11,130000,134873258,0.0835,"GSM2403504_8622007069_R01C01"
"4",12,172870,133770948,0.0559,"GSM2403504_8622007069_R01C01"
"5",13,19110000,115079939,0.2427,"GSM2403504_8622007069_R01C01"
"6",14,19325000,107119770,-0.0041,"GSM2403504_8622007069_R01C01"
"7",15,20225000,102410696,0.0231,"GSM2403504_8622007069_R01C01"
"8",16,105000,90222377,0.142,"GSM2403504_8622007069_R01C01"
"9",17,25000,81122605,-0.0334,"GSM2403504_8622007069_R01C01"
"10",18,80000,77983624,-0.0165,"GSM2403504_8622007069_R01C01"
"11",19,180000,59084492,-0.0054,"GSM2403504_8622007069_R01C01"
"12",2,130000,243026238,0.0743,"GSM2403504_8622007069_R01C01"
"13",20,155000,62907760,0.0347,"GSM2403504_8622007069_R01C01"
"14",21,10848948,48084948,0.1261,"GSM2403504_8622007069_R01C01"
"15",22,16373925,51222283,-0.0296,"GSM2403504_8622007069_R01C01"
"16",3,155000,197831215,0.112,"GSM2403504_8622007069_R01C01"
"17",4,55000,190972138,0.0538,"GSM2403504_8622007069_R01C01"
"18",5,55000,180777630,0.0851,"GSM2403504_8622007069_R01C01"
"19",6,155000,170952534,0.0957,"GSM2403504_8622007069_R01C01"
"20",7,55000,159039332,0.1578,"GSM2403504_8622007069_R01C01"
"21",8,105000,146277011,0.0942,"GSM2403504_8622007069_R01C01"
"22",9,130000,141076716,0.0701,"GSM2403504_8622007069_R01C01"
"23",1,635684,249195311,0.0215,"GSM2403505_8622007069_R06C01"
"24",10,105000,135462374,0.0692,"GSM2403505_8622007069_R06C01"
"25",11,130000,134873258,0.0384,"GSM2403505_8622007069_R06C01"
"26",12,172870,133770948,0.0408,"GSM2403505_8622007069_R06C01"
"27",13,19110000,115079939,0.159,"GSM2403505_8622007069_R06C01"
"28",14,19325000,2.1e+07,0.3154,"GSM2403505_8622007069_R06C01"
"29",14,21075000,107119770,0.0106,"GSM2403505_8622007069_R06C01"
"30",15,20225000,102410696,0.0246,"GSM2403505_8622007069_R06C01"
"31",16,105000,90222377,0.0915,"GSM2403505_8622007069_R06C01"
"32",17,25000,81122605,0.0088,"GSM2403505_8622007069_R06C01"
"33",18,80000,77983624,0.0667,"GSM2403505_8622007069_R06C01"
"34",19,180000,59084492,0.0262,"GSM2403505_8622007069_R06C01"
"35",2,130000,243026238,0.0548,"GSM2403505_8622007069_R06C01"
"36",20,155000,62907760,0.0391,"GSM2403505_8622007069_R06C01"
"37",21,10848948,48084948,0.1209,"GSM2403505_8622007069_R06C01"
"38",22,16373925,51222283,0.0289,"GSM2403505_8622007069_R06C01"
"39",3,155000,197831215,0.0649,"GSM2403505_8622007069_R06C01"
