"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0323,"GSM2404306_9407201030_R06C02"
"2",10,105000,135462374,0.0245,"GSM2404306_9407201030_R06C02"
"3",11,130000,134873258,-0.0041,"GSM2404306_9407201030_R06C02"
"4",12,172870,133770948,-0.0265,"GSM2404306_9407201030_R06C02"
"5",13,19110000,115079939,-0.0399,"GSM2404306_9407201030_R06C02"
"6",14,19325000,107119770,0.0262,"GSM2404306_9407201030_R06C02"
"7",15,20225000,102410696,0.0215,"GSM2404306_9407201030_R06C02"
"8",16,105000,90222377,0.0324,"GSM2404306_9407201030_R06C02"
"9",17,25000,81122605,-0.02,"GSM2404306_9407201030_R06C02"
"10",18,80000,77983624,-0.0356,"GSM2404306_9407201030_R06C02"
"11",19,180000,59084492,0.0065,"GSM2404306_9407201030_R06C02"
"12",2,130000,243026238,-0.0145,"GSM2404306_9407201030_R06C02"
"13",20,155000,62907760,-0.0214,"GSM2404306_9407201030_R06C02"
"14",21,10848948,48084948,0.031,"GSM2404306_9407201030_R06C02"
"15",22,16373925,51222283,0.0373,"GSM2404306_9407201030_R06C02"
"16",3,155000,197831215,-0.0218,"GSM2404306_9407201030_R06C02"
"17",4,55000,190972138,-0.0394,"GSM2404306_9407201030_R06C02"
"18",5,55000,180777630,-0.0026,"GSM2404306_9407201030_R06C02"
"19",6,155000,170952534,-0.0255,"GSM2404306_9407201030_R06C02"
"20",7,55000,159039332,0.0305,"GSM2404306_9407201030_R06C02"
"21",8,105000,146277011,-7e-04,"GSM2404306_9407201030_R06C02"
"22",9,130000,141076716,0.0251,"GSM2404306_9407201030_R06C02"
"23",1,635684,249195311,0.03,"GSM2404367_9407210090_R02C02"
"24",10,105000,135462374,0.04,"GSM2404367_9407210090_R02C02"
"25",11,130000,134873258,0.0288,"GSM2404367_9407210090_R02C02"
"26",12,172870,133770948,0.0357,"GSM2404367_9407210090_R02C02"
"27",13,19110000,115079939,0.0852,"GSM2404367_9407210090_R02C02"
"28",14,19325000,107119770,-0.0063,"GSM2404367_9407210090_R02C02"
"29",15,20225000,102410696,0.0134,"GSM2404367_9407210090_R02C02"
"30",16,105000,90222377,0.0671,"GSM2404367_9407210090_R02C02"
"31",17,25000,81122605,-0.0661,"GSM2404367_9407210090_R02C02"
"32",18,80000,77983624,-0.1224,"GSM2404367_9407210090_R02C02"
"33",19,180000,59084492,-0.021,"GSM2404367_9407210090_R02C02"
"34",2,130000,243026238,0.008,"GSM2404367_9407210090_R02C02"
"35",20,155000,62907760,-0.0217,"GSM2404367_9407210090_R02C02"
"36",21,10848948,48084948,0.0224,"GSM2404367_9407210090_R02C02"
"37",22,16373925,51222283,-0.0238,"GSM2404367_9407210090_R02C02"
"38",3,155000,197831215,0.0296,"GSM2404367_9407210090_R02C02"
"39",4,55000,190972138,-0.0712,"GSM2404367_9407210090_R02C02"
"40",5,55000,180777630,0.0293,"GSM2404367_9407210090_R02C02"
"41",6,155000,170952534,0.0323,"GSM2404367_9407210090_R02C02"
"42",7,55000,159039332,0.0798,"GSM2404367_9407210090_R02C02"
"43",8,105000,146277011,0.0161,"GSM2404367_9407210090_R02C02"
"44",9,130000,141076716,0.0335,"GSM2404367_9407210090_R02C02"
"45",1,635684,249195311,0.0312,"GSM2404733_9741950101_R05C01"
"46",10,105000,135462374,0.0342,"GSM2404733_9741950101_R05C01"
"47",11,130000,134873258,-0.0024,"GSM2404733_9741950101_R05C01"
"48",12,172870,133770948,0.0043,"GSM2404733_9741950101_R05C01"
"49",13,19110000,115079939,0.0191,"GSM2404733_9741950101_R05C01"
"50",14,19325000,107119770,0.0242,"GSM2404733_9741950101_R05C01"
"51",15,20225000,102410696,0.0347,"GSM2404733_9741950101_R05C01"
"52",16,105000,90222377,0.0398,"GSM2404733_9741950101_R05C01"
"53",17,25000,81122605,-0.0282,"GSM2404733_9741950101_R05C01"
"54",18,80000,77983624,-0.0498,"GSM2404733_9741950101_R05C01"
"55",19,180000,59084492,0.0011,"GSM2404733_9741950101_R05C01"
"56",2,130000,243026238,0.0168,"GSM2404733_9741950101_R05C01"
"57",20,155000,62907760,-0.0195,"GSM2404733_9741950101_R05C01"
"58",21,10848948,48084948,0.0351,"GSM2404733_9741950101_R05C01"
"59",22,16373925,51222283,0.0237,"GSM2404733_9741950101_R05C01"
"60",3,155000,197831215,0.0039,"GSM2404733_9741950101_R05C01"
"61",4,55000,190972138,-0.0385,"GSM2404733_9741950101_R05C01"
