"chrom","start.pos","end.pos","n.probes","GSM2404029_9340996032_R01C01","GSM2404556_9553932098_R03C02","GSM2404616_9741950021_R06C01","GSM2404711_9721366135_R03C01","GSM2405220_9980102125_R04C01","GSM2405308_3999875057_R01C02","GSM2405312_10003886252_R03C02","GSM2405435_3999834121_R04C01","GSM2405629_3998579150_R01C02","GSM2405630_3998523077_R05C01","GSM2940830_200325530023_R06C01","GSM2941057_3998909050_R04C02","GSM2941090_3998909089_R02C01","GSM2941249_3999834067_R01C01","GSM2941256_3999834068_R02C01"
"1",1,521369,120300001,897,-0.006,0.003,0.009,-0.011,0.043,0.038,0.07,0.075,0.136,0.051,-0.02,0.037,0.045,0.052,-0.293
"2",1,120400001,249150001,696,0.085,-0.014,-0.024,-0.034,0.003,0.027,0.036,0.037,-0.036,0.015,-0.018,0.033,0.015,0.029,0.302
"3",2,10001,242950001,1282,0.072,-0.011,-0.018,-0.049,-0.053,0.002,-0.008,-0.004,-0.098,-0.003,-0.004,0.005,-0.028,-0.002,0.092
"4",3,60001,197700001,978,0.036,-0.032,-0.054,0.011,-0.054,-0.006,-0.004,-0.027,-0.197,-0.02,-0.022,0.01,-0.03,0.004,0.088
"5",4,10001,190900001,742,-0.027,-0.021,-0.034,-0.101,-0.117,-0.048,-0.073,-0.004,-0.107,-0.026,-0.026,-0.048,-0.083,-0.071,0.021
"6",5,10001,180650001,849,0.092,-0.021,-0.033,0.026,-0.048,0.007,0.009,0.001,-0.122,-0.006,-0.01,0.013,-0.014,0.005,0.088
"7",6,60001,170850001,988,0.072,-0.02,-0.04,0.015,-0.073,0.003,-0.013,-0.025,-0.201,-0.016,0.001,0.012,-0.037,-0.013,-0.328
"8",7,10001,158950001,952,0.137,0.006,-0.004,0.053,-0.028,0.046,0.031,-0.042,-0.323,-0.012,0.066,0.053,0.326,0.034,0.12
"9",8,10001,146250001,726,0.065,-0.006,-0.005,0.103,0.137,0.015,0.003,0.006,-0.067,0.009,0.015,0.019,-0.016,0.009,0.098
"10",9,10001,141000001,383,0.012,0.001,-0.006,-0.026,0.115,0.016,0.048,0.006,0.019,0.006,0.003,0.027,0.008,0.042,0.075
"11",10,60001,135400001,840,0.061,0.021,0.011,-0.027,-0.008,0.035,0.046,0.01,-0.051,0.008,0.049,0.041,0.012,0.029,0.093
"12",11,60001,134800001,914,0.059,-0.027,-0.044,-0.049,0,0.009,0.024,-0.02,-0.065,-0.004,-0.001,0.014,0.002,0.029,0.078
"13",12,145740,133700001,848,0.087,0.001,-0.009,0.036,-0.019,0.018,0.026,0.001,-0.084,-0.002,0.005,0.022,-0.007,0.013,0.086
"14",13,19020001,115050001,431,0.182,-0.018,-0.025,-0.054,-0.127,0.012,-0.027,-0.11,-0.418,-0.064,0.054,0.029,-0.057,0,0.138
"15",14,19000001,106950001,528,0.032,0.001,0.005,0.114,0.012,0.029,0.043,0.065,0.054,0.041,-0.016,0.024,0.013,0.027,0.09
"16",15,20000001,102300001,571,0.062,0.019,0.017,0.121,0.027,0.044,0.062,0.076,0.075,0.05,0.004,0.038,0.019,0.04,0.093
"17",16,60001,90150001,624,0.072,0.036,0.028,0.06,0.031,0.038,0.072,-0.029,0.016,-0.009,0.075,0.041,0.03,0.05,0.068
"18",17,1,81050001,814,-0.112,0.012,0.008,-0.062,-0.001,-0.032,-0.007,0.032,0.191,-0.008,-0.034,-0.043,-0.015,-0.024,0.001
"19",18,10001,77950001,243,-0.108,0.002,0.008,-0.086,-0.085,-0.068,-0.071,0.042,0.081,-0.018,-0.043,-0.073,0.218,-0.092,-0.014
"20",19,60001,59050001,711,-0.037,0.028,0.035,0.032,0.133,-0.002,0.037,-0.03,0.037,-0.017,0.011,0.001,-0.043,0.007,0.008
"21",20,60001,62850001,359,0.011,-0.026,-0.026,0.074,0.008,-0.017,0.014,-0.038,-0.036,-0.022,-0.039,-0.024,0.017,0.005,0.053
"22",21,10697897,48050001,157,0.038,0.04,0.024,0.04,0.066,0.018,0.025,0.004,-0.007,0.007,0.066,0.016,-0.012,0.013,0.04
"23",22,16050001,51200001,300,-0.298,0.052,0.036,0.072,-0.007,0.038,0.002,0.083,0.25,0.059,0.008,0.024,0.034,0.062,0.042
