"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.0386,"GSM2403659_8963311099_R04C02",0.530049672262386
"2",10,105000,135462374,-0.0401,"GSM2403659_8963311099_R04C02",0.530049672262386
"3",11,130000,134873258,-0.0319,"GSM2403659_8963311099_R04C02",0.530049672262386
"4",12,172870,133770948,0.071,"GSM2403659_8963311099_R04C02",0.530049672262386
"5",13,19110000,115079939,-0.0412,"GSM2403659_8963311099_R04C02",0.530049672262386
"6",14,19325000,107119770,-0.0122,"GSM2403659_8963311099_R04C02",0.530049672262386
"7",15,20225000,102410696,0.0042,"GSM2403659_8963311099_R04C02",0.530049672262386
"8",16,105000,90222377,0.0207,"GSM2403659_8963311099_R04C02",0.530049672262386
"9",17,25000,81122605,-0.0574,"GSM2403659_8963311099_R04C02",0.530049672262386
"10",18,80000,77983624,-0.0908,"GSM2403659_8963311099_R04C02",0.530049672262386
"11",19,180000,59084492,-0.0919,"GSM2403659_8963311099_R04C02",0.530049672262386
"12",2,130000,243026238,-0.0262,"GSM2403659_8963311099_R04C02",0.530049672262386
"13",20,155000,62907760,-0.0755,"GSM2403659_8963311099_R04C02",0.530049672262386
"14",21,10848948,48084948,-0.0745,"GSM2403659_8963311099_R04C02",0.530049672262386
"15",22,16373925,51222283,-0.025,"GSM2403659_8963311099_R04C02",0.530049672262386
"16",3,155000,197831215,-0.0248,"GSM2403659_8963311099_R04C02",0.530049672262386
"17",4,55000,190972138,-0.0635,"GSM2403659_8963311099_R04C02",0.530049672262386
"18",5,55000,180777630,0.0073,"GSM2403659_8963311099_R04C02",0.530049672262386
"19",6,155000,170952534,-0.0445,"GSM2403659_8963311099_R04C02",0.530049672262386
"20",7,55000,159039332,0.054,"GSM2403659_8963311099_R04C02",0.530049672262386
"21",8,105000,146277011,-0.0139,"GSM2403659_8963311099_R04C02",0.530049672262386
"22",9,130000,141076716,0.0083,"GSM2403659_8963311099_R04C02",0.530049672262386
"23",1,635684,249195311,-0.1528,"GSM2404529_9553932010_R01C01",0.896412590082998
"24",10,105000,135462374,-0.0569,"GSM2404529_9553932010_R01C01",0.896412590082998
"25",11,130000,134873258,-0.214,"GSM2404529_9553932010_R01C01",0.896412590082998
"26",12,172870,133770948,-0.0225,"GSM2404529_9553932010_R01C01",0.896412590082998
"27",13,19110000,115079939,-0.0161,"GSM2404529_9553932010_R01C01",0.896412590082998
"28",14,19325000,107119770,-0.1648,"GSM2404529_9553932010_R01C01",0.896412590082998
"29",15,20225000,102410696,-0.1178,"GSM2404529_9553932010_R01C01",0.896412590082998
"30",16,105000,90222377,-0.0316,"GSM2404529_9553932010_R01C01",0.896412590082998
"31",17,25000,81122605,-0.0389,"GSM2404529_9553932010_R01C01",0.896412590082998
"32",18,80000,77983624,-0.133,"GSM2404529_9553932010_R01C01",0.896412590082998
"33",19,180000,59084492,-0.1788,"GSM2404529_9553932010_R01C01",0.896412590082998
"34",2,130000,243026238,-0.1022,"GSM2404529_9553932010_R01C01",0.896412590082998
"35",20,155000,62907760,-0.1699,"GSM2404529_9553932010_R01C01",0.896412590082998
"36",21,10848948,48084948,-0.069,"GSM2404529_9553932010_R01C01",0.896412590082998
"37",22,16373925,51222283,-0.163,"GSM2404529_9553932010_R01C01",0.896412590082998
"38",3,155000,197831215,-0.1111,"GSM2404529_9553932010_R01C01",0.896412590082998
"39",4,55000,190972138,-0.1764,"GSM2404529_9553932010_R01C01",0.896412590082998
"40",5,55000,180777630,-0.1205,"GSM2404529_9553932010_R01C01",0.896412590082998
"41",6,155000,170952534,-0.145,"GSM2404529_9553932010_R01C01",0.896412590082998
"42",7,55000,159039332,-0.0497,"GSM2404529_9553932010_R01C01",0.896412590082998
"43",8,105000,146277011,-0.181,"GSM2404529_9553932010_R01C01",0.896412590082998
"44",9,130000,19050000,-0.0938,"GSM2404529_9553932010_R01C01",0.896412590082998
"45",9,19250000,22925000,-0.6123,"GSM2404529_9553932010_R01C01",0.896412590082998
"46",9,25425000,141076716,-0.1082,"GSM2404529_9553932010_R01C01",0.896412590082998
"47",1,635684,16825000,-0.3069,"GSM2404607_9741950021_R05C02",0.646158141448823
"48",1,16875000,17325000,-0.0408,"GSM2404607_9741950021_R05C02",0.646158141448823
"49",1,17375000,120350000,-0.4186,"GSM2404607_9741950021_R05C02",0.646158141448823
"50",1,120548578,249195311,-0.0232,"GSM2404607_9741950021_R05C02",0.646158141448823
"51",10,105000,135462374,-0.0353,"GSM2404607_9741950021_R05C02",0.646158141448823
"52",11,130000,134873258,-0.0301,"GSM2404607_9741950021_R05C02",0.646158141448823
"53",12,172870,133770948,-0.0311,"GSM2404607_9741950021_R05C02",0.646158141448823
"54",13,19110000,115079939,-0.2063,"GSM2404607_9741950021_R05C02",0.646158141448823
"55",14,19325000,107119770,-0.0472,"GSM2404607_9741950021_R05C02",0.646158141448823
"56",15,20225000,102410696,-0.0293,"GSM2404607_9741950021_R05C02",0.646158141448823
"57",16,105000,31825000,-0.0104,"GSM2404607_9741950021_R05C02",0.646158141448823
"58",16,32075000,33986575,0.3181,"GSM2404607_9741950021_R05C02",0.646158141448823
