"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0648,"GSM2402868_5911815023_R01C01"
"2",10,105000,51700000,0.0461,"GSM2402868_5911815023_R01C01"
"3",10,51975000,64350000,-0.1935,"GSM2402868_5911815023_R01C01"
"4",10,64575000,135462374,0.0498,"GSM2402868_5911815023_R01C01"
"5",11,130000,134873258,-0.0042,"GSM2402868_5911815023_R01C01"
"6",12,172870,133770948,0.0234,"GSM2402868_5911815023_R01C01"
"7",13,19110000,115079939,-0.076,"GSM2402868_5911815023_R01C01"
"8",14,19325000,107119770,0.0403,"GSM2402868_5911815023_R01C01"
"9",15,20225000,102410696,0.0613,"GSM2402868_5911815023_R01C01"
"10",16,105000,90222377,0.0698,"GSM2402868_5911815023_R01C01"
"11",17,25000,81122605,0.0188,"GSM2402868_5911815023_R01C01"
"12",18,80000,77983624,-0.0528,"GSM2402868_5911815023_R01C01"
"13",19,180000,59084492,0.0648,"GSM2402868_5911815023_R01C01"
"14",2,130000,179325000,-0.0335,"GSM2402868_5911815023_R01C01"
"15",2,179375000,183450000,-0.4811,"GSM2402868_5911815023_R01C01"
"16",2,183625000,243026238,-0.0282,"GSM2402868_5911815023_R01C01"
"17",20,155000,62907760,0.0155,"GSM2402868_5911815023_R01C01"
"18",21,10848948,48084948,0.0324,"GSM2402868_5911815023_R01C01"
"19",22,16373925,51222283,0.0683,"GSM2402868_5911815023_R01C01"
"20",3,155000,187925000,-0.0487,"GSM2402868_5911815023_R01C01"
"21",3,1.88e+08,192300000,-0.2569,"GSM2402868_5911815023_R01C01"
"22",3,192525000,197831215,0.1017,"GSM2402868_5911815023_R01C01"
"23",4,55000,190972138,-0.0989,"GSM2402868_5911815023_R01C01"
"24",5,55000,17940329,0.057,"GSM2402868_5911815023_R01C01"
"25",5,19125000,31350000,-0.333,"GSM2402868_5911815023_R01C01"
"26",5,31525000,180777630,-0.0396,"GSM2402868_5911815023_R01C01"
"27",6,155000,170952534,-0.0321,"GSM2402868_5911815023_R01C01"
"28",7,55000,107725000,-0.0133,"GSM2402868_5911815023_R01C01"
"29",7,107975000,127600000,-0.2883,"GSM2402868_5911815023_R01C01"
"30",7,127675000,159039332,0.0657,"GSM2402868_5911815023_R01C01"
"31",8,105000,146277011,-0.0427,"GSM2402868_5911815023_R01C01"
"32",9,130000,141076716,0.0286,"GSM2402868_5911815023_R01C01"
"33",1,635684,249195311,0.0459,"GSM2402869_5911815023_R02C01"
"34",10,105000,135462374,0.0277,"GSM2402869_5911815023_R02C01"
"35",11,130000,134873258,0.0276,"GSM2402869_5911815023_R02C01"
"36",12,172870,133770948,0.0276,"GSM2402869_5911815023_R02C01"
"37",13,19110000,115079939,-0.0115,"GSM2402869_5911815023_R02C01"
"38",14,19325000,107119770,0.0285,"GSM2402869_5911815023_R02C01"
"39",15,20225000,102410696,0.0369,"GSM2402869_5911815023_R02C01"
"40",16,105000,90222377,0.0574,"GSM2402869_5911815023_R02C01"
"41",17,25000,81122605,-0.0234,"GSM2402869_5911815023_R02C01"
"42",18,80000,77983624,-0.0954,"GSM2402869_5911815023_R02C01"
"43",19,180000,59084492,0.035,"GSM2402869_5911815023_R02C01"
"44",2,130000,243026238,-0.0093,"GSM2402869_5911815023_R02C01"
"45",20,155000,62907760,0.0199,"GSM2402869_5911815023_R02C01"
"46",21,10848948,48084948,0.0059,"GSM2402869_5911815023_R02C01"
"47",22,16373925,51222283,0.0476,"GSM2402869_5911815023_R02C01"
"48",3,155000,197831215,-0.0018,"GSM2402869_5911815023_R02C01"
"49",4,55000,190972138,-0.0674,"GSM2402869_5911815023_R02C01"
"50",5,55000,180777630,-0.0026,"GSM2402869_5911815023_R02C01"
"51",6,155000,375000,0.1999,"GSM2402869_5911815023_R02C01"
"52",6,425000,170952534,-0.0073,"GSM2402869_5911815023_R02C01"
"53",7,55000,159039332,0.0355,"GSM2402869_5911815023_R02C01"
"54",8,105000,146277011,-0.0037,"GSM2402869_5911815023_R02C01"
"55",9,130000,141076716,0.0247,"GSM2402869_5911815023_R02C01"
"56",1,635684,249195311,0.0556,"GSM2402872_5911815023_R04C01"
