"chromosome","start","end","segmean","sample"
"1",1,635684,775000,0.6261,"GSM2403507_8622007067_R03C02"
"2",1,825000,249195311,-0.1139,"GSM2403507_8622007067_R03C02"
"3",10,105000,135462374,0.135,"GSM2403507_8622007067_R03C02"
"4",11,130000,134873258,0.1168,"GSM2403507_8622007067_R03C02"
"5",12,172870,133770948,0.1056,"GSM2403507_8622007067_R03C02"
"6",13,19110000,115079939,0.2832,"GSM2403507_8622007067_R03C02"
"7",14,19325000,107119770,0.0536,"GSM2403507_8622007067_R03C02"
"8",15,20225000,102410696,0.0809,"GSM2403507_8622007067_R03C02"
"9",16,105000,90222377,0.1547,"GSM2403507_8622007067_R03C02"
"10",17,25000,81122605,-0.0239,"GSM2403507_8622007067_R03C02"
"11",18,80000,77983624,-0.0043,"GSM2403507_8622007067_R03C02"
"12",19,180000,59084492,-0.1799,"GSM2403507_8622007067_R03C02"
"13",2,130000,243026238,0.1046,"GSM2403507_8622007067_R03C02"
"14",20,155000,62907760,0.0342,"GSM2403507_8622007067_R03C02"
"15",21,10848948,48084948,0.1473,"GSM2403507_8622007067_R03C02"
"16",22,16373925,51222283,0.0048,"GSM2403507_8622007067_R03C02"
"17",3,155000,197831215,0.1446,"GSM2403507_8622007067_R03C02"
"18",4,55000,190972138,0.08,"GSM2403507_8622007067_R03C02"
"19",5,55000,180777630,0.1232,"GSM2403507_8622007067_R03C02"
"20",6,155000,170952534,0.1311,"GSM2403507_8622007067_R03C02"
"21",7,55000,159039332,0.2004,"GSM2403507_8622007067_R03C02"
"22",8,105000,146277011,0.1478,"GSM2403507_8622007067_R03C02"
"23",9,130000,141076716,0.0926,"GSM2403507_8622007067_R03C02"
"24",1,635684,120841926,-0.3468,"GSM2403570_8622007084_R01C01"
"25",1,121193348,249195311,0.0071,"GSM2403570_8622007084_R01C01"
"26",10,105000,135462374,0.0519,"GSM2403570_8622007084_R01C01"
"27",11,130000,134873258,-0.0157,"GSM2403570_8622007084_R01C01"
"28",12,172870,133770948,0.0196,"GSM2403570_8622007084_R01C01"
"29",13,19110000,115079939,0.0072,"GSM2403570_8622007084_R01C01"
"30",14,19325000,107119770,0.0412,"GSM2403570_8622007084_R01C01"
"31",15,20225000,102410696,0.0629,"GSM2403570_8622007084_R01C01"
"32",16,105000,90222377,0.0447,"GSM2403570_8622007084_R01C01"
"33",17,25000,81122605,0.0277,"GSM2403570_8622007084_R01C01"
"34",18,80000,77983624,0.0596,"GSM2403570_8622007084_R01C01"
"35",19,180000,28015891,0.0578,"GSM2403570_8622007084_R01C01"
"36",19,28775000,59084492,-0.3674,"GSM2403570_8622007084_R01C01"
"37",2,130000,243026238,0.0071,"GSM2403570_8622007084_R01C01"
"38",20,155000,62907760,-0.0336,"GSM2403570_8622007084_R01C01"
"39",21,10848948,48084948,0.0779,"GSM2403570_8622007084_R01C01"
"40",22,16373925,51222283,0.0329,"GSM2403570_8622007084_R01C01"
"41",3,155000,197831215,-0.0078,"GSM2403570_8622007084_R01C01"
"42",4,55000,190972138,0.0389,"GSM2403570_8622007084_R01C01"
"43",5,55000,180777630,0.0106,"GSM2403570_8622007084_R01C01"
"44",6,155000,170952534,0.0089,"GSM2403570_8622007084_R01C01"
"45",7,55000,159039332,0.2371,"GSM2403570_8622007084_R01C01"
"46",8,105000,146277011,0.0286,"GSM2403570_8622007084_R01C01"
"47",9,130000,141076716,0.0245,"GSM2403570_8622007084_R01C01"
"48",1,635684,775000,0.1122,"GSM2403571_8622007084_R01C02"
"49",1,825000,120841926,-0.258,"GSM2403571_8622007084_R01C02"
"50",1,121193348,249195311,0.0348,"GSM2403571_8622007084_R01C02"
"51",10,105000,135462374,0.0768,"GSM2403571_8622007084_R01C02"
"52",11,130000,134873258,0.0167,"GSM2403571_8622007084_R01C02"
"53",12,172870,133770948,0.0421,"GSM2403571_8622007084_R01C02"
"54",13,19110000,115079939,-0.1618,"GSM2403571_8622007084_R01C02"
"55",14,19325000,107119770,0.0685,"GSM2403571_8622007084_R01C02"
"56",15,20225000,102410696,0.086,"GSM2403571_8622007084_R01C02"
"57",16,105000,90222377,0.0503,"GSM2403571_8622007084_R01C02"
"58",17,25000,81122605,0.026,"GSM2403571_8622007084_R01C02"
"59",18,80000,77983624,0.0157,"GSM2403571_8622007084_R01C02"
"60",19,180000,28015891,0.0468,"GSM2403571_8622007084_R01C02"
"61",19,28775000,59084492,-0.2892,"GSM2403571_8622007084_R01C02"
"62",2,130000,243026238,0.0277,"GSM2403571_8622007084_R01C02"
"63",20,155000,62907760,-0.0145,"GSM2403571_8622007084_R01C02"
"64",21,10848948,48084948,0.0803,"GSM2403571_8622007084_R01C02"
"65",22,16373925,51222283,0.073,"GSM2403571_8622007084_R01C02"
"66",3,155000,197831215,0.0519,"GSM2403571_8622007084_R01C02"
"67",4,55000,190972138,-0.2187,"GSM2403571_8622007084_R01C02"
"68",5,55000,180777630,0.0375,"GSM2403571_8622007084_R01C02"
"69",6,155000,170952534,0.0116,"GSM2403571_8622007084_R01C02"
"70",7,55000,159039332,0.0619,"GSM2403571_8622007084_R01C02"
