"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.1252,"GSM2403586_8622007091_R01C01"
"2",10,105000,135462374,0.105,"GSM2403586_8622007091_R01C01"
"3",11,130000,134873258,-0.0047,"GSM2403586_8622007091_R01C01"
"4",12,172870,133770948,-0.0324,"GSM2403586_8622007091_R01C01"
"5",13,19110000,115079939,0.2044,"GSM2403586_8622007091_R01C01"
"6",14,19325000,101675000,-0.0548,"GSM2403586_8622007091_R01C01"
"7",14,101850000,102475000,1.8373,"GSM2403586_8622007091_R01C01"
"8",14,102525000,105175000,0.1437,"GSM2403586_8622007091_R01C01"
"9",14,105225000,106575000,1.831,"GSM2403586_8622007091_R01C01"
"10",14,106800000,107119770,0.3278,"GSM2403586_8622007091_R01C01"
"11",15,20225000,102410696,-0.0312,"GSM2403586_8622007091_R01C01"
"12",16,105000,90222377,0.2087,"GSM2403586_8622007091_R01C01"
"13",17,25000,81122605,-0.0075,"GSM2403586_8622007091_R01C01"
"14",18,80000,77983624,-0.0823,"GSM2403586_8622007091_R01C01"
"15",19,180000,59084492,-0.0922,"GSM2403586_8622007091_R01C01"
"16",2,130000,243026238,0.0412,"GSM2403586_8622007091_R01C01"
"17",20,155000,62907760,0.0152,"GSM2403586_8622007091_R01C01"
"18",21,10848948,48084948,0.1104,"GSM2403586_8622007091_R01C01"
"19",22,16373925,51222283,-0.0299,"GSM2403586_8622007091_R01C01"
"20",3,155000,197831215,0.1184,"GSM2403586_8622007091_R01C01"
"21",4,55000,190972138,-0.0076,"GSM2403586_8622007091_R01C01"
"22",5,55000,180777630,-0.0826,"GSM2403586_8622007091_R01C01"
"23",6,155000,170952534,0.0949,"GSM2403586_8622007091_R01C01"
"24",7,55000,159039332,0.1914,"GSM2403586_8622007091_R01C01"
"25",8,105000,146277011,0.2718,"GSM2403586_8622007091_R01C01"
"26",9,130000,141076716,0.0855,"GSM2403586_8622007091_R01C01"
"27",1,635684,249195311,0.0054,"GSM2403587_8622007091_R02C02"
"28",10,105000,135462374,0.0422,"GSM2403587_8622007091_R02C02"
"29",11,130000,134873258,0.0259,"GSM2403587_8622007091_R02C02"
"30",12,172870,133770948,0.0147,"GSM2403587_8622007091_R02C02"
"31",13,19110000,115079939,0.1271,"GSM2403587_8622007091_R02C02"
"32",14,19325000,20025000,0.4612,"GSM2403587_8622007091_R02C02"
"33",14,20450000,107119770,0.0078,"GSM2403587_8622007091_R02C02"
"34",15,20225000,102410696,0.0254,"GSM2403587_8622007091_R02C02"
"35",16,105000,90222377,0.0702,"GSM2403587_8622007091_R02C02"
"36",17,25000,81122605,0.0282,"GSM2403587_8622007091_R02C02"
"37",18,80000,77983624,0.0106,"GSM2403587_8622007091_R02C02"
"38",19,180000,59084492,0.0054,"GSM2403587_8622007091_R02C02"
"39",2,130000,243026238,0.0073,"GSM2403587_8622007091_R02C02"
"40",20,155000,62907760,0.0025,"GSM2403587_8622007091_R02C02"
"41",21,10848948,48084948,0.0834,"GSM2403587_8622007091_R02C02"
"42",22,16373925,51222283,0.0159,"GSM2403587_8622007091_R02C02"
"43",3,155000,197831215,-0.0204,"GSM2403587_8622007091_R02C02"
"44",4,55000,190972138,-0.033,"GSM2403587_8622007091_R02C02"
"45",5,55000,180777630,0.0286,"GSM2403587_8622007091_R02C02"
"46",6,155000,170952534,0.0252,"GSM2403587_8622007091_R02C02"
"47",7,55000,159039332,0.1274,"GSM2403587_8622007091_R02C02"
"48",8,105000,146277011,0.0639,"GSM2403587_8622007091_R02C02"
"49",9,130000,141076716,0.0268,"GSM2403587_8622007091_R02C02"
"50",1,635684,249195311,0.0091,"GSM2403588_8622007091_R04C01"
"51",10,105000,135462374,0.0548,"GSM2403588_8622007091_R04C01"
"52",11,130000,134873258,0.0617,"GSM2403588_8622007091_R04C01"
"53",12,172870,133770948,0.0259,"GSM2403588_8622007091_R04C01"
"54",13,19110000,115079939,0.1035,"GSM2403588_8622007091_R04C01"
"55",14,19325000,107119770,-0.0038,"GSM2403588_8622007091_R04C01"
"56",15,20225000,102410696,0.0285,"GSM2403588_8622007091_R04C01"
"57",16,105000,90222377,0.07,"GSM2403588_8622007091_R04C01"
"58",17,25000,81122605,-0.0365,"GSM2403588_8622007091_R04C01"
"59",18,80000,77983624,-0.0645,"GSM2403588_8622007091_R04C01"
"60",19,180000,59084492,-0.1383,"GSM2403588_8622007091_R04C01"
"61",2,130000,243026238,-0.0156,"GSM2403588_8622007091_R04C01"
"62",20,155000,62907760,0.0026,"GSM2403588_8622007091_R04C01"
"63",21,10848948,48084948,0.0469,"GSM2403588_8622007091_R04C01"
"64",22,16373925,51222283,-0.0249,"GSM2403588_8622007091_R04C01"
"65",3,155000,197831215,0.0291,"GSM2403588_8622007091_R04C01"
"66",4,55000,190972138,-0.0191,"GSM2403588_8622007091_R04C01"
"67",5,55000,180777630,-0.0386,"GSM2403588_8622007091_R04C01"
"68",6,155000,170952534,0.0261,"GSM2403588_8622007091_R04C01"
"69",7,55000,159039332,0.3076,"GSM2403588_8622007091_R04C01"
"70",8,105000,146277011,0.1498,"GSM2403588_8622007091_R04C01"
"71",9,130000,141076716,0.2195,"GSM2403588_8622007091_R04C01"
"72",1,635684,249195311,0.0117,"GSM2403589_8622007091_R05C01"
"73",10,105000,135462374,0.0568,"GSM2403589_8622007091_R05C01"
"74",11,130000,134873258,0.0339,"GSM2403589_8622007091_R05C01"
"75",12,172870,133770948,0.0159,"GSM2403589_8622007091_R05C01"
"76",13,19110000,115079939,0.1117,"GSM2403589_8622007091_R05C01"
"77",14,19325000,107119770,-6e-04,"GSM2403589_8622007091_R05C01"
"78",15,20225000,102410696,0.0278,"GSM2403589_8622007091_R05C01"
"79",16,105000,90222377,0.0423,"GSM2403589_8622007091_R05C01"
"80",17,25000,81122605,0.0751,"GSM2403589_8622007091_R05C01"
"81",18,80000,77983624,-0.0853,"GSM2403589_8622007091_R05C01"
"82",19,180000,59084492,-0.0269,"GSM2403589_8622007091_R05C01"
"83",2,130000,243026238,0.0148,"GSM2403589_8622007091_R05C01"
"84",20,155000,62907760,-0.0431,"GSM2403589_8622007091_R05C01"
"85",21,10848948,48084948,0.034,"GSM2403589_8622007091_R05C01"
"86",22,16373925,51222283,-0.0256,"GSM2403589_8622007091_R05C01"
"87",3,155000,197831215,0.0293,"GSM2403589_8622007091_R05C01"
"88",4,55000,190972138,-0.0335,"GSM2403589_8622007091_R05C01"
"89",5,55000,180777630,0.0321,"GSM2403589_8622007091_R05C01"
"90",6,155000,170952534,0.0389,"GSM2403589_8622007091_R05C01"
"91",7,55000,159039332,0.0933,"GSM2403589_8622007091_R05C01"
"92",8,105000,146277011,0.0327,"GSM2403589_8622007091_R05C01"
"93",9,130000,141076716,-0.0021,"GSM2403589_8622007091_R05C01"
"94",1,635684,249195311,0.067,"GSM2403591_8622007097_R02C02"
"95",10,105000,135462374,0.0828,"GSM2403591_8622007097_R02C02"
"96",11,130000,134873258,0.0888,"GSM2403591_8622007097_R02C02"
"97",12,172870,133770948,-0.0894,"GSM2403591_8622007097_R02C02"
"98",13,19110000,115079939,0.1339,"GSM2403591_8622007097_R02C02"
"99",14,19325000,107119770,-0.1893,"GSM2403591_8622007097_R02C02"
"100",15,20225000,102410696,-0.0284,"GSM2403591_8622007097_R02C02"
"101",16,105000,90222377,0.1017,"GSM2403591_8622007097_R02C02"
"102",17,25000,81122605,-0.0389,"GSM2403591_8622007097_R02C02"
"103",18,80000,77983624,-0.0734,"GSM2403591_8622007097_R02C02"
"104",19,180000,59084492,-0.0884,"GSM2403591_8622007097_R02C02"
"105",2,130000,243026238,0.0573,"GSM2403591_8622007097_R02C02"
"106",20,155000,62907760,0.0057,"GSM2403591_8622007097_R02C02"
"107",21,10848948,48084948,0.0473,"GSM2403591_8622007097_R02C02"
"108",22,16373925,51222283,-0.1606,"GSM2403591_8622007097_R02C02"
"109",3,155000,197831215,0.1188,"GSM2403591_8622007097_R02C02"
"110",4,55000,190972138,5e-04,"GSM2403591_8622007097_R02C02"
"111",5,55000,180777630,0.0441,"GSM2403591_8622007097_R02C02"
"112",6,155000,170952534,0.0377,"GSM2403591_8622007097_R02C02"
"113",7,55000,159039332,0.2447,"GSM2403591_8622007097_R02C02"
"114",8,105000,146277011,0.0795,"GSM2403591_8622007097_R02C02"
"115",9,130000,141076716,0.056,"GSM2403591_8622007097_R02C02"
"116",1,635684,249195311,0.0536,"GSM2403608_8622007118_R02C02"
"117",10,105000,135462374,0.0873,"GSM2403608_8622007118_R02C02"
"118",11,130000,48550000,-0.3786,"GSM2403608_8622007118_R02C02"
"119",11,48975000,134873258,0.1448,"GSM2403608_8622007118_R02C02"
"120",12,172870,133770948,0.0341,"GSM2403608_8622007118_R02C02"
"121",13,19110000,115079939,0.1434,"GSM2403608_8622007118_R02C02"
"122",14,19325000,107119770,-0.0897,"GSM2403608_8622007118_R02C02"
"123",15,20225000,102410696,0.0434,"GSM2403608_8622007118_R02C02"
"124",16,105000,90222377,0.1159,"GSM2403608_8622007118_R02C02"
"125",17,25000,81122605,-0.05,"GSM2403608_8622007118_R02C02"
"126",18,80000,77983624,-0.0747,"GSM2403608_8622007118_R02C02"
"127",19,180000,59084492,0.012,"GSM2403608_8622007118_R02C02"
"128",2,130000,243026238,0.0372,"GSM2403608_8622007118_R02C02"
"129",20,155000,62907760,-0.0026,"GSM2403608_8622007118_R02C02"
"130",21,10848948,48084948,0.0841,"GSM2403608_8622007118_R02C02"
