"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.0072,"GSM2404295_9407201029_R02C01"
"2",10,105000,135462374,0.0186,"GSM2404295_9407201029_R02C01"
"3",11,130000,134873258,-0.0036,"GSM2404295_9407201029_R02C01"
"4",12,172870,133770948,-0.0024,"GSM2404295_9407201029_R02C01"
"5",13,19110000,115079939,0.0141,"GSM2404295_9407201029_R02C01"
"6",14,19325000,20025000,0.2814,"GSM2404295_9407201029_R02C01"
"7",14,20450000,107119770,0.0023,"GSM2404295_9407201029_R02C01"
"8",15,20225000,102410696,-0.001,"GSM2404295_9407201029_R02C01"
"9",16,105000,90222377,0.0522,"GSM2404295_9407201029_R02C01"
"10",17,25000,81122605,-0.0235,"GSM2404295_9407201029_R02C01"
"11",18,80000,77983624,-0.0487,"GSM2404295_9407201029_R02C01"
"12",19,180000,59084492,-4e-04,"GSM2404295_9407201029_R02C01"
"13",2,130000,243026238,-0.0204,"GSM2404295_9407201029_R02C01"
"14",20,155000,62907760,-0.0352,"GSM2404295_9407201029_R02C01"
"15",21,10848948,48084948,0.0461,"GSM2404295_9407201029_R02C01"
"16",22,16373925,51222283,0.0161,"GSM2404295_9407201029_R02C01"
"17",3,155000,197831215,-0.0162,"GSM2404295_9407201029_R02C01"
"18",4,55000,190972138,-0.0399,"GSM2404295_9407201029_R02C01"
"19",5,55000,180777630,-0.0156,"GSM2404295_9407201029_R02C01"
"20",6,155000,170952534,-0.0198,"GSM2404295_9407201029_R02C01"
"21",7,55000,159039332,0.0248,"GSM2404295_9407201029_R02C01"
"22",8,105000,146277011,7e-04,"GSM2404295_9407201029_R02C01"
"23",9,130000,141076716,0.0256,"GSM2404295_9407201029_R02C01"
"24",1,635684,249195311,-0.0056,"GSM2404296_9407201029_R03C01"
"25",10,105000,4625000,0.4824,"GSM2404296_9407201029_R03C01"
"26",10,4875000,135462374,0.0493,"GSM2404296_9407201029_R03C01"
"27",11,130000,134873258,0.0297,"GSM2404296_9407201029_R03C01"
"28",12,172870,133770948,0.0203,"GSM2404296_9407201029_R03C01"
"29",13,19110000,115079939,0.1664,"GSM2404296_9407201029_R03C01"
"30",14,19325000,20025000,0.7471,"GSM2404296_9407201029_R03C01"
"31",14,20450000,107119770,-0.0272,"GSM2404296_9407201029_R03C01"
"32",15,20225000,102410696,-0.0013,"GSM2404296_9407201029_R03C01"
"33",16,105000,90222377,0.134,"GSM2404296_9407201029_R03C01"
"34",17,25000,81122605,-0.0132,"GSM2404296_9407201029_R03C01"
"35",18,80000,77983624,-0.0232,"GSM2404296_9407201029_R03C01"
"36",19,180000,59084492,0.0164,"GSM2404296_9407201029_R03C01"
"37",2,130000,243026238,0.0321,"GSM2404296_9407201029_R03C01"
"38",20,155000,62907760,-0.0228,"GSM2404296_9407201029_R03C01"
"39",21,10848948,15475000,0.6741,"GSM2404296_9407201029_R03C01"
"40",21,15650000,48084948,0.0913,"GSM2404296_9407201029_R03C01"
"41",22,16373925,51222283,-0.0067,"GSM2404296_9407201029_R03C01"
"42",3,155000,197831215,0.0157,"GSM2404296_9407201029_R03C01"
"43",4,55000,190972138,-0.0049,"GSM2404296_9407201029_R03C01"
"44",5,55000,180777630,0.0259,"GSM2404296_9407201029_R03C01"
"45",6,155000,170952534,0.0273,"GSM2404296_9407201029_R03C01"
"46",7,55000,159039332,0.1096,"GSM2404296_9407201029_R03C01"
"47",8,105000,8100000,0.4871,"GSM2404296_9407201029_R03C01"
"48",8,8175000,146277011,0.0159,"GSM2404296_9407201029_R03C01"
"49",9,130000,141076716,0.0213,"GSM2404296_9407201029_R03C01"
"50",1,635684,249195311,-4e-04,"GSM2404297_9407201029_R04C01"
"51",10,105000,135462374,0.0453,"GSM2404297_9407201029_R04C01"
"52",11,130000,134873258,-0.0173,"GSM2404297_9407201029_R04C01"
"53",12,172870,133770948,0.0093,"GSM2404297_9407201029_R04C01"
"54",13,19110000,115079939,0.0407,"GSM2404297_9407201029_R04C01"
"55",14,19325000,20025000,0.6401,"GSM2404297_9407201029_R04C01"
"56",14,20450000,107119770,-0.0049,"GSM2404297_9407201029_R04C01"
"57",15,20225000,102410696,0.0083,"GSM2404297_9407201029_R04C01"
"58",16,105000,90222377,0.0887,"GSM2404297_9407201029_R04C01"
"59",17,25000,81122605,0.0316,"GSM2404297_9407201029_R04C01"
"60",18,80000,77983624,0.0388,"GSM2404297_9407201029_R04C01"
"61",19,180000,59084492,0.0441,"GSM2404297_9407201029_R04C01"
"62",2,130000,243026238,0.0053,"GSM2404297_9407201029_R04C01"
"63",20,155000,62907760,-0.0245,"GSM2404297_9407201029_R04C01"
"64",21,10848948,48084948,0.08,"GSM2404297_9407201029_R04C01"
"65",22,16373925,51222283,0.0561,"GSM2404297_9407201029_R04C01"
"66",3,155000,197831215,-0.0169,"GSM2404297_9407201029_R04C01"
"67",4,55000,190972138,0.0028,"GSM2404297_9407201029_R04C01"
"68",5,55000,180777630,-0.0121,"GSM2404297_9407201029_R04C01"
"69",6,155000,170952534,-0.0098,"GSM2404297_9407201029_R04C01"
"70",7,55000,159039332,0.0145,"GSM2404297_9407201029_R04C01"
"71",8,105000,8100000,0.3902,"GSM2404297_9407201029_R04C01"
"72",8,8175000,146277011,-0.0035,"GSM2404297_9407201029_R04C01"
"73",9,130000,141076716,0.0162,"GSM2404297_9407201029_R04C01"
"74",1,635684,249195311,-0.0028,"GSM2404452_9420867121_R05C01"
"75",10,105000,135462374,0.05,"GSM2404452_9420867121_R05C01"
"76",11,130000,134873258,0.0068,"GSM2404452_9420867121_R05C01"
"77",12,172870,133770948,-0.0032,"GSM2404452_9420867121_R05C01"
"78",13,19110000,115079939,0.0642,"GSM2404452_9420867121_R05C01"
"79",14,19325000,20025000,0.3983,"GSM2404452_9420867121_R05C01"
"80",14,20450000,107119770,-0.0011,"GSM2404452_9420867121_R05C01"
"81",15,20225000,102410696,0.0101,"GSM2404452_9420867121_R05C01"
"82",16,105000,90222377,0.0831,"GSM2404452_9420867121_R05C01"
"83",17,25000,81122605,-0.0098,"GSM2404452_9420867121_R05C01"
"84",18,80000,77983624,-0.0251,"GSM2404452_9420867121_R05C01"
"85",19,180000,59084492,0.0254,"GSM2404452_9420867121_R05C01"
"86",2,130000,243026238,-0.0015,"GSM2404452_9420867121_R05C01"
"87",20,155000,62907760,-0.0245,"GSM2404452_9420867121_R05C01"
"88",21,10848948,48084948,0.0808,"GSM2404452_9420867121_R05C01"
"89",22,16373925,51222283,0.0262,"GSM2404452_9420867121_R05C01"
"90",3,155000,197831215,-0.0123,"GSM2404452_9420867121_R05C01"
"91",4,55000,190972138,-0.0204,"GSM2404452_9420867121_R05C01"
"92",5,55000,180777630,-0.0014,"GSM2404452_9420867121_R05C01"
"93",6,155000,170952534,-0.0034,"GSM2404452_9420867121_R05C01"
"94",7,55000,159039332,0.0429,"GSM2404452_9420867121_R05C01"
"95",8,105000,8100000,0.3411,"GSM2404452_9420867121_R05C01"
"96",8,8175000,146277011,0.002,"GSM2404452_9420867121_R05C01"
"97",9,130000,141076716,0.0204,"GSM2404452_9420867121_R05C01"
"98",1,635684,249195311,-8e-04,"GSM2404453_9420867121_R06C01"
"99",10,105000,4625000,0.3498,"GSM2404453_9420867121_R06C01"
"100",10,4875000,135462374,0.0329,"GSM2404453_9420867121_R06C01"
"101",11,130000,134873258,0.0082,"GSM2404453_9420867121_R06C01"
"102",12,172870,133770948,0.0093,"GSM2404453_9420867121_R06C01"
"103",13,19110000,115079939,0.0731,"GSM2404453_9420867121_R06C01"
"104",14,19325000,20025000,0.4926,"GSM2404453_9420867121_R06C01"
"105",14,20450000,107119770,0.0014,"GSM2404453_9420867121_R06C01"
"106",15,20225000,102410696,0.0133,"GSM2404453_9420867121_R06C01"
"107",16,105000,90222377,0.0931,"GSM2404453_9420867121_R06C01"
"108",17,25000,81122605,-0.0171,"GSM2404453_9420867121_R06C01"
"109",18,80000,77983624,-0.0332,"GSM2404453_9420867121_R06C01"
"110",19,180000,59084492,0.0343,"GSM2404453_9420867121_R06C01"
"111",2,130000,243026238,-0.0028,"GSM2404453_9420867121_R06C01"
"112",20,155000,62907760,-0.0272,"GSM2404453_9420867121_R06C01"
"113",21,10848948,48084948,0.0771,"GSM2404453_9420867121_R06C01"
"114",22,16373925,51222283,0.0175,"GSM2404453_9420867121_R06C01"
