"chrom","start.pos","end.pos","n.probes","GSM2403641_8622007203_R06C02","GSM2404043_9373550164_R06C02","GSM2404044_9373550164_R01C01","GSM2404146_9406922161_R05C02","GSM2404196_9376561024_R05C02","GSM2404276_9422491130_R04C02","GSM2404796_9533774057_R02C02","GSM2404849_9533774097_R03C01","GSM2404913_9968646165_R01C02","GSM2940845_200325530103_R05C02","GSM2940963_3998523032_R03C01","GSM2941760_9969477065_R04C01"
"1",1,521369,249150001,1593,-0.143,-0.044,-0.045,-0.188,-0.054,-0.031,0.01,0.017,-0.086,-0.062,0.004,-0.05
"2",2,10001,242950001,1282,-0.12,-0.081,-0.053,-0.127,-0.012,-0.042,-0.039,0.009,-0.081,-0.077,-0.053,-0.076
"3",3,60001,197700001,978,-0.126,-0.104,-0.071,-0.12,-0.009,-0.07,-0.052,0.005,-0.139,-0.12,-0.049,-0.098
"4",4,10001,190900001,742,-0.135,-0.125,-0.076,-0.151,-0.009,-0.082,-0.101,-0.025,-0.115,-0.115,-0.099,-0.118
"5",5,10001,180650001,849,-0.129,-0.084,-0.055,-0.141,-0.005,-0.056,-0.043,0.064,-0.116,-0.102,-0.043,-0.09
"6",6,60001,74400001,526,-0.164,-0.087,-0.059,-0.117,-0.03,-0.05,-0.118,-0.087,-0.205,-0.116,0.03,0.07
"7",6,74450001,170850001,462,-0.148,-0.107,-0.054,-0.175,-0.027,-0.159,-0.232,-0.085,-0.217,-0.134,0.001,-0.46
"8",7,10001,158950001,952,-0.069,-0.04,-0.011,-0.048,0.03,-0.023,-0.036,0.005,-0.069,-0.047,-0.017,-0.047
"9",8,10001,146250001,726,-0.129,-0.08,-0.045,-0.122,-0.002,-0.04,-0.042,0.014,-0.079,-0.06,-0.04,-0.076
"10",9,10001,141000001,383,-0.085,-0.008,-0.021,-0.122,-0.046,-0.011,0.004,0.052,-0.034,-0.028,-0.005,-0.013
"11",10,60001,135400001,840,-0.072,-0.034,-0.021,-0.096,-0.008,-0.026,-0.016,-0.019,-0.047,-0.044,-0.017,-0.04
"12",11,60001,134800001,914,-0.105,-0.041,-0.048,-0.118,-0.016,-0.048,-0.022,0.011,-0.103,-0.083,-0.014,-0.064
"13",12,145740,133700001,848,-0.117,-0.056,-0.049,-0.138,-0.021,-0.044,-0.026,-0.011,-0.101,-0.089,-0.026,-0.065
"14",13,19020001,115050001,431,-0.045,-0.107,-0.051,-0.119,0.065,-0.043,-0.088,0.014,-0.08,-0.077,-0.083,-0.079
"15",14,19000001,106950001,528,-0.161,-0.069,-0.049,-0.204,-0.041,-0.032,0.003,0.008,-0.086,-0.069,-0.02,-0.054
"16",15,20000001,102300001,571,-0.117,-0.039,-0.038,-0.157,-0.058,-0.02,0.018,0.01,-0.063,-0.045,-0.014,-0.046
"17",16,60001,90150001,624,-0.008,0.016,0.008,-0.029,-0.011,0.002,0.019,-0.04,0.006,0.012,0.014,-0.098
"18",17,1,81050001,814,-0.115,-0.042,-0.061,-0.181,-0.128,-0.038,-0.003,-0.097,-0.028,-0.044,-0.031,-0.032
"19",18,10001,77950001,243,-0.141,-0.112,-0.08,-0.232,-0.076,-0.061,-0.061,-0.072,-0.046,-0.073,-0.126,-0.103
"20",19,60001,59050001,711,-0.103,-0.009,-0.031,-0.16,-0.135,-0.028,0.011,-0.158,-0.032,-0.035,-0.017,-0.011
"21",20,60001,62850001,359,-0.126,-0.061,-0.064,-0.169,-0.092,-0.043,-0.002,-0.049,-0.06,-0.061,-0.042,-0.058
"22",21,10697897,48050001,157,-0.023,-0.004,0.003,-0.054,-0.023,-0.003,-0.008,0.053,0.014,-0.008,-0.026,0.003
"23",22,16050001,51200001,300,-0.112,0.025,-0.015,-0.19,-0.102,0.018,0.066,-0.045,0.015,0.02,0.028,-0.028
